celltype_id	celltype_standard	celltype_ontology	status	def
CTP0000001	primordial germ cell	CL:0000670	standard	" ""A primordial germ cell is a diploid germ cell precursors that transiently exist in the embryo before they enter into close association with the somatic cells of the gonad and become irreversibly committed as germ cells."" [GOC:tfm, PMID:1381289]"
CTP0000002	endothelial cell	CL:0000115	standard	" ""An endothelial cell comprises the outermost layer or lining of anatomical structures and can be squamous or cuboidal. In mammals, endothelial cell has vimentin filaments and is derived from the mesoderm."" [GOC:tfm, http://en.wikipedia.org/wiki/Endothelial_cell, https://sourceforge.net/tracker/?func=detail&atid=440764&aid=3364936&group_id=36855, MESH:D042783, PMID:21275341]"
CTP0000003	fibroblast	CL:0000057	standard	" ""A connective tissue cell which secretes an extracellular matrix rich in collagen and other macromolecules. Flattened and irregular in outline with branching processes; appear fusiform or spindle-shaped."" [http://en.wikipedia.org/wiki/Fibroblast, ISBN:0517223651, MESH:A11.329.228, MESH:D005347]"
CTP0000004	T cell	CL:0000084	standard	" ""A type of lymphocyte whose defining characteristic is the expression of a T cell receptor complex."" [GOC:add, GOC:tfm, ISBN:0781735149]"
CTP0000005	stromal cell	CL:0000499	standard	" ""A connective tissue cell of an organ found in the loose connective tissue. These are most often associated with the uterine mucosa and the ovary as well as the hematopoietic system and elsewhere."" [GOC:tfm, MESH:A11.329.830]"
CTP0000006	smooth muscle cell	CL:0000192	standard	" ""A non-striated, elongated, spindle-shaped cell found lining the digestive tract, uterus, and blood vessels. They develop from specialized myoblasts (smooth muscle myoblast)."" [http://en.wikipedia.org/wiki/Smooth_muscle_cell, MESH:A11.620.520, MESH:D032389, PMID:9315361]"
CTP0000007	B cell	CL:0000236	standard	" ""A lymphocyte of B lineage that is capable of B cell mediated immunity."" [GO_REF:0000031, GOC:add, GOC:tfm, ISBN:0781735149]"
CTP0000008	macrophage	CL:0000235	standard	" ""A mononuclear phagocyte present in variety of tissues, typically differentiated from monocytes, capable of phagocytosing a variety of extracellular particulate material, including immune complexes, microorganisms, and dead cells."" [GO_REF:0000031, GOC:add, GOC:tfm, PMID:16213494, PMID:1919437]"
CTP0000009	epithelial cell	CL:0000066	standard	" ""A cell that is usually found in a two-dimensional sheet with a free surface. The cell has a cytoskeleton that allows for tight cell to cell contact and for cell polarity where apical part is directed towards the lumen and the basal part to the basal lamina."" [FB:ma, GOC:tfm, MESH:A11.436]"
CTP0000010	monocyte	CL:0000576	standard	" ""Myeloid mononuclear recirculating leukocyte that can act as a precursor of tissue macrophages, osteoclasts and some populations of tissue dendritic cells."" [GO_REF:0000031, MESH:A11.118.637.555.652]"
CTP0000011	dendritic cell	CL:0000451	standard	" ""A cell of hematopoietic origin, typically resident in particular tissues, specialized in the uptake, processing, and transport of antigens to lymph nodes for the purpose of stimulating an immune response via T cell activation. These cells are lineage negative (CD3-negative, CD19-negative, CD34-negative, and CD56-negative)."" [GOC:add, ISBN:0781735149]"
CTP0000012	neutrophil	CL:0000775	standard	" ""Any of the immature or mature forms of a granular leukocyte that in its mature form has a nucleus with three to five lobes connected by slender threads of chromatin, and cytoplasm containing fine inconspicuous granules and stainable by neutral dyes."" [GOC:add, GOC:amm, GOC:tfm, ISBN:0721601464]"
CTP0000013	mast cell	CL:0000097	standard	" ""A cell that is found in almost all tissues containing numerous basophilic granules and capable of releasing large amounts of histamine and heparin upon activation. Progenitors leave bone marrow and mature in connective and mucosal tissue. Mature mast cells are found in all tissues, except the bloodstream. Their phenotype is CD117-high, CD123-negative, CD193-positive, CD200R3-positive, and FceRI-high. Stem-cell factor (KIT-ligand; SCF) is the main controlling signal of their survival and development."" [GOC:add, GOC:dsd, GOC:tfm, ISBN:068340007X, MESH:A11.329.427, MESH:D008407, PMCID:PMC1312421, PMCID:PMC2855166, PMID:15153310, PMID:16455980, PMID:19671378, PMID:212366338, PMID:9354811]"
CTP0000014	basal cell	CL:0000646	standard	" ""Undifferentiated; mitotic stem cell for other epithelial cell types; rounded or elliptical with little cytoplasm and few organelles; contain cytokeratin intermediate filament."" [GOC:tfm, ISBN:0517223651]"
CTP0000015	myeloid cell	CL:0000763	standard	" ""A cell of the monocyte, granulocyte, mast cell, megakaryocyte, or erythroid lineage."" [GOC:add]"
CTP0000016	stratified epithelial cell	CL:0000079	standard	
