celltype_name	celltype_id	name_type
primordial germ cell	CTP0000001	name
CL:0000670	CTP0000001	ontology
Primordial germ cell	CTP0000001	alias
endothelial cell	CTP0000002	name
CL:0000115	CTP0000002	ontology
Endothelial cell	CTP0000002	alias
Proliferating T cell	CTP0002067	name
fibroblast	CTP0000003	name
CL:0000057	CTP0000003	ontology
Fibroblast	CTP0000003	alias
Fetal Neuron	CTP0001169	name
T cell	CTP0000004	name
CL:0000084	CTP0000004	ontology
T cell	CTP0000004	name
stromal cell	CTP0000005	name
CL:0000499	CTP0000005	ontology
Stromal cell	CTP0000005	alias
smooth muscle cell	CTP0000006	name
CL:0000192	CTP0000006	ontology
Smooth muscle cell	CTP0000006	alias
Erythroid cell	CTP0002591	name
Fetal epithelial progenitor	CTP0001405	name
Erythroid progenitor cell (RP high)	CTP0001204	name
Fetal stromal cell	CTP0002964	name
Fetal mesenchymal progenitor	CTP0000636	name
Fetal skeletal muscle cell	CTP0002659	name
hESC	CTP0002500	name
Antigen presenting cell (RPS high)	CTP0001323	name
B cell	CTP0000007	name
CL:0000236	CTP0000007	ontology
B cell	CTP0000007	name
macrophage	CTP0000008	name
CL:0000235	CTP0000008	ontology
Macrophage	CTP0000008	alias
Neutrophil (RPS high)	CTP0002975	name
epithelial cell	CTP0000009	name
CL:0000066	CTP0000009	ontology
Epithelial cell	CTP0000009	alias
Fetal enterocyte 	CTP0002961	name
CB CD34+	CTP0000791	name
monocyte	CTP0000010	name
CL:0000576	CTP0000010	ontology
Monocyte	CTP0000010	alias
Kidney intercalated cell	CTP0001593	name
Fetal chondrocyte	CTP0000793	name
dendritic cell	CTP0000011	name
CL:0000451	CTP0000011	ontology
Dendritic cell	CTP0000011	alias
B cell (Plasmocyte)	CTP0003196	name
Fetal endocrine cell	CTP0001024	name
neutrophil	CTP0000012	name
CL:0000775	CTP0000012	ontology
Neutrophil	CTP0000012	alias
Endothelial cell (APC)	CTP0002922	name
mast cell	CTP0000013	name
CL:0000097	CTP0000013	ontology
Mast cell	CTP0000013	alias
Fetal neuron	CTP0001169	name
basal cell	CTP0000014	name
CL:0000646	CTP0000014	ontology
Basal cell	CTP0000014	alias
Fetal acinar cell	CTP0000758	name
Endothelial cell (endothelial to mesenchymal transition)	CTP0000512	name
Sinusoidal endothelial cell	CTP0003427	name
Fetal fibroblast	CTP0002642	name
M2 Macrophage	CTP0002750	name
Immature sertoli cell (Pre-Sertoli cell)	CTP0001736	name
Proximal tubule progenitor	CTP0001626	name
Loop of Henle	CTP0002376	name
myeloid cell	CTP0000015	name
CL:0000763	CTP0000015	ontology
Myeloid cell	CTP0000015	alias
Fasciculata cell	CTP0002970	name
Epithelial cell (intermediated)	CTP0002560	name
Intermediated cell	CTP0001144	name
stratified epithelial cell	CTP0000016	name
CL:0000079	CTP0000016	ontology
Stratified epithelial cell	CTP0000016	alias
Gastric endocrine cell	CTP0000812	name
Enterocyte progenitor	CTP0001177	name
Hepatocyte/Endodermal cell	CTP0000946	name
astrocyte	CTP0000017	name
CL:0000127	CTP0000017	ontology
Astrocyte	CTP0000017	alias
goblet cell	CTP0000018	name
CL:0000160	CTP0000018	ontology
Goblet cell	CTP0000018	alias
Ureteric bud cell	CTP0002199	name
Intercalated cell	CTP0000716	name
enterocyte	CTP0000019	name
CL:0000584	CTP0000019	ontology
Enterocyte	CTP0000019	alias
