project_id,omics_id,experiment_id,protocol,sample_relationship,species,description,organ,sample_number,cell_number
PRO000000001,SCT000000001,EPT000000001,p1,independent,Homo sapiens,,intestine|liver|gall bladder|muscle organ|blood vessel|adrenal gland|stomach|bone marrow|brain|placenta|umbilical cord|thyroid gland|pancreas|specific cell|heart|extraembryonic membrane|spleen|urinary bladder|lung|uterus|esophagus|fallopian tube|adipose tissue|pleura|embryo|ureter|peritoneum|trachea|blood|kidney,106,599926
PRO000000002,SCT000000002,EPT000000002,p1,independent,Mus musculus,,mammary gland|intestine|liver|head|thymus|muscle organ|adrenal gland|stomach|bone marrow|placenta|brain|pancreas|specific cell|heart|spleen|urinary bladder|lung|rib|uterus|embryo|pleura|gonad|peritoneum|blood|kidney|skin of body,83,333778
PRO000000003,SCT000000003,EPT000000003,p1,independent,Homo sapiens,,bone marrow|umbilical cord,127,606606
PRO000000005,SCT000000005,EPT000000005,p1,independent,Homo sapiens,,embryo,80,316651
PRO000000006,SCT000000006,EPT000000006,p1,independent,Homo sapiens,,lung|esophagus|spleen,66,305329
PRO000000007,SCT000000007,EPT000000007,p1,independent,Homo sapiens,,lung,32,197538
PRO000000008,SCT000000008,EPT000000008,p1,independent,Mus musculus,,brain,6,174552
PRO000000009,SCT000000009,EPT000000009,p1,independent,Homo sapiens,,tonsil|blood|mixed tissue,63,164277
PRO000000010,SCT000000010,EPT000000010,p1,independent,Homo sapiens,,respiratory airway|lung|trachea,11,142523
PRO000000011,SCT000000011,EPT000000011,p1,independent,Homo sapiens,,embryo|thymus,28,129494
PRO000000012,SCT000000012,EPT000000012,p1,independent,Mus musculus,,embryo,12,119458
PRO000000013,SCT000000013,EPT000000013,p1,independent,Homo sapiens,,placenta|blood,30,105012
PRO000000014,SCT000000014,EPT000000014,p1,independent,Homo sapiens,,intestine,20,101844
PRO000000015,SCT000000015,EPT000000015,p1,independent,Mus musculus,,embryo,1,97772
PRO000000016,SCT000000016,EPT000000016,p1,independent,Homo sapiens,,blood,12,97588
PRO000000017,SCT000000017,EPT000000017,p1,independent,Homo sapiens,,blood,13,92783
PRO000000018,SCT000000018,EPT000000018,p1,independent,Mus musculus,,gonad,17,84019
PRO000000019,SCT000000019,EPT000000019,p1,independent,Homo sapiens,,bile duct|liver|gall bladder,22,82433
PRO000000020,SCT000000020,EPT000000020,p1,independent,Homo sapiens,,bone marrow|blood|lung|lymph node,16,80524
PRO000000021,SCT000000021,EPT000000021,p1,independent,Homo sapiens,,blood,20,77690
