system,system_ontology,organ,organ_ontology,organ_tax2,organ_tax2_ontology,organ_tax3,organ_tax3_ontology,organ_tax4,organ_tax4_ontology,organ_tax5,organ_tax5_ontology,organ_tax6,organ_tax6_ontology,organ_tax7,organ_tax7_ontology,organ_tax8,organ_tax8_ontology,organ_tax9,organ_tax9_ontology,organ_tax10,organ_tax10_ontology
,,abdomen,UBERON:0000916,ascitic fluid,UBERON:0007795,,,,,,,,,,,,,,,,
,,abdomen,UBERON:0000916,visceral abdominal adipose tissue,UBERON:0014454,,,,,,,,,,,,,,,,
,,abdomen,UBERON:0000916,abdomen connective tissue,UBERON:0003567,adipose tissue of abdominal region,UBERON:0007808,,,,,,,,,,,,,,
,,adipose tissue,UBERON:0001013,fat pad,UBERON:0003916,interscapular fat pad,UBERON:0014396,,,,,,,,,,,,,,
,,adipose tissue,UBERON:0001013,fat pad,UBERON:0003916,mesenteric fat pad,UBERON:0015143,,,,,,,,,,,,,,
,,adipose tissue,UBERON:0001013,brown adipose tissue,UBERON:0001348,,,,,,,,,,,,,,,,
,,adipose tissue,UBERON:0001013,white adipose tissue,UBERON:0001347,,,,,,,,,,,,,,,,
,,adipose tissue,UBERON:0001013,subcutaneous adipose tissue,UBERON:0002190,,,,,,,,,,,,,,,,
,,adipose tissue,UBERON:0001013,subcutaneous abdominal adipose tissue,UBERON:0014455,,,,,,,,,,,,,,,,
,,adventitia,UBERON:0005742,,,,,,,,,,,,,,,,,,
,,amniotic fluid,UBERON:0000173,,,,,,,,,,,,,,,,,,
,,alimentary part of gastrointestinal system,UBERON:0005409,,,,,,,,,,,,,,,,,,
,,blood,UBERON:0000178,blood plasma,UBERON:0001969,blood serum,UBERON:0001977,,,,,,,,,,,,,,
,,blood,UBERON:0000178,venous blood,UBERON:0013756,,,,,,,,,,,,,,,,
,,blood vessel,UBERON:0001981,arterial blood vessel,UBERON:0003509,artery,UBERON:0001637,tibial artery,UBERON:0007610,,,,,,,,,,,,
,,blood vessel,UBERON:0001981,umbilical blood vessel,UBERON:0010260,umbilical vein,UBERON:0002066,,,,,,,,,,,,,,
,,blood vessel,UBERON:0001981,arterial blood vessel,UBERON:0003509,artery,UBERON:0001637,common carotid artery plus branches,UBERON:0001530,,,,,,,,,,,,
,,blood vessel,UBERON:0001981,arterial blood vessel,UBERON:0003509,aorta,UBERON:0000947,mesenteric artery,UBERON:0005616,,,,,,,,,,,,
,,blood vessel,UBERON:0001981,limb blood vessel,UBERON:0003514,basilic vein,UBERON:0001411,median basilic vein,UBERON:0001414,,,,,,,,,,,,
,,bladder organ,UBERON:0018707,,,,,,,,,,,,,,,,,,
,,bodily fluid,UBERON:0006314,coelomic fluid,UBERON:0036217,peritoneal fluid,UBERON:0001268,,,,,,,,,,,,,,
,,bodily fluid,UBERON:0006314,secretion of serous gland,UBERON:0007794,synovial fluid,UBERON:0001090,,,,,,,,,,,,,,
,,bodily fluid,UBERON:0006314,cerebrospinal fluid,UBERON:0001359,,,,,,,,,,,,,,,,
,,bone element,UBERON:0001474,endochondral bone,UBERON:0002513,vertebral endplate,UBERON:0014386,,,,,,,,,,,,,,
,,bone element,UBERON:0001474,periosteum,UBERON:0002515,,,,,,,,,,,,,,,,
,,bone tissue,UBERON:0002481,,,,,,,,,,,,,,,,,,
immune system,UBERON:0002405,bone marrow,UBERON:0002371,,,,,,,,,,,,,,,,,,
,,brain,UBERON:0000955,circumventricular organ,UBERON:0005408,,,,,,,,,,,,,,,,
,,brain,UBERON:0000955,forebrain,UBERON:0001890,telencephalon,UBERON:0001893,cerebral hemisphere,UBERON:0001869,lobe of cerebral hemisphere,UBERON:0016526,temporal lobe,UBERON:0001871,,,,,,,,
,,brain,UBERON:0000955,forebrain,UBERON:0001890,telencephalon,UBERON:0001893,cerebral hemisphere,UBERON:0001869,lobe of cerebral hemisphere,UBERON:0016526,olfactory lobe,UBERON:0005366,olfactory bulb,UBERON:0002264,,,,,,
,,brain,UBERON:0000955,forebrain,UBERON:0001890,telencephalon,UBERON:0001893,cerebral hemisphere,UBERON:0001869,lobe of cerebral hemisphere,UBERON:0016526,occipital lobe,UBERON:0002021,occipital cortex,UBERON:0016540,visual cortex,UBERON:0000411,primary visual cortex,UBERON:0002436,"primary visual area, layer 4",UBERON:0035904
,,brain,UBERON:0000955,forebrain,UBERON:0001890,telencephalon,UBERON:0001893,cerebral hemisphere,UBERON:0001869,lobe of cerebral hemisphere,UBERON:0016526,occipital lobe,UBERON:0002021,occipital cortex,UBERON:0016540,visual cortex,UBERON:0000411,primary visual cortex,UBERON:0002436,"primary visual area, layer 2/3",UBERON:0035907
,,brain,UBERON:0000955,forebrain,UBERON:0001890,telencephalon,UBERON:0001893,cerebral hemisphere,UBERON:0001869,lobe of cerebral hemisphere,UBERON:0016526,occipital lobe,UBERON:0002021,occipital cortex,UBERON:0016540,visual cortex,UBERON:0000411,primary visual cortex,UBERON:0002436,"primary visual area, layer 6a",UBERON:0035892
,,brain,UBERON:0000955,forebrain,UBERON:0001890,telencephalon,UBERON:0001893,cerebral hemisphere,UBERON:0001869,lobe of cerebral hemisphere,UBERON:0016526,occipital lobe,UBERON:0002021,occipital cortex,UBERON:0016540,visual cortex,UBERON:0000411,primary visual cortex,UBERON:0002436,"primary visual area, layer 5",UBERON:0035906
,,brain,UBERON:0000955,forebrain,UBERON:0001890,telencephalon,UBERON:0001893,cerebral hemisphere,UBERON:0001869,lobe of cerebral hemisphere,UBERON:0016526,occipital lobe,UBERON:0002021,occipital cortex,UBERON:0016540,right occipital lobe,UBERON:0002807,,,,
,,brain,UBERON:0000955,forebrain,UBERON:0001890,telencephalon,UBERON:0001893,cerebral hemisphere,UBERON:0001869,lobe of cerebral hemisphere,UBERON:0016526,frontal lobe,UBERON:0016525,frontal cortex,UBERON:0001870,,,,,,
,,brain,UBERON:0000955,forebrain,UBERON:0001890,telencephalon,UBERON:0001893,cerebral hemisphere,UBERON:0001869,lobe of cerebral hemisphere,UBERON:0016526,parietal lobe,UBERON:0001872,,,,,,,,
,,brain,UBERON:0000955,forebrain,UBERON:0001890,telencephalon,UBERON:0001893,cerebral hemisphere,UBERON:0001869,globus pallidus,UBERON:0001875,lateral globus pallidus,UBERON:0002476,right parietal lobe,UBERON:0002803,,,,,,
,,brain,UBERON:0000955,forebrain,UBERON:0001890,telencephalon,UBERON:0001893,cerebral hemisphere,UBERON:0001869,left cerebral hemisphere,UBERON:0002812,,,,,,,,,,
,,brain,UBERON:0000955,forebrain,UBERON:0001890,telencephalon,UBERON:0001893,cerebral hemisphere,UBERON:0001869,left temporal lobe,UBERON:0002808,,,,,,,,,,
,,brain,UBERON:0000955,forebrain,UBERON:0001890,telencephalon,UBERON:0001893,pallium,UBERON:0000203,cerebral cortex,UBERON:0000956,hippocampal formation,UBERON:0002421,layer of dentate gyrus,UBERON:0002304,,,,,,
,,brain,UBERON:0000955,forebrain,UBERON:0001890,telencephalon,UBERON:0001893,pallium,UBERON:0000203,cerebral cortex,UBERON:0000956,hippocampus alveus,UBERON:0007639,,,,,,,,
,,brain,UBERON:0000955,forebrain,UBERON:0001890,telencephalon,UBERON:0001893,pallium,UBERON:0000203,cerebral cortex,UBERON:0000956,neocortex,UBERON:0001950,right frontal lobe,UBERON:0002810,,,,,,
,,brain,UBERON:0000955,forebrain,UBERON:0001890,telencephalon,UBERON:0001893,pallium,UBERON:0000203,cerebral cortex,UBERON:0000956,neocortex,UBERON:0001950,superior parietal cortex,UBERON:0006094,,,,,,
,,brain,UBERON:0000955,forebrain,UBERON:0001890,telencephalon,UBERON:0001893,pallium,UBERON:0000203,cerebral cortex,UBERON:0000956,neocortex,UBERON:0001950,cortex of cerebral lobe,UBERON:0016529,temporal cortex,UBERON:0016538,,,,
,,brain,UBERON:0000955,forebrain,UBERON:0001890,telencephalon,UBERON:0001893,pallium,UBERON:0000203,cerebral cortex,UBERON:0000956,neocortex,UBERON:0001950,cortex of cerebral lobe,UBERON:0016529,parietal cortex,UBERON:0016530,primary somatosensory cortex,UBERON:0008933,,
,,brain,UBERON:0000955,forebrain,UBERON:0001890,telencephalon,UBERON:0001893,pallium,UBERON:0000203,cerebral cortex,UBERON:0000956,gyrus,UBERON:0000200,anterior cingulate gyrus,UBERON:0002756,,,,,,
,,brain,UBERON:0000955,forebrain,UBERON:0001890,telencephalon,UBERON:0001893,pallium,UBERON:0000203,cerebral cortex,UBERON:0000956,gyrus,UBERON:0000200,middle temporal gyrus,UBERON:0002771,,,,,,
,,brain,UBERON:0000955,forebrain,UBERON:0001890,telencephalon,UBERON:0001893,pallium,UBERON:0000203,cerebral cortex,UBERON:0000956,prefrontal cortex,UBERON:0000451,,,,,,,,
,,brain,UBERON:0000955,forebrain,UBERON:0001890,telencephalon,UBERON:0001893,pallium,UBERON:0000203,cerebral cortex,UBERON:0000956,auditory cortex,UBERON:0001393,primary auditory cortex,UBERON:0034751,,,,,,
