sample_name,sample_id,cell_number
Lin-negative single-cell of bilio-vascular tree fragments,SAM000181818,6306
Sample 2,SAM000184203,2332
Cirrhotic1_Cd45+,SAM000184132,22769
Cirrhotic2_Cd45+,SAM000184135,22769
Cirrhotic2_CD45-,SAM000184136,22769
Cirrhotic3_CD45+,SAM000184137,22769
Cirrhotic3_Cd45-,SAM000184138,22769
Cirrhotic4_Cd45+,SAM000184139,22769
Cirrhotic5_Cd45+,SAM000184140,22769
Nizatidine-treated immune cells,SAM000184107,681
DMSO-treated immune cells,SAM000184108,681
D1_1,SAM000181776,65495
D1_2,SAM000181777,65495
D3_1,SAM000181778,65495
D3_2,SAM000181779,65495
D7_1,SAM000181780,65495
D7_2,SAM000181781,65495
D21_1,SAM000181782,65495
D21_2,SAM000181783,65495
D56_1,SAM000181784,65495
D56_2,SAM000181785,65495
p6_Far_S3,SAM000181423,6896
p6_Far_S5,SAM000181425,6896
p6_Far_S1,SAM000181421,6896
p6_Far_S9,SAM000181429,6896
p6_Far_S4,SAM000181424,6896
p6_Far_S7,SAM000181427,6896
p6_Far_S6,SAM000181426,6896
p6_Far_S2,SAM000181422,6896
p1_Far_S3,SAM000181356,6896
p1_Far_S1,SAM000181354,6896
p1_Tumor_S2,SAM000181359,6896
p1_Far_S2,SAM000181355,6896
p1_Tumor_S1,SAM000181358,6896
p1_Far_S4,SAM000181357,6896
p1_Tumor_S3,SAM000181360,6896
p1_Tumor_S4,SAM000181361,6896
p3_Far_S8,SAM000181384,6896
p3_Tumor_S4,SAM000181396,6896
p3_Far_S9,SAM000181385,6896
p3_Tumor_S1,SAM000181393,6896
p3_Tumor_S6,SAM000181398,6896
p3_Tumor_S2,SAM000181394,6896
p3_Far_S12,SAM000181388,6896
p3_Tumor_S5,SAM000181397,6896
p3_Far_S11,SAM000181387,6896
p3_Far_S15,SAM000181391,6896
p3_Far_S7,SAM000181383,6896
p3_Far_S13,SAM000181389,6896
p3_Far_S14,SAM000181390,6896
p3_Tumor_S8,SAM000181400,6896
p3_Tumor_S7,SAM000181399,6896
p3_Tumor_S3,SAM000181395,6896
p4_Far_S1,SAM000181401,6896
p4_Tumor_S7,SAM000181411,6896
p4_Tumor_S1,SAM000181405,6896
p4_Tumor_S3,SAM000181407,6896
p4_Tumor_S2,SAM000181406,6896
p4_Tumor_S6,SAM000181410,6896
p4_Tumor_S4,SAM000181408,6896
p4_Tumor_S5,SAM000181409,6896
p5_Far_S3,SAM000181414,6896
p5_Tumor_S1,SAM000181417,6896
p5_Far_S2,SAM000181413,6896
p5_Far_S1,SAM000181412,6896
p5_Tumor_S4,SAM000181420,6896
p5_Tumor_S2,SAM000181418,6896
p5_Tumor_S3,SAM000181419,6896
p2_Far_S4,SAM000181365,6896
p2_Tumor_S7,SAM000181373,6896
p2_Far_S1,SAM000181362,6896
p2_Tumor_S6,SAM000181372,6896
p2_Far_S2,SAM000181363,6896
p2_Tumor_S5,SAM000181371,6896
p2_Tumor_S2,SAM000181368,6896
p2_Tumor_S1,SAM000181367,6896
p2_Tumor_S4,SAM000181370,6896
p2_Tumor_S3,SAM000181369,6896
p2_Far_S3,SAM000181364,6896
Patient 1 Total Liver Homogenate,SAM000181337,8444
Patient 2 Total Liver Homogenate,SAM000181338,8444
Patient 3 Total Liver Homogenate,SAM000181339,8444
Patient 4 Total Liver Homogenate,SAM000181340,8444
Patient 5 Total Liver Homogenate,SAM000181341,8444
02-P166169-S109-R01: cellranger counts,SAM000181590,496
CS15_and_CS17_Blood_Liver,SAM000184189,19645
RHB6980 scRNA-Seq,SAM000183802,2036
RHB6982 scRNA-Seq,SAM000183804,2036
RHB6983 scRNA-Seq,SAM000183805,2036
RHB6984 scRNA-Seq,SAM000183806,2036
RHB6985 scRNA-Seq,SAM000183807,2036
RHB6986 scRNA-Seq,SAM000183808,2036
RHB6988 scRNA-Seq,SAM000183810,2036
RHB6991 scRNA-Seq,SAM000183813,2036
RHB6992 scRNA-Seq,SAM000183814,2036
RHB6993 scRNA-Seq,SAM000183815,2036
RHB6994 scRNA-Seq,SAM000183816,2036
RHB6995 scRNA-Seq,SAM000183817,2036
RHB6996 scRNA-Seq,SAM000183818,2036
RHB6999 scRNA-Seq,SAM000183821,2036
RHB7000 scRNA-Seq,SAM000183822,2036
RHB7001 scRNA-Seq,SAM000183823,2036
RHB7006 scRNA-Seq,SAM000183828,2036
RHB7007 scRNA-Seq,SAM000183829,2036
RHB7008 scRNA-Seq,SAM000183830,2036
RHB7009 scRNA-Seq,SAM000183831,2036
RHB7010 scRNA-Seq,SAM000183832,2036
RHB7012 scRNA-Seq,SAM000183834,2036
RHB7014 scRNA-Seq,SAM000183836,2036
RHB7017 scRNA-Seq,SAM000183839,2036
RHB7018 scRNA-Seq,SAM000183840,2036
RHB7019 scRNA-Seq,SAM000183841,2036
RHB7020 scRNA-Seq,SAM000183842,2036
RHB7021 scRNA-Seq,SAM000183843,2036
RHB7023 scRNA-Seq,SAM000183845,2036
RHB7025 scRNA-Seq,SAM000183847,2036
RHB7026 scRNA-Seq,SAM000183848,2036
RHB7027 scRNA-Seq,SAM000183849,2036
RHB7028 scRNA-Seq,SAM000183850,2036
RHB7029 scRNA-Seq,SAM000183851,2036
RHB7030 scRNA-Seq,SAM000183852,2036
RHB7031 scRNA-Seq,SAM000183853,2036
RHH4376 scRNA-Seq,SAM000181845,2036
RHH4377 scRNA-Seq,SAM000181846,2036
RHH4378 scRNA-Seq,SAM000181847,2036
RHH4379 scRNA-Seq,SAM000181848,2036
RHH4380 scRNA-Seq,SAM000181849,2036
RHH4381 scRNA-Seq,SAM000181850,2036
RHH4382 scRNA-Seq,SAM000181851,2036
RHH4383 scRNA-Seq,SAM000181852,2036
RHH4384 scRNA-Seq,SAM000181853,2036
RHH4385 scRNA-Seq,SAM000181854,2036
RHH4386 scRNA-Seq,SAM000181855,2036
RHH4387 scRNA-Seq,SAM000181856,2036
RHH4388 scRNA-Seq,SAM000181857,2036
RHH4389 scRNA-Seq,SAM000181858,2036
RHH4390 scRNA-Seq,SAM000181859,2036
RHH4391 scRNA-Seq,SAM000181860,2036
RHH4392 scRNA-Seq,SAM000181861,2036
RHH4393 scRNA-Seq,SAM000181862,2036
RHH4394 scRNA-Seq,SAM000181863,2036
RHH4395 scRNA-Seq,SAM000181864,2036
RHH4396 scRNA-Seq,SAM000181865,2036
RHH4397 scRNA-Seq,SAM000181866,2036
RHH4398 scRNA-Seq,SAM000181867,2036
RHH4399 scRNA-Seq,SAM000181868,2036
RHH4400 scRNA-Seq,SAM000181869,2036
RHH4401 scRNA-Seq,SAM000181870,2036
RHH4402 scRNA-Seq,SAM000181871,2036
RHH4403 scRNA-Seq,SAM000181872,2036
RHH4404 scRNA-Seq,SAM000181873,2036
RHH4405 scRNA-Seq,SAM000181874,2036
RHH4406 scRNA-Seq,SAM000181875,2036
RHH4407 scRNA-Seq,SAM000181876,2036
RHH4408 scRNA-Seq,SAM000181877,2036
RHH4409 scRNA-Seq,SAM000181878,2036
RHH4410 scRNA-Seq,SAM000181879,2036
RHH4411 scRNA-Seq,SAM000181880,2036
RHH4412 scRNA-Seq,SAM000181881,2036
RHH4413 scRNA-Seq,SAM000181882,2036
RHH4414 scRNA-Seq,SAM000181883,2036
RHH4415 scRNA-Seq,SAM000181884,2036
RHH4416 scRNA-Seq,SAM000181885,2036
RHH4418 scRNA-Seq,SAM000181887,2036
RHH4419 scRNA-Seq,SAM000181888,2036
RHH4420 scRNA-Seq,SAM000181889,2036
RHH4421 scRNA-Seq,SAM000181890,2036
RHH4422 scRNA-Seq,SAM000181891,2036
RHH4423 scRNA-Seq,SAM000181892,2036
RHH4424 scRNA-Seq,SAM000181893,2036
RHH4425 scRNA-Seq,SAM000181894,2036
RHH4426 scRNA-Seq,SAM000181895,2036
RHH4427 scRNA-Seq,SAM000181896,2036
RHH4428 scRNA-Seq,SAM000181897,2036
RHH4429 scRNA-Seq,SAM000181898,2036
RHH4430 scRNA-Seq,SAM000181899,2036
RHH4431 scRNA-Seq,SAM000181900,2036
RHH4432 scRNA-Seq,SAM000181901,2036
RHP4433 scRNA-Seq,SAM000182829,2036
RHP4435 scRNA-Seq,SAM000182831,2036
RHP4436 scRNA-Seq,SAM000182832,2036
RHP4437 scRNA-Seq,SAM000182833,2036
RHP4438 scRNA-Seq,SAM000182834,2036
RHP4439 scRNA-Seq,SAM000182835,2036
RHP4440 scRNA-Seq,SAM000182836,2036
RHP4441 scRNA-Seq,SAM000182837,2036
RHP4442 scRNA-Seq,SAM000182838,2036
RHP4443 scRNA-Seq,SAM000182839,2036
RHP4444 scRNA-Seq,SAM000182840,2036
RHP4445 scRNA-Seq,SAM000182841,2036
RHP4446 scRNA-Seq,SAM000182842,2036
