project_id	experiment_id	omics_id	annotation_class	celltype	logfoldchange	names	method	pval	pvals_adj	scores	layer	father_uplayer	mark	annotation_id	logfoldchange_rank	pval_rank	gene_id	ontology
PRO000000289	EPT000000294	SCT000000266	annotation_au	Central_venous_LSEC	6.45	Gene:hsa:8547	t-test	0.0	0.0	138.0	1	root	SCT000000266|t-test|Central_venous_LSECs	ANO000000170	6.0	1.0	8547	
PRO000000289	EPT000000294	SCT000000266	annotation_au	Central_venous_LSEC	6.09	Gene:hsa:1776	t-test	0.0	0.0	123.0	1	root	SCT000000266|t-test|Central_venous_LSECs	ANO000000170	8.0	2.0	1776	
PRO000000289	EPT000000294	SCT000000266	annotation_au	Central_venous_LSEC	7.2	Gene:hsa:2220	t-test	0.0	0.0	87.9	1	root	SCT000000266|t-test|Central_venous_LSECs	ANO000000170	2.0	3.0	2220	
PRO000000289	EPT000000294	SCT000000266	annotation_au	Central_venous_LSEC	4.11	Gene:hsa:7076	t-test	0.0	0.0	80.4	1	root	SCT000000266|t-test|Central_venous_LSECs	ANO000000170	23.0	4.0	7076	
PRO000000289	EPT000000294	SCT000000266	annotation_au	Central_venous_LSEC	7.15	Gene:hsa:1393	t-test	0.0	0.0	62.9	1	root	SCT000000266|t-test|Central_venous_LSECs	ANO000000170	3.0	5.0	1393	
PRO000000289	EPT000000294	SCT000000266	annotation_au	Central_venous_LSEC	7.34	Gene:hsa:339390	t-test	0.0	0.0	62.4	1	root	SCT000000266|t-test|Central_venous_LSECs	ANO000000170	1.0	6.0	339390	
PRO000000289	EPT000000294	SCT000000266	annotation_au	Central_venous_LSEC	6.08	Gene:hsa:6358	t-test	0.0	0.0	53.9	1	root	SCT000000266|t-test|Central_venous_LSECs	ANO000000170	9.0	7.0	6358	
PRO000000289	EPT000000294	SCT000000266	annotation_au	Central_venous_LSEC	5.97	Gene:hsa:23166	t-test	0.0	0.0	49.0	1	root	SCT000000266|t-test|Central_venous_LSECs	ANO000000170	11.0	8.0	23166	
PRO000000289	EPT000000294	SCT000000266	annotation_au	Central_venous_LSEC	5.5	Gene:hsa:2791	t-test	0.0	0.0	48.6	1	root	SCT000000266|t-test|Central_venous_LSECs	ANO000000170	14.0	9.0	2791	
PRO000000289	EPT000000294	SCT000000266	annotation_au	Central_venous_LSEC	5.59	Gene:hsa:3977	t-test	0.0	0.0	46.7	1	root	SCT000000266|t-test|Central_venous_LSECs	ANO000000170	13.0	10.0	3977	
PRO000000289	EPT000000294	SCT000000266	annotation_au	Central_venous_LSEC	7.1	Gene:hsa:51266	t-test	0.0	0.0	45.5	1	root	SCT000000266|t-test|Central_venous_LSECs	ANO000000170	4.0	11.0	51266	
PRO000000289	EPT000000294	SCT000000266	annotation_au	Central_venous_LSEC	4.5	Gene:hsa:64231	t-test	0.0	0.0	43.4	1	root	SCT000000266|t-test|Central_venous_LSECs	ANO000000170	19.0	12.0	64231	
PRO000000289	EPT000000294	SCT000000266	annotation_au	Central_venous_LSEC	3.8	Gene:hsa:3572	t-test	0.0	0.0	42.4	1	root	SCT000000266|t-test|Central_venous_LSECs	ANO000000170	26.0	13.0	3572	
PRO000000289	EPT000000294	SCT000000266	annotation_au	Central_venous_LSEC	6.92	Gene:hsa:170392	t-test	0.0	0.0	40.2	1	root	SCT000000266|t-test|Central_venous_LSECs	ANO000000170	5.0	14.0	170392	
PRO000000289	EPT000000294	SCT000000266	annotation_au	Central_venous_LSEC	4.35	Gene:hsa:1514	t-test	0.0	0.0	40.0	1	root	SCT000000266|t-test|Central_venous_LSECs	ANO000000170	21.0	15.0	1514	
PRO000000289	EPT000000294	SCT000000266	annotation_au	Central_venous_LSEC	4.55	Gene:hsa:3490	t-test	0.0	0.0	39.9	1	root	SCT000000266|t-test|Central_venous_LSECs	ANO000000170	18.0	16.0	3490	
PRO000000289	EPT000000294	SCT000000266	annotation_au	Central_venous_LSEC	6.08	Gene:hsa:2213	t-test	0.0	0.0	39.0	1	root	SCT000000266|t-test|Central_venous_LSECs	ANO000000170	10.0	17.0	2213	
PRO000000289	EPT000000294	SCT000000266	annotation_au	Central_venous_LSEC	0.938	Gene:hsa:7114	t-test	0.0	0.0	38.9	1	root	SCT000000266|t-test|Central_venous_LSECs	ANO000000170	29.0	18.0	7114	
PRO000000289	EPT000000294	SCT000000266	annotation_au	Central_venous_LSEC	5.9	Gene:hsa:6678	t-test	0.0	0.0	38.1	1	root	SCT000000266|t-test|Central_venous_LSECs	ANO000000170	12.0	19.0	6678	
PRO000000289	EPT000000294	SCT000000266	annotation_au	Central_venous_LSEC	5.2	Gene:hsa:2022	t-test	0.0	0.0	37.2	1	root	SCT000000266|t-test|Central_venous_LSECs	ANO000000170	17.0	20.0	2022	
PRO000000289	EPT000000294	SCT000000266	annotation_au	Central_venous_LSEC	0.53	Gene:hsa:567	t-test	0.0	0.0	36.8	1	root	SCT000000266|t-test|Central_venous_LSECs	ANO000000170	30.0	21.0	567	
PRO000000289	EPT000000294	SCT000000266	annotation_au	Central_venous_LSEC	5.47	Gene:hsa:10268	t-test	0.0	0.0	36.5	1	root	SCT000000266|t-test|Central_venous_LSECs	ANO000000170	15.0	22.0	10268	
PRO000000289	EPT000000294	SCT000000266	annotation_au	Central_venous_LSEC	3.27	Gene:hsa:7035	t-test	0.0	0.0	36.4	1	root	SCT000000266|t-test|Central_venous_LSECs	ANO000000170	27.0	23.0	7035	
PRO000000289	EPT000000294	SCT000000266	annotation_au	Central_venous_LSEC	4.37	Gene:hsa:7078	t-test	0.0	0.0	34.9	1	root	SCT000000266|t-test|Central_venous_LSECs	ANO000000170	20.0	24.0	7078	
PRO000000289	EPT000000294	SCT000000266	annotation_au	Central_venous_LSEC	4.0	Gene:hsa:4094	t-test	0.0	0.0	33.7	1	root	SCT000000266|t-test|Central_venous_LSECs	ANO000000170	24.0	25.0	4094	
PRO000000289	EPT000000294	SCT000000266	annotation_au	Central_venous_LSEC	3.96	Gene:hsa:351	t-test	0.0	0.0	33.6	1	root	SCT000000266|t-test|Central_venous_LSECs	ANO000000170	25.0	26.0	351	
PRO000000289	EPT000000294	SCT000000266	annotation_au	Central_venous_LSEC	2.09	Gene:hsa:3133	t-test	0.0	0.0	32.3	1	root	SCT000000266|t-test|Central_venous_LSECs	ANO000000170	28.0	27.0	3133	
PRO000000289	EPT000000294	SCT000000266	annotation_au	Central_venous_LSEC	4.28	Gene:hsa:8613	t-test	0.0	0.0	31.4	1	root	SCT000000266|t-test|Central_venous_LSECs	ANO000000170	22.0	28.0	8613	
PRO000000289	EPT000000294	SCT000000266	annotation_au	Central_venous_LSEC	5.23	Gene:hsa:51162	t-test	0.0	0.0	31.4	1	root	SCT000000266|t-test|Central_venous_LSECs	ANO000000170	16.0	29.0	51162	
PRO000000289	EPT000000294	SCT000000266	annotation_au	Central_venous_LSEC	6.18	Gene:hsa:7122	t-test	0.0	0.0	31.3	1	root	SCT000000266|t-test|Central_venous_LSECs	ANO000000170	7.0	30.0	7122	
PRO000000289	EPT000000294	SCT000000266	annotation_au	Cholangiocyte	6.37	Gene:hsa:307	t-test	0.0	0.0	90.5	1	root	SCT000000266|t-test|Cholangiocytes	ANO000000170	6.0	1.0	307	
PRO000000289	EPT000000294	SCT000000266	annotation_au	Cholangiocyte	4.15	Gene:hsa:7104	t-test	0.0	0.0	44.2	1	root	SCT000000266|t-test|Cholangiocytes	ANO000000170	13.0	2.0	7104	
PRO000000289	EPT000000294	SCT000000266	annotation_au	Cholangiocyte	10.3	Gene:hsa:486	t-test	0.0	0.0	37.3	1	root	SCT000000266|t-test|Cholangiocytes	ANO000000170	1.0	3.0	486	
PRO000000289	EPT000000294	SCT000000266	annotation_au	Cholangiocyte	2.24	Gene:hsa:1191	t-test	0.0	0.0	35.3	1	root	SCT000000266|t-test|Cholangiocytes	ANO000000170	21.0	4.0	1191	
PRO000000289	EPT000000294	SCT000000266	annotation_au	Cholangiocyte	7.06	Gene:hsa:100133941	t-test	0.0	0.0	32.9	1	root	SCT000000266|t-test|Cholangiocytes	ANO000000170	5.0	5.0	100133941	
PRO000000289	EPT000000294	SCT000000266	annotation_au	Cholangiocyte	4.19	Gene:hsa:3856	t-test	0.0	0.0	28.1	1	root	SCT000000266|t-test|Cholangiocytes	ANO000000170	12.0	6.0	3856	
PRO000000289	EPT000000294	SCT000000266	annotation_au	Cholangiocyte	4.88	Gene:hsa:1672	t-test	0.0	0.0	27.9	1	root	SCT000000266|t-test|Cholangiocytes	ANO000000170	11.0	7.0	1672	
PRO000000289	EPT000000294	SCT000000266	annotation_au	Cholangiocyte	3.65	Gene:hsa:3875	t-test	0.0	0.0	25.9	1	root	SCT000000266|t-test|Cholangiocytes	ANO000000170	14.0	8.0	3875	
PRO000000289	EPT000000294	SCT000000266	annotation_au	Cholangiocyte	8.56	Gene:hsa:6696	t-test	1e-45	3.4e-44	23.2	1	root	SCT000000266|t-test|Cholangiocytes	ANO000000170	4.0	9.0	6696	
PRO000000289	EPT000000294	SCT000000266	annotation_au	Cholangiocyte	6.02	Gene:hsa:3960	t-test	1e-45	3.4e-44	23.2	1	root	SCT000000266|t-test|Cholangiocytes	ANO000000170	7.0	10.0	3960	
PRO000000289	EPT000000294	SCT000000266	annotation_au	Cholangiocyte	9.94	Gene:hsa:3855	t-test	1.44e-42	5.81e-41	21.5	1	root	SCT000000266|t-test|Cholangiocytes	ANO000000170	3.0	11.0	3855	
PRO000000289	EPT000000294	SCT000000266	annotation_au	Cholangiocyte	2.25	Gene:hsa:11034	t-test	8.21e-39	2.84e-37	19.0	1	root	SCT000000266|t-test|Cholangiocytes	ANO000000170	20.0	14.0	11034	
PRO000000289	EPT000000294	SCT000000266	annotation_au	Cholangiocyte	0.456	Gene:hsa:1915	t-test	3.4e-41	1.31e-39	18.6	1	root	SCT000000266|t-test|Cholangiocytes	ANO000000170	29.0	12.0	1915	
PRO000000289	EPT000000294	SCT000000266	annotation_au	Cholangiocyte	3.63	Gene:hsa:476	t-test	6.5e-37	2.09e-35	18.4	1	root	SCT000000266|t-test|Cholangiocytes	ANO000000170	15.0	16.0	476	
PRO000000289	EPT000000294	SCT000000266	annotation_au	Cholangiocyte	0.575	Gene:hsa:2495	t-test	2.45e-39	8.71e-38	18.0	1	root	SCT000000266|t-test|Cholangiocytes	ANO000000170	28.0	13.0	2495	
PRO000000289	EPT000000294	SCT000000266	annotation_au	Cholangiocyte	2.21	Gene:hsa:2638	t-test	7.61e-37	2.44e-35	18.0	1	root	SCT000000266|t-test|Cholangiocytes	ANO000000170	22.0	17.0	2638	
