sample_id,omics_id,sample_name,organ,species,sample_number,cell_number
SAM000184218,SCT000000286,P01,liver,Homo sapiens,18,16498
SAM000184229,SCT000000286,P13,liver,Homo sapiens,18,16498
SAM000184228,SCT000000286,P12,liver,Homo sapiens,18,16498
SAM000184231,SCT000000286,P15,liver,Homo sapiens,18,16498
SAM000184230,SCT000000286,P14,liver,Homo sapiens,18,16498
SAM000184226,SCT000000286,P10,liver,Homo sapiens,18,16498
SAM000184227,SCT000000286,P11,liver,Homo sapiens,18,16498
SAM000184234,SCT000000286,P18,liver,Homo sapiens,18,16498
SAM000184233,SCT000000286,P17,liver,Homo sapiens,18,16498
SAM000184232,SCT000000286,P16,liver,Homo sapiens,18,16498
SAM000184235,SCT000000286,P19,liver,Homo sapiens,18,16498
SAM000184221,SCT000000286,P04,liver,Homo sapiens,18,16498
SAM000184220,SCT000000286,P03,liver,Homo sapiens,18,16498
SAM000184222,SCT000000286,P05,liver,Homo sapiens,18,16498
SAM000184223,SCT000000286,P07,liver,Homo sapiens,18,16498
SAM000184219,SCT000000286,P02,liver,Homo sapiens,18,16498
SAM000184225,SCT000000286,P09,liver,Homo sapiens,18,16498
SAM000184224,SCT000000286,P08,liver,Homo sapiens,18,16498
SAM000181338,SCT000000266,Patient 2 Total Liver Homogenate,liver,Homo sapiens,5,8444
SAM000181339,SCT000000266,Patient 3 Total Liver Homogenate,liver,Homo sapiens,5,8444
SAM000181337,SCT000000266,Patient 1 Total Liver Homogenate,liver,Homo sapiens,5,8444
SAM000181341,SCT000000266,Patient 5 Total Liver Homogenate,liver,Homo sapiens,5,8444
SAM000181340,SCT000000266,Patient 4 Total Liver Homogenate,liver,Homo sapiens,5,8444
SAM000181361,SCT000000267,p1_Tumor_S4,liver,Homo sapiens,151,6896
SAM000181384,SCT000000267,p3_Far_S8,liver,Homo sapiens,151,6896
SAM000181396,SCT000000267,p3_Tumor_S4,liver,Homo sapiens,151,6896
SAM000181424,SCT000000267,p6_Far_S4,liver,Homo sapiens,151,6896
SAM000181393,SCT000000267,p3_Tumor_S1,liver,Homo sapiens,151,6896
SAM000181398,SCT000000267,p3_Tumor_S6,liver,Homo sapiens,151,6896
SAM000181385,SCT000000267,p3_Far_S9,liver,Homo sapiens,151,6896
SAM000181360,SCT000000267,p1_Tumor_S3,liver,Homo sapiens,151,6896
SAM000181357,SCT000000267,p1_Far_S4,liver,Homo sapiens,151,6896
SAM000181391,SCT000000267,p3_Far_S15,liver,Homo sapiens,151,6896
SAM000181383,SCT000000267,p3_Far_S7,liver,Homo sapiens,151,6896
SAM000181389,SCT000000267,p3_Far_S13,liver,Homo sapiens,151,6896
SAM000181399,SCT000000267,p3_Tumor_S7,liver,Homo sapiens,151,6896
SAM000181395,SCT000000267,p3_Tumor_S3,liver,Homo sapiens,151,6896
SAM000181390,SCT000000267,p3_Far_S14,liver,Homo sapiens,151,6896
SAM000181400,SCT000000267,p3_Tumor_S8,liver,Homo sapiens,151,6896
SAM000181387,SCT000000267,p3_Far_S11,liver,Homo sapiens,151,6896
SAM000181394,SCT000000267,p3_Tumor_S2,liver,Homo sapiens,151,6896
SAM000181388,SCT000000267,p3_Far_S12,liver,Homo sapiens,151,6896
