id,project_id,title,author,abstract,journal,DOI,pubmed_id,mesh_term,keywords,pubdate,pubstatus,url
1,1,Construction of a human cell landscape at single-cell level,"Xiaoping Han, Ziming Zhou, Lijiang Fei, Huiyu Sun, Renying Wang, Yao Chen, Haide Chen, Jingjing Wang, Huanna Tang, Wenhao Ge, Yincong Zhou, Fang Ye, Mengmeng Jiang, Junqing Wu, Yanyu Xiao, Xiaoning Jia, Tingyue Zhang, Xiaojie Ma, Qi Zhang, Xueli Bai, Shujing Lai, Chengxuan Yu, Lijun Zhu, Rui Lin, Yuchi Gao, Min Wang, Yiqing Wu, Jianming Zhang, Renya Zhan, Saiyong Zhu, Hailan Hu, Changchun Wang, Ming Chen, He Huang, Tingbo Liang, Jianghua Chen, Weilin Wang, Dan Zhang, Guoji Guo, Xiaoping Han, Ziming Zhou, Lijiang Fei, Huiyu Sun, Renying Wang, Yao Chen, Haide Chen, Jingjing Wang, Huanna Tang, Wenhao Ge, Yincong Zhou, Fang Ye, Mengmeng Jiang, Junqing Wu, Yanyu Xiao, Xiaoning Jia, Tingyue Zhang, Xiaojie Ma, Qi Zhang, Xueli Bai, Shujing Lai, Chengxuan Yu, Lijun Zhu, Rui Lin, Yuchi Gao, Min Wang, Yiqing Wu, Jianming Zhang, Renya Zhan, Saiyong Zhu, Hailan Hu, Changchun Wang, Ming Chen, He Huang, Tingbo Liang, Jianghua Chen, Weilin Wang, Dan Zhang, Guoji Guo","Single-cell analysis is a valuable tool for dissecting cellular heterogeneity in complex systems1. However, a comprehensive single-cell atlas has not been achieved for humans. Here we use single-cell mRNA sequencing to determine the cell-type composition of all major human organs and construct a scheme for the human cell landscape (HCL). We have uncovered a single-cell hierarchy for many tissues that have not been well characterized. We established a 'single-cell HCL analysis' pipeline that helps to define human cell identity. Finally, we performed a single-cell comparative analysis of landscapes from human and mouse to identify conserved genetic networks. We found that stem and progenitor cells exhibit strong transcriptomic stochasticity, whereas differentiated cells are more distinct. Our results provide a useful resource for the study of human biology.",Nature,10.1038/s41586-020-2157-4,32214235,"Adult;Animals;Asians;Cell Differentiation;Cell Line;Cell Separation;Cells / cytology*;Cells / metabolism*;China;Databases, Factual;Embryoid Bodies / cytology;Embryoid Bodies / metabolism;Ethnicity;Fetus / cytology;Hematopoietic Stem Cells / cytology;Hematopoietic Stem Cells / metabolism;Humans;Immunity;Induced Pluripotent Stem Cells / cytology;Induced Pluripotent Stem Cells / metabolism;Islets of Langerhans / cytology;Islets of Langerhans / metabolism;Mice;Organ Specificity;RNA, Messenger / analysis;RNA, Messenger / genetics;Sequence Analysis, RNA;Single-Cell Analysis / instrumentation;Single-Cell Analysis / methods*;Stochastic Processes",Adult;Animals;Organ Specificity;Cell Differentiation;Stochastic Processes;Cell Separation;Humans;Mice;Asians;Ethnicity;Databases;China;Cell Line;Immunity;Induced Pluripotent Stem Cells;Hematopoietic Stem Cells;Islets of Langerhans;Embryoid Bodies;Messenger;Fetus;Single-Cell Analysi,25/03/2020,1,https://doi.org/10.1038/s41586-020-2157-4
2,2,Mapping the Mouse Cell Atlas by Microwell-Seq,"Xiaoping Han, Renying Wang, Yincong Zhou, Lijiang Fei, Huiyu Sun, Shujing Lai, Assieh Saadatpour, Ziming Zhou, Haide Chen, Fang Ye, Daosheng Huang, Yang Xu, Wentao Huang, Mengmeng Jiang, Xinyi Jiang, Jie Mao, Yao Chen, Chenyu Lu, Jin Xie, Qun Fang, Yibin Wang, Rui Yue, Tiefeng Li, He Huang, Stuart H Orkin, Guo-Cheng Yuan, Ming Chen, Guoji Guo, Xiaoping Han, Renying Wang, Yincong Zhou, Lijiang Fei, Huiyu Sun, Shujing Lai, Assieh Saadatpour, Ziming Zhou, Haide Chen, Fang Ye, Daosheng Huang, Yang Xu, Wentao Huang, Mengmeng Jiang, Xinyi Jiang, Jie Mao, Yao Chen, Chenyu Lu, Jin Xie, Qun Fang, Yibin Wang, Rui Yue, Tiefeng Li, He Huang, Stuart H Orkin, Guo-Cheng Yuan, Ming Chen, Guoji Guo","Single-cell RNA sequencing (scRNA-seq) technologies are poised to reshape the current cell-type classification system. However, a transcriptome-based single-cell atlas has not been achieved for complex mammalian systems. Here, we developed Microwell-seq, a high-throughput and low-cost scRNA-seq platform using simple, inexpensive devices. Using Microwell-seq, we analyzed more than 400,000 single cells covering all of the major mouse organs and constructed a basic scheme for a mouse cell atlas (MCA). We reveal a single-cell hierarchy for many tissues that have not been well characterized previously. We built a web-based ""single-cell MCA analysis"" pipeline that accurately defines cell types based on single-cell digital expression. Our study demonstrates the wide applicability of the Microwell-seq technology and MCA resource.",Nature,10.1016/j.cell.2018.05.012,29775597,"3T3 Cells;Animals;Costs and Cost Analysis;Female;High-Throughput Nucleotide Sequencing / economics;Mice;Organ Specificity;Reproducibility of Results;Sequence Analysis, RNA* / economics;Single-Cell Analysis* / economics",Microwell-seq;cell type classification;cellular heterogeneity;cross-tissue cellular network;mammalian cell map;mouse cell atlas;scMCA analysis;single cell RNA-seq;single-cell analysis;transcriptome analysis,17/05/2018,1,https://doi.org/10.1016/j.cell.2018.05.012
3,4,A single cell Arabidopsis root atlas reveals developmental trajectories in wild type and cell identity mutants,"Rachel Shahan, Che-Wei Hsu, Trevor M Nolan, Benjamin J Cole, Isaiah W Taylor, Laura Greenstreet, Stephen Zhang, Anton Afanassiev, Anna Hendrika Cornelia Vlot, Geoffrey Schiebinger, Philip N Benfey, Uwe Ohler","In all multicellular organisms, transcriptional networks orchestrate organ development. The Arabidopsis root, with its simple structure and indeterminate growth, is an ideal model for investigating the spatiotemporal transcriptional signatures underlying developmental trajectories. To map gene expression dynamics across root cell types and developmental time, we built a comprehensive, organ-scale atlas at single-cell resolution. In addition to estimating developmental progressions in pseudotime, we employed the mathematical concept of optimal transport to infer developmental trajectories and identify their underlying regulators. To demonstrate the utility of the atlas to interpret new datasets, we profiled mutants for two key transcriptional regulators at single-cell resolution, shortroot and scarecrow. We report transcriptomic and in vivo evidence for tissue trans-differentiation underlying a mixed cell identity phenotype in scarecrow. Our results support the atlas as a rich community resource for unraveling the transcriptional programs that specify and maintain cell identity to regulate spatiotemporal organ development.",Developmental cell,10.1016/j.devcel.2022.01.008,35134336,"Arabidopsis / genetics;Arabidopsis / metabolism*;Arabidopsis Proteins / genetics;Arabidopsis Proteins / metabolism*;Gene Expression Regulation, Plant / genetics*;Gene Expression Regulation, Plant / physiology;Gene Regulatory Networks / genetics*;Gene Regulatory Networks / physiology
Mutation / genetics;Plant Roots / genetics*;Plant Roots / metabolism;Single-Cell Analysis / methods;Transcription Factors / genetics;Transcription Factors / metabolism;Transcriptome / physiology",Arabidopsis;SCARECROW;SHORTROOT;cell fate;development;root;scRNA-seq;transcriptomics,07/02/2022,1,https://doi.org/10.1016/j.devcel.2022.01.008
4,5,Decoding human fetal liver haematopoiesis,"Dorin-Mirel Popescu, Rachel A Botting, Emily Stephenson, Kile Green, Simone Webb, Laura Jardine, Emily F Calderbank, Krzysztof Polanski, Issac Goh, Mirjana Efremova, Meghan Acres, Daniel Maunder, Peter Vegh, Yorick Gitton, Jong-Eun Park, Roser Vento-Tormo, Zhichao Miao, David Dixon, Rachel Rowell, David McDonald, James Fletcher, Elizabeth Poyner, Gary Reynolds, Michael Mather, Corina Moldovan, Lira Mamanova, Frankie Greig, Matthew D Young, Kerstin B Meyer, Steven Lisgo, Jaume Bacardit, Andrew Fuller, Ben Millar, Barbara Innes, Susan Lindsay, Michael J T Stubbington, Monika S Kowalczyk, Bo Li, Orr Ashenberg, Marcin Tabaka, Danielle Dionne, Timothy L Tickle, Michal Slyper, Orit Rozenblatt-Rosen, Andrew Filby, Peter Carey, Alexandra-Chlo茅 Villani, Anindita Roy, Aviv Regev, Alain Ch茅dotal, Irene Roberts, Berthold G枚ttgens, Sam Behjati, Elisa Laurenti, Sarah A Teichmann, Muzlifah Haniffa, Dorin-Mirel Popescu, Rachel A Botting, Emily Stephenson, Kile Green, Simone Webb, Laura Jardine, Emily F Calderbank, Krzysztof Polanski, Issac Goh, Mirjana Efremova, Meghan Acres, Daniel Maunder, Peter Vegh, Yorick Gitton, Jong-Eun Park, Roser Vento-Tormo, Zhichao Miao, David Dixon, Rachel Rowell, David McDonald, James Fletcher, Elizabeth Poyner, Gary Reynolds, Michael Mather, Corina Moldovan, Lira Mamanova, Frankie Greig, Matthew D Young, Kerstin B Meyer, Steven Lisgo, Jaume Bacardit, Andrew Fuller, Ben Millar, Barbara Innes, Susan Lindsay, Michael J T Stubbington, Monika S Kowalczyk, Bo Li, Orr Ashenberg, Marcin Tabaka, Danielle Dionne, Timothy L Tickle, Michal Slyper, Orit Rozenblatt-Rosen, Andrew Filby, Peter Carey, Alexandra-Chlo茅 Villani, Anindita Roy, Aviv Regev, Alain Ch茅dotal, Irene Roberts, Berthold G枚ttgens, Sam Behjati, Elisa Laurenti, Sarah A Teichmann, Muzlifah Haniffa","Definitive haematopoiesis in the fetal liver supports self-renewal and differentiation of haematopoietic stem cells and multipotent progenitors (HSC/MPPs) but remains poorly defined in humans. Here, using single-cell transcriptome profiling of approximately 140,000 liver and 74,000 skin, kidney and yolk sac cells, we identify the repertoire of human blood and immune cells during development. We infer differentiation trajectories from HSC/MPPs and evaluate the influence of the tissue microenvironment on blood and immune cell development. We reveal physiological erythropoiesis in fetal skin and the presence of mast cells, natural killer and innate lymphoid cell precursors in the yolk sac. We demonstrate a shift in the haemopoietic composition of fetal liver during gestation away from being predominantly erythroid, accompanied by a parallel change in differentiation potential of HSC/MPPs, which we functionally validate. Our integrated map of fetal liver haematopoiesis provides a blueprint for the study of paediatric blood and immune disorders, and a reference for harnessing the therapeutic potential of HSC/MPPs.",Nature,10.1038/s41586-019-1652-y,31597962,Blood Cells / cytology;Cellular Microenvironment;Female;Fetus / cytology*;Fetus / metabolism;Flow Cytometry;Gene Expression Profiling;Hematopoiesis*;Humans;Liver / cytology*;Liver / embryology*;Liver / metabolism;Lymphoid Tissue / cytology;Single-Cell Analysis;Stem Cells / metabolism,Flow Cytometry;Cellular Microenvironment;Humans;Female;Hematopoiesis;Lymphoid Tissue;Blood Cells;Liver;Fetus;Stem Cell,09/10/2019,1,https://doi.org/10.1038/s41586-019-1652-y
5,6,"scRNA-seq assessment of the human lung, spleen, and esophagus tissue stability after cold preservation","E Madissoon, A Wilbrey-Clark, R J Miragaia, K Saeb-Parsy, K T Mahbubani, N Georgakopoulos, P Harding, K Polanski, N Huang, K Nowicki-Osuch, R C Fitzgerald, K W Loudon, J R Ferdinand, M R Clatworthy, A Tsingene, S van Dongen, M Dabrowska, M Patel, M J T Stubbington, S A Teichmann, O Stegle, K B Meyer","Background: The Human Cell Atlas is a large international collaborative effort to map all cell types of the human body. Single-cell RNA sequencing can generate high-quality data for the delivery of such an atlas. However, delays between fresh sample collection and processing may lead to poor data and difficulties in experimental design.
Results: This study assesses the effect of cold storage on fresh healthy spleen, esophagus, and lung from ≥ 5 donors over 72 h. We collect 240,000 high-quality single-cell transcriptomes with detailed cell type annotations and whole genome sequences of donors, enabling future eQTL studies. Our data provide a valuable resource for the study of these 3 organs and will allow cross-organ comparison of cell types. We see little effect of cold ischemic time on cell yield, total number of reads per cell, and other quality control metrics in any of the tissues within the first 24 h. However, we observe a decrease in the proportions of lung T cells at 72 h, higher percentage of mitochondrial reads, and increased contamination by background ambient RNA reads in the 72-h samples in the spleen, which is cell type specific.
Conclusions: In conclusion, we present robust protocols for tissue preservation for up to 24 h prior to scRNA-seq analysis. This greatly facilitates the logistics of sample collection for Human Cell Atlas or clinical studies since it increases the time frames for sample processing.",Genome biology,10.1186/s13059-019-1906-x,31892341,"Cold Temperature;Esophagus / cytology;Humans;Lung / cytology;Refrigeration;Sequence Analysis, RNA*;Single-Cell Analysis*;Spleen / cytology;Tissue Preservation / methods*",Esophagus;Human;Ischemic time;Lung;Single-cell RNA sequencing;Spleen,31/12/2019,1,https://doi.org/10.1186/s13059-019-1906-x
6,8,Single-Cell RNA-Seq of Mouse Olfactory Bulb Reveals Cellular Heterogeneity and Activity-Dependent Molecular Census of Adult-Born Neurons,"Burak Tepe, Matthew C Hill, Brandon T Pekarek, Patrick J Hunt, Thomas J Martin, James F Martin, Benjamin R Arenkiel","Cellular heterogeneity within the mammalian brain poses a challenge toward understanding its complex functions. Within the olfactory bulb, odor information is processed by subtypes of inhibitory interneurons whose heterogeneity and functionality are influenced by ongoing adult neurogenesis. To investigate this cellular heterogeneity and better understand adult-born neuron development, we utilized single-cell RNA sequencing and computational modeling to reveal diverse and transcriptionally distinct neuronal and nonneuronal cell types. We also analyzed molecular changes during adult-born interneuron maturation and uncovered developmental programs within their gene expression profiles. Finally, we identified that distinct neuronal subtypes are differentially affected by sensory experience. Together, these data provide a transcriptome-based foundation for investigating subtype-specific neuronal function in the olfactory bulb (OB), charting the molecular profiles that arise during the maturation and integration of adult-born neurons and how they dynamically change in an activity-dependent manner.",Cell reports,10.1016/j.celrep.2018.11.034,30517858,"Aging / physiology*;Animals;Base Sequence;Biomarkers / metabolism;Gene Regulatory Networks;Interneurons / physiology;Mice, Inbred C57BL;Neurogenesis*;Neurons / physiology*;Olfactory Bulb / cytology*;Sequence Analysis, RNA*;Single-Cell Analysis*;Transcription, Genetic;Transcriptome / genetics",adult neurogenesis;circuit integration;development;interneuron;lineage;olfaction;olfactory bulb;single-cell RNA-seq;transcriptome,04/12/2018,1,https://doi.org/10.1016/j.celrep.2018.11.034
7,9,Immune Landscape of Viral- and Carcinogen-Driven Head and Neck Cancer,"Anthony R Cillo, Cornelius H L Kürten, Tracy Tabib, Zengbiao Qi, Sayali Onkar, Ting Wang, Angen Liu, Umamaheswar Duvvuri, Seungwon Kim, Ryan J Soose, Steffi Oesterreich, Wei Chen, Robert Lafyatis, Tullia C Bruno, Robert L Ferris, Dario A A Vignali","Head and neck squamous cell carcinoma (HNSCC) arises through exposure to environmental carcinogens or malignant transformation by human papillomavirus (HPV). Here, we assessed the transcriptional profiles of 131,224 single cells from peripheral and intra-tumoral immune populations from patients with HPV- and HPV+ HNSCC and healthy donors. Immune cells within tumors of HPV- and HPV+ HNSCC displayed a spectrum of transcriptional signatures, with helper CD4+ T cells and B cells being relatively divergent and CD8+ T cells and CD4+ regulatory T cells being relatively similar. Transcriptional results were contextualized through multispectral immunofluorescence analyses and evaluating putative cell-cell communication based on spatial proximity. These analyses defined a gene expression signature associated with CD4+ T follicular helper cells that is associated with longer progression-free survival in HNSCC patients. The datasets and analytical approaches herein provide a resource for the further study of the impact of immune cells on viral- and carcinogen-induced cancers.",Immunity,10.1016/j.immuni.2019.11.014,31924475,"Alphapapillomavirus / immunology;B-Lymphocytes / immunology*;CD8-Positive T-Lymphocytes / immunology*;Cell Differentiation / immunology;Head and Neck;Neoplasms / genetics;Head and Neck Neoplasms / immunology*;Head and Neck Neoplasms / virology;Humans;Immunotherapy;Progression-Free Survival;Squamous Cell Carcinoma of Head and Neck / genetics;Squamous Cell Carcinoma of Head and Neck / immunology*;Squamous Cell Carcinoma of Head and Neck / virology;T-Lymphocytes, Helper-Inducer / immunology*;T-Lymphocytes, Regulatory / immunology*",cancer immunology;head and neck cancer;immunotherapy;multispectral immunofluorescence MC;mutagen-driven cancer;single-cell RNAseq;tertiary lymphoid structures;transcriptomics;viral-induced cancer,07/01/2020,1,https://doi.org/10.1016/j.immuni.2019.11.014
8,10,In Vitro and In Vivo Development of the Human Airway at Single-Cell Resolution,"Alyssa J Miller, Qianhui Yu, Michael Czerwinski, Yu-Hwai Tsai, Renee F Conway, Angeline Wu, Emily M Holloway, Taylor Walker, Ian A Glass, Barbara Treutlein, J Gray Camp, Jason R Spence","Bud tip progenitor cells give rise to all murine lung epithelial lineages and have been described in the developing human lung; however, the mechanisms controlling human bud tip differentiation into specific lineages are unclear. Here, we used homogeneous human bud tip organoid cultures and identified SMAD signaling as a key regulator of the bud tip-to-airway transition. SMAD induction led to the differentiation of airway-like organoids possessing functional basal cells capable of clonal expansion and multilineage differentiation. To benchmark in vitro-derived organoids, we developed a single-cell mRNA sequencing atlas of the human lung from 11.5 to 21 weeks of development, which revealed high degrees of similarity between the in vitro-derived and in vivo airway. Together, this work sheds light on human airway differentiation in vitro and provides a single-cell atlas of the developing human lung.",Developmental cell,10.1016/j.devcel.2020.01.033,32109386,Cell Differentiation / physiology*;Epithelial Cells / cytology*;Humans;Lung / cytology;Organoids / cytology*;Pluripotent Stem Cells / cytology*;Tissue Engineering / methods,basal cell;human development;lung;lung development;lung organoid;organoid;single-cell RNA-seq,27/02/2020,1,https://doi.org/10.1016/j.devcel.2020.01.033
9,11,A cell atlas of human thymic development defines T cell repertoire formation,"Jong-Eun Park, Rachel A Botting, Cecilia Domínguez Conde, Dorin-Mirel Popescu, Marieke Lavaert, Daniel J Kunz, Issac Goh, Emily Stephenson, Roberta Ragazzini, Elizabeth Tuck, Anna Wilbrey-Clark, Kenny Roberts, Veronika R Kedlian, John R Ferdinand, Xiaoling He, Simone Webb, Daniel Maunder, Niels Vandamme, Krishnaa T Mahbubani, Krzysztof Polanski, Lira Mamanova, Liam Bolt, David Crossland, Fabrizio de Rita, Andrew Fuller, Andrew Filby, Gary Reynolds, David Dixon, Kourosh Saeb-Parsy, Steven Lisgo, Deborah Henderson, Roser Vento-Tormo, Omer A Bayraktar, Roger A Barker, Kerstin B Meyer, Yvan Saeys, Paola Bonfanti, Sam Behjati, Menna R Clatworthy, Tom Taghon, Muzlifah Haniffa, Sarah A Teichmann","The thymus provides a nurturing environment for the differentiation and selection of T cells, a process orchestrated by their interaction with multiple thymic cell types. We used single-cell RNA sequencing to create a cell census of the human thymus across the life span and to reconstruct T cell differentiation trajectories and T cell receptor (TCR) recombination kinetics. Using this approach, we identified and located in situ CD8αα+ T cell populations, thymic fibroblast subtypes, and activated dendritic cell states. In addition, we reveal a bias in TCR recombination and selection, which is attributed to genomic position and the kinetics of lineage commitment. Taken together, our data provide a comprehensive atlas of the human thymus across the life span with new insights into human T cell development.",Science,10.1126/science.aay3224,32079746,"Atlases as Topic*;CD8-Positive T-Lymphocytes / cytology;CD8-Positive T-Lymphocytes / immunology*;Cell Differentiation*;Dendritic Cells / cytology;Dendritic Cells / immunology;Fibroblasts / cytology;Fibroblasts / immunology;Humans;RNA-Seq / methods;Receptors, Antigen, T-Cell / metabolism;Single-Cell Analysis / methods;Thymus Gland / cytology;Thymus Gland / growth & development*;Thymus Gland / immunology*",Atlases as Topic;Cell Differentiation;Humans;Dendritic Cells;Receptors;Antigen;T-Cell;Thymus Gland;Fibroblasts;CD8-Positive T-Lymphocytes;Single-Cell Analysi,21/02/2020,1,https://doi.org/10.1126/science.aay3224
10,12,Single-cell reconstruction of the early maternal-fetal interface in humans,"Roser Vento-Tormo, Mirjana Efremova, Rachel A Botting, Margherita Y Turco, Miquel Vento-Tormo, Kerstin B Meyer, Jong-Eun Park, Emily Stephenson, Krzysztof Pola艅ski, Angela Goncalves, Lucy Gardner, Staffan Holmqvist, Johan Henriksson, Angela Zou, Andrew M Sharkey, Ben Millar, Barbara Innes, Laura Wood, Anna Wilbrey-Clark, Rebecca P Payne, Martin A Ivarsson, Steve Lisgo, Andrew Filby, David H Rowitch, Judith N Bulmer, Gavin J Wright, Michael J T Stubbington, Muzlifah Haniffa, Ashley Moffett, Sarah A Teichmann, Roser Vento-Tormo, Mirjana Efremova, Rachel A Botting, Margherita Y Turco, Miquel Vento-Tormo, Kerstin B Meyer, Jong-Eun Park, Emily Stephenson, Krzysztof Pola艅ski, Angela Goncalves, Lucy Gardner, Staffan Holmqvist, Johan Henriksson, Angela Zou, Andrew M Sharkey, Ben Millar, Barbara Innes, Laura Wood, Anna Wilbrey-Clark, Rebecca P Payne, Martin A Ivarsson, Steve Lisgo, Andrew Filby, David H Rowitch, Judith N Bulmer, Gavin J Wright, Michael J T Stubbington, Muzlifah Haniffa, Ashley Moffett, Sarah A Teichmann","During early human pregnancy the uterine mucosa transforms into the decidua, into which the fetal placenta implants and where placental trophoblast cells intermingle and communicate with maternal cells. Trophoblast-decidual interactions underlie common diseases of pregnancy, including pre-eclampsia and stillbirth. Here we profile the transcriptomes of about 70,000 single cells from first-trimester placentas with matched maternal blood and decidual cells. The cellular composition of human decidua reveals subsets of perivascular and stromal cells that are located in distinct decidual layers. There are three major subsets of decidual natural killer cells that have distinctive immunomodulatory and chemokine profiles. We develop a repository of ligand-receptor complexes and a statistical tool to predict the cell-type specificity of cell-cell communication via these molecular interactions. Our data identify many regulatory interactions that prevent harmful innate or adaptive immune responses in this environment. Our single-cell atlas of the maternal-fetal interface reveals the cellular organization of the decidua and placenta, and the interactions that are critical for placentation and reproductive success.",Nature,10.1038/s41586-018-0698-6,30429548,"Cell Communication* / immunology;Cell Differentiation / genetics;Decidua / cytology;Decidua / immunology;Decidua / metabolism;Female;Fetus / cytology*;Fetus / immunology;Fetus / metabolism;Histocompatibility, Maternal-Fetal / immunology*;Humans;Killer Cells, Natural / cytology;Killer Cells, Natural / immunology;Ligands;Placenta / cytology*;Placenta / immunology;Placenta / metabolism*;Pregnancy / immunology*;RNA, Small Cytoplasmic / genetics;Sequence Analysis, RNA;Single-Cell Analysis*;Stromal Cells / cytology;Stromal Cells / metabolism;Transcriptome;Trophoblasts / cytology;Trophoblasts / immunology;Trophoblasts / metabolism",Ligands;Humans;Female;Transcriptome;Decidua;Trophoblasts;Cell Differentiation;Killer Cells;Natural;Histocompatibility;Maternal-Fetal;Stromal Cells;Cell Communication;Small Cytoplasmic;Pregnancy;Fetus;Placent,14/11/2018,1,https://doi.org/10.1038/s41586-018-0698-6
