id,name,ontology,type,defination
1,primordial germ cell,CL:0000670,1,"""A primordial germ cell is a diploid germ cell precursors that transiently exist in the embryo before they enter into close association with the somatic cells of the gonad and become irreversibly committed as germ cells."" [GOC:tfm, PMID:1381289]"
2,endothelial cell,CL:0000115,1,"""An endothelial cell comprises the outermost layer or lining of anatomical structures and can be squamous or cuboidal. In mammals, endothelial cell has vimentin filaments and is derived from the mesoderm."" [GOC:tfm, http://en.wikipedia.org/wiki/Endothelial_cell, https://sourceforge.net/tracker/?func=detail&atid=440764&aid=3364936&group_id=36855, MESH:D042783, PMID:21275341]"
3,fibroblast,CL:0000057,1,"""A connective tissue cell which secretes an extracellular matrix rich in collagen and other macromolecules. Flattened and irregular in outline with branching processes; appear fusiform or spindle-shaped."" [http://en.wikipedia.org/wiki/Fibroblast, ISBN:0517223651, MESH:A11.329.228, MESH:D005347]"
4,T cell,CL:0000084,1,"""A type of lymphocyte whose defining characteristic is the expression of a T cell receptor complex."" [GOC:add, GOC:tfm, ISBN:0781735149]"
5,stromal cell,CL:0000499,1,"""A connective tissue cell of an organ found in the loose connective tissue. These are most often associated with the uterine mucosa and the ovary as well as the hematopoietic system and elsewhere."" [GOC:tfm, MESH:A11.329.830]"
6,smooth muscle cell,CL:0000192,1,"""A non-striated, elongated, spindle-shaped cell found lining the digestive tract, uterus, and blood vessels. They develop from specialized myoblasts (smooth muscle myoblast)."" [http://en.wikipedia.org/wiki/Smooth_muscle_cell, MESH:A11.620.520, MESH:D032389, PMID:9315361]"
7,B cell,CL:0000236,1,"""A lymphocyte of B lineage that is capable of B cell mediated immunity."" [GO_REF:0000031, GOC:add, GOC:tfm, ISBN:0781735149]"
8,macrophage,CL:0000235,1,"""A mononuclear phagocyte present in variety of tissues, typically differentiated from monocytes, capable of phagocytosing a variety of extracellular particulate material, including immune complexes, microorganisms, and dead cells."" [GO_REF:0000031, GOC:add, GOC:tfm, PMID:16213494, PMID:1919437]"
9,epithelial cell,CL:0000066,1,"""A cell that is usually found in a two-dimensional sheet with a free surface. The cell has a cytoskeleton that allows for tight cell to cell contact and for cell polarity where apical part is directed towards the lumen and the basal part to the basal lamina."" [FB:ma, GOC:tfm, MESH:A11.436]"
10,monocyte,CL:0000576,1,"""Myeloid mononuclear recirculating leukocyte that can act as a precursor of tissue macrophages, osteoclasts and some populations of tissue dendritic cells."" [GO_REF:0000031, MESH:A11.118.637.555.652]"
11,dendritic cell,CL:0000451,1,"""A cell of hematopoietic origin, typically resident in particular tissues, specialized in the uptake, processing, and transport of antigens to lymph nodes for the purpose of stimulating an immune response via T cell activation. These cells are lineage negative (CD3-negative, CD19-negative, CD34-negative, and CD56-negative)."" [GOC:add, ISBN:0781735149]"
12,neutrophil,CL:0000775,1,"""Any of the immature or mature forms of a granular leukocyte that in its mature form has a nucleus with three to five lobes connected by slender threads of chromatin, and cytoplasm containing fine inconspicuous granules and stainable by neutral dyes."" [GOC:add, GOC:amm, GOC:tfm, ISBN:0721601464]"
13,mast cell,CL:0000097,1,"""A cell that is found in almost all tissues containing numerous basophilic granules and capable of releasing large amounts of histamine and heparin upon activation. Progenitors leave bone marrow and mature in connective and mucosal tissue. Mature mast cells are found in all tissues, except the bloodstream. Their phenotype is CD117-high, CD123-negative, CD193-positive, CD200R3-positive, and FceRI-high. Stem-cell factor (KIT-ligand; SCF) is the main controlling signal of their survival and development."" [GOC:add, GOC:dsd, GOC:tfm, ISBN:068340007X, MESH:A11.329.427, MESH:D008407, PMCID:PMC1312421, PMCID:PMC2855166, PMID:15153310, PMID:16455980, PMID:19671378, PMID:212366338, PMID:9354811]"
14,basal cell,CL:0000646,1,"""Undifferentiated; mitotic stem cell for other epithelial cell types; rounded or elliptical with little cytoplasm and few organelles; contain cytokeratin intermediate filament."" [GOC:tfm, ISBN:0517223651]"
15,myeloid cell,CL:0000763,1,"""A cell of the monocyte, granulocyte, mast cell, megakaryocyte, or erythroid lineage."" [GOC:add]"
16,stratified epithelial cell,CL:0000079,1,
17,astrocyte,CL:0000127,1,"""A class of large neuroglial (macroglial) cells in the central nervous system - the largest and most numerous neuroglial cells in the brain and spinal cord. Astrocytes (from 'star' cells) are irregularly shaped with many long processes, including those with 'end feet' which form the glial (limiting) membrane and directly and indirectly contribute to the blood-brain barrier. They regulate the extracellular ionic and chemical environment, and 'reactive astrocytes' (along with microglia) respond to injury."" [GOC:dsd, GOC:tfm, http://en.wikipedia.org/wiki/Astrocyte, MESH:A08.637.200, MESH:D001253, PMID:11746784, PMID:12162730, PMID:12898703, PMID:20942978]"
18,goblet cell,CL:0000160,1,"""A cell of the epithelial lining that produce and secrete mucins."" [MESH:A03.492.411.369.320]"
19,enterocyte,CL:0000584,1,"""An epithelial cell that has its apical plasma membrane folded into microvilli to provide ample surface for the absorption of nutrients from the intestinal lumen."" [SANBI:mhl]"
20,mesothelial cell,CL:0000077,1,"""A flattened epithelial cell of mesenchymal origin that lines the serous cavity."" [GOC:tfm, ISBN:0721662544]"
21,chondrocyte,CL:0000138,1,"""Skeletogenic cell that is terminally differentiated, secretes an avascular, GAG-rich matrix, is embedded in cartilage tissue matrix, retains the ability to divide, and develops from a chondroblast cell."" [GO_REF:0000034, MESH:A11.329.171]"
22,oligodendrocyte,CL:0000128,1,"""A class of large neuroglial (macroglial) cells in the central nervous system. Form the insulating myelin sheath of axons in the central nervous system."" [http://en.wikipedia.org/wiki/Oligodendrocyte, MESH:A08.637.600, MESH:D009836]"
23,thyroid follicular cell,CL:0002258,1,"""A cell type that varies from squamous to columnar, depending on their activity with microvillus directed luminally. This cell produces and secretes thyroid hormones."" [GOC:tfm, ISBN:0517223651]"
24,lymphocyte,CL:0000542,1,"""A lymphocyte is a leukocyte commonly found in the blood and lymph that has the characteristics of a large nucleus, a neutral staining cytoplasm, and prominent heterochromatin."" [GOC:add, ISBN:0683073696, ISBN:0781735149]"
25,cardiocyte,CL:0002494,1,"""A cell located in the heart, including both muscle and non muscle cells."" [GOC:tfm]"
