id,celltype_id,celltype_name,type
1,1,primordial germ cell,1
2,1,CL:0000670,3
3,1,Primordial germ cell,2
4,2,endothelial cell,1
5,2,CL:0000115,3
6,2,Endothelial cell,2
7,2067,Proliferating T cell,1
8,3,fibroblast,1
9,3,CL:0000057,3
10,3,Fibroblast,2
11,1169,Fetal Neuron,1
12,4,T cell,1
13,4,CL:0000084,3
14,4,T cell,1
15,5,stromal cell,1
16,5,CL:0000499,3
17,5,Stromal cell,2
18,6,smooth muscle cell,1
19,6,CL:0000192,3
20,6,Smooth muscle cell,2
21,2591,Erythroid cell,1
22,1405,Fetal epithelial progenitor,1
23,1204,Erythroid progenitor cell (RP high),1
24,2964,Fetal stromal cell,1
25,636,Fetal mesenchymal progenitor,1
26,2659,Fetal skeletal muscle cell,1
27,2500,hESC,1
28,1323,Antigen presenting cell (RPS high),1
29,7,B cell,1
30,7,CL:0000236,3
31,7,B cell,1
32,8,macrophage,1
33,8,CL:0000235,3
34,8,Macrophage,2
35,2975,Neutrophil (RPS high),1
36,9,epithelial cell,1
37,9,CL:0000066,3
38,9,Epithelial cell,2
39,2961,Fetal enterocyte,1
40,791,CB CD34+,1
41,10,monocyte,1
42,10,CL:0000576,3
43,10,Monocyte,2
44,1593,Kidney intercalated cell,1
45,793,Fetal chondrocyte,1
46,11,dendritic cell,1
47,11,CL:0000451,3
48,11,Dendritic cell,2
49,3196,B cell (Plasmocyte),1
50,1024,Fetal endocrine cell,1
51,12,neutrophil,1
52,12,CL:0000775,3
53,12,Neutrophil,2
54,2922,Endothelial cell (APC),1
55,13,mast cell,1
56,13,CL:0000097,3
57,13,Mast cell,2
58,1169,Fetal neuron,1
59,14,basal cell,1
60,14,CL:0000646,3
61,14,Basal cell,2
62,758,Fetal acinar cell,1
63,512,Endothelial cell (endothelial to mesenchymal transition),1
64,3427,Sinusoidal endothelial cell,1
65,2642,Fetal fibroblast,1
66,2750,M2 Macrophage,1
67,1736,Immature sertoli cell (Pre-Sertoli cell),1
68,1626,Proximal tubule progenitor,1
69,2376,Loop of Henle,1
70,15,myeloid cell,1
71,15,CL:0000763,3
72,15,Myeloid cell,2
73,2970,Fasciculata cell,1
74,2560,Epithelial cell (intermediated),1
75,1144,Intermediated cell,1
76,16,stratified epithelial cell,1
77,16,CL:0000079,3
78,16,Stratified epithelial cell,2
79,812,Gastric endocrine cell,1
80,1177,Enterocyte progenitor,1
81,946,Hepatocyte/Endodermal cell,1
82,17,astrocyte,1
83,17,CL:0000127,3
84,17,Astrocyte,2
85,18,goblet cell,1
86,18,CL:0000160,3
87,18,Goblet cell,2
88,2199,Ureteric bud cell,1
89,716,Intercalated cell,1
90,19,enterocyte,1
91,19,CL:0000584,3
92,19,Enterocyte,2
93,2149,AT2 cell,1
94,798,Ventricle cardiomyocyte,1
95,2646,Adrenal gland inflammatory cell,1
96,725,Pancreas exocrine cell,1
97,484,Gastric chief cell,1
98,20,mesothelial cell,1
99,20,CL:0000077,3
100,20,Mesothelial cell,2
101,21,chondrocyte,1
102,21,CL:0000138,3
103,21,Chondrocyte,2
104,22,oligodendrocyte,1
105,22,CL:0000128,3
106,22,Oligodendrocyte,2
107,23,thyroid follicular cell,1
108,23,CL:0002258,3
109,23,Thyroid follicular cell,2
110,1114,Myocyte,1
111,24,lymphocyte,1
112,24,CL:0000542,3
113,24,Lymphocyte,2
114,2248,Myoloid cell,1
115,1371,B cell(Plasmocyte),1
116,1309,Cd8+ T cell,1
117,2013,Fetal Proliferating cell,1
118,25,cardiocyte,1
119,25,CL:0002494,3
120,25,Cardiocyte,2
121,968,Prostate epithelial cell,1
122,3038,Cd4+ T cell,1
123,26,mesenchymal stem cell,1
124,26,CL:0000134,3
125,26,Mesenchymal stem cell,2
126,3130,Mammary gland in lactation,1
127,27,neuron,1
128,27,CL:0000540,3
129,27,Neuron,2
130,3271,Intercalated cells of collecting duct,1
131,3005,Fetal kidney epithelial cell,1
132,28,hepatocyte,1
133,28,CL:0000182,3
134,28,Hepatocyte,2
135,29,endocrine cell,1
136,29,CL:0000163,3
137,29,Endocrine cell,2
138,30,acinar cell,1
139,30,CL:0000622,3
140,30,Acinar cell,2
141,2943,Female fetal gonad cell,1
142,1330,Secretory epithelial cell,1
143,2339,Alveolar type II cell,1
144,285,Microglial,1
145,3390,Adipocyte,1
146,31,small luteal cell,1
147,31,CL:0000590,3
148,31,Small luteal cell,2
149,32,cumulus cell,1
150,32,CL:0000711,3
151,32,Cumulus cell,2
152,2810,Pre sertoli cell,1
153,33,pancreatic endocrine cell,1
154,33,CL:0008024,3
155,33,Pancreatic endocrine cell,2
156,34,embryonic stem cell,1
157,34,CL:0002322,3
158,34,Embryonic stem cell,2
159,389,Fetal Premeiotic germ cell,1
160,389,Fetal premeiotic germ cell,1
161,2823,Proximal tubule brush border cell,1
162,2596,Spermatogonia,1
163,1602,Spermicyte,1
164,1923,Testicular cell,1
165,3333,Invasive spongiotrophoblast,1
166,35,"naive thymus-derived CD4-positive, alpha-beta T cell",1
167,35,CL:0000895,3
168,35,"naive thymus-derived CD4-positive, alpha-beta T cell",1
169,36,plasmacytoid dendritic cell,1
170,36,CL:0000784,3
171,36,plasmacytoid dendritic cell,1
172,37,CD14-positive monocyte,1
173,37,CL:0001054,3
174,37,CD14-positive monocyte,1
175,38,helper T cell,1
176,38,CL:0000912,3
177,38,helper T cell,1
178,39,erythroid lineage cell,1
179,39,CL:0000764,3
180,39,erythroid lineage cell,1
181,40,mesenchymal stem cell of the bone marrow,1
182,40,CL:0002540,3
183,40,mesenchymal stem cell of the bone marrow,1
184,41,megakaryocyte,1
185,41,CL:0000556,3
186,41,megakaryocyte,1
187,42,pro-B cell,1
188,42,CL:0000826,3
189,42,pro-B cell,1
190,24,lymphocyte,1
191,24,CL:0000542,3
192,24,lymphocyte,1
193,43,plasma cell,1
194,43,CL:0000786,3
195,43,plasma cell,1
196,44,"CD14-positive, CD16-positive monocyte",1
197,44,CL:0002397,3
198,44,"CD14-positive, CD16-positive monocyte",1
199,45,memory B cell,1
200,45,CL:0000787,3
201,45,memory B cell,1
202,46,conventional dendritic cell,1
203,46,CL:0000990,3
204,46,conventional dendritic cell,1
205,47,cytotoxic T cell,1
206,47,CL:0000910,3
207,47,cytotoxic T cell,1
208,48,naive B cell,1
209,48,CL:0000788,3
210,48,naive B cell,1
211,49,"CD8-positive, alpha-beta T cell",1
212,49,CL:0000625,3
213,49,"CD8-positive, alpha-beta T cell",1
214,50,natural killer cell,1
215,50,CL:0000623,3
216,50,natural killer cell,1
217,51,bone marrow hematopoietic cell,1
218,51,CL:1001610,3
219,51,bone marrow hematopoietic cell,1
220,52,precursor B cell,1
221,52,CL:0000817,3
222,52,precursor B cell,1
223,837,T-helper cell/regulatory T cell,1
224,53,naive T cell,1
225,53,CL:0000898,3
226,53,naive T cell,1
227,54,T-helper 2 cell,1
228,54,CL:0000546,3
229,54,T-helper 2 cell,1
230,55,T-helper 1 cell,1
231,55,CL:0000545,3
232,55,T-helper 1 cell,1
233,56,"CD4-positive, alpha-beta T cell",1
234,56,CL:0000624,3
235,56,"CD4-positive, alpha-beta T cell",1
236,11,dendritic cell,1
237,11,CL:0000451,3
238,11,dendritic cell,1
239,2334,naive T cell type 2,1
240,794,CD4+ naive T cell,1
241,57,hematopoietic stem cell,1
242,57,CL:0000037,3
243,57,hematopoietic stem cell,1
244,2439,CD14+ monocyte type 1,1
245,1743,cytotoxic T cell type 2,1
246,2148,naive CD8+ T cell,1
247,2300,erythroid cell type 1,1
248,26,mesenchymal stem cell,1
249,26,CL:0000134,3
250,26,mesenchymal stem cell,1
251,3440,B cell T cell doublet,1
252,2918,CD16+ monocyte,1
253,1647,CD14+ monocyte type 2,1
254,3446,T-helper cell,1
255,763,erythroid cell type 2,1
256,431,cytotoxic T cell type 1,1
257,3038,CD4+ T cell,1
258,769,naive T cell type 3,1
259,3024,natural killer cell type 1,1
260,753,T-helper cell including regulatory T cell population,1
261,2948,natural killer cell type 2,1
262,306,naive T-helper cell type 1,1
263,333,naive T cell type 1,1
264,3464,naive T-helper cell type 2,1
265,2591,erythroid cell,1
266,58,blood vessel endothelial cell,1
267,58,CL:0000071,3
268,58,blood vessel endothelial cell,1
269,59,epithelial cell of stratum germinativum of esophagus,1
270,59,CL:1000447,3
271,59,epithelial cell of stratum germinativum of esophagus,1
272,5,stromal cell,1
273,5,CL:0000499,3
274,5,stromal cell,1
275,1813,submucosal gland mucous cell,1
276,60,immature B cell,1
277,60,CL:0000816,3
278,60,immature B cell,1
279,2714,lymphatic vessel,1
280,3262,submocosal esophageal gland,1
281,61,follicular B cell,1
282,61,CL:0000843,3
283,61,follicular B cell,1
284,10,monocyte,1
285,10,CL:0000576,3
286,10,monocyte,1
287,62,T follicular helper cell,1
288,62,CL:0002038,3
289,62,T follicular helper cell,1
290,63,"activated CD8-positive, alpha-beta T cell",1
291,63,CL:0000906,3
292,63,"activated CD8-positive, alpha-beta T cell",1
293,64,innate lymphoid cell,1
294,64,CL:0001065,3
295,64,innate lymphoid cell,1
296,65,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",1
297,65,CL:0000792,3
298,65,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",1
299,66,plasmablast,1
300,66,CL:0000980,3
301,66,plasmablast,1
302,67,"CD8-alpha alpha positive, gamma-delta intraepithelial T cell",1
303,67,CL:0000802,3
304,67,"CD8-alpha alpha positive, gamma-delta intraepithelial T cell",1
305,2037,monocyte/macrophage,1
306,765,natural killer cell/CD8+ cytotoxic T cell,1
307,8,macrophage,1
308,8,CL:0000235,3
309,8,macrophage,1
310,68,epithelial cell of esophagus,1
311,68,CL:0002252,3
312,68,epithelial cell of esophagus,1
313,69,IgM plasma cell,1
314,69,CL:0000986,3
315,69,IgM plasma cell,1
316,70,IgG plasma cell,1
317,70,CL:0000985,3
318,70,IgG plasma cell,1
319,71,platelet,1
320,71,CL:0000233,3
321,71,platelet,1
322,13,mast cell,1
323,13,CL:0000097,3
324,13,mast cell,1
325,72,type II pneumocyte,1
326,72,CL:0002063,3
327,72,type II pneumocyte,1
328,73,type I pneumocyte,1
329,73,CL:0002062,3
330,73,type I pneumocyte,1
331,74,lung ciliated cell,1
332,74,CL:1000271,3
333,74,lung ciliated cell,1
334,75,muscle cell,1
335,75,CL:0000187,3
336,75,muscle cell,1
337,1015,respiratory system lymphatic vessel,1
338,898,respiratory system blood vessel,1
339,76,"CD8-positive, alpha-beta cytotoxic T cell",1
340,76,CL:0000794,3
341,76,"CD8-positive, alpha-beta cytotoxic T cell",1
342,77,regulatory T cell,1
343,77,CL:0000815,3
344,77,regulatory T cell,1
345,78,fibroblast of lung,1
346,78,CL:0002553,3
347,78,fibroblast of lung,1
348,505,dendritic cell/dividing monocyte,1
349,294,basal epithelial cell,1
350,1309,CD8+ T cell,1
351,3148,lymph vessel cell,1
352,684,blood vessel cell,1
353,2550,CD27+ B cell,1
354,3348,suprabasal epithelial cell,1
355,912,dividing epithelial cell,1
356,1363,upper epithelial cell,1
357,16,stratified epithelial cell,1
358,16,CL:0000079,3
359,16,stratified epithelial cell,1
360,1953,CD27- B cell,1
361,1992,FCGR3A+ natural killer cell,1
362,1254,CD160+ natural killer cell,1
363,813,hypermutation B cell,1
364,788,activated dendritic cell,1
365,2888,dendritic cell type 2,1
366,1837,plasma IgG expressing cell,1
367,2625,B/T doublet,1
368,1975,naÃ¯ve CD4+ T cell,1
369,2984,dividing T cell,1
370,2643,dividing natural killer cell,1
371,1629,innate lymphoid cells,1
372,2194,MAIT-like CD8+ T cell,1
373,284,gamma-delta CD8+ T cell,1
374,1786,regulatory CD4+ T cell,1
375,661,plasma IgM expressing cell,1
376,392,cytotoxic CD8+ T cell,1
377,2103,activated CD8+ T cell,1
378,2034,follicular helper CD4+ T cell,1
379,1258,mantle B cell,1
380,3182,dendritic cell type 1,1
381,518,CD34+ progenitor,1
382,2455,Unknown,1
383,1984,submucosal gland duct cell,1
384,3,fibroblast,1
385,3,CL:0000057,3
386,3,fibroblast,1
387,3414,alveolar epithelial cell type 2,1
388,2707,CD8+ cytotoxic T cell,1
389,2757,MARCOneg macrophage,1
390,2682,alveolar epithelial cell type 1,1
391,1483,MARCOpos macrophage,1
392,79,ciliated cell,1
393,79,CL:0000064,3
394,79,ciliated cell,1
395,762,dividing macrophage,1
396,723,CD4+ conventional T cell,1
397,80,decidual cell,1
398,80,CL:2000002,3
399,80,decidual cell,1
400,81,granulocyte,1
401,81,CL:0000094,3
402,81,granulocyte,1
403,2443,decidual natural killer cell,1
404,3367,placental endothelial cell,1
405,465,endometrial glandular epithelial cell,1
406,3269,uterine endothelial cell,1
407,1899,syncytiotrophoblast,1
408,2642,fetal fibroblast,1
409,82,extravillous trophoblast,1
410,82,CL:0008036,3
411,82,extravillous trophoblast,1
412,2004,uterine perivascular cell,1
413,2644,cytotrophoblast,1
414,83,Hofbauer cell,1
415,83,CL:3000001,3
416,83,Hofbauer cell,1
417,84,endothelial cell of lymphatic vessel,1
418,84,CL:0002138,3
419,84,endothelial cell of lymphatic vessel,1
420,906,decidual macrophage (dM3),1
421,1900,placental extravillous trophoblast cell (EVT),1
422,2469,Hofbauer cell (HB),1
423,924,fetal endothelial cell (Endo f),1
424,1022,decidual macrophage (dM2),1
425,890,decidual macrophage (dM1),1
426,2263,proliferating decidual natural killer cell (dNK p),1
427,1472,maternal endothelial cell (Endo m),1
428,2576,plasmacytoid dendritic cell (DC2),1
429,777,CD16-positive natural killer cell (NK CD16+),1
430,3274,decidual natural killer cell (dNK2),1
431,2156,conventional dendritic cell (DC1),1
432,2848,CD16-negative natural killer cell (NK CD16-),1
433,1198,innate lymphoid cell (ILC3),1
434,2073,syncytiotrophoblast cell (SCT),1
435,1577,decidual natural killer cell (dNK1),1
436,633,decidual natural killer cell (dNK3),1
437,3283,decidual stromal cell (dS3),1
438,1793,fetal fibroblast (fFB1),1
439,1350,lymphatic endothelial cell (Endo l),1
440,3449,decidual perivascular cell (dP1),1
441,2301,decidual stromal cell (dS2),1
442,676,decidual perivascular cell (dP2),1
443,3197,glandular epithelial cell (Epi2),1
444,1041,villous cytotrophoblast (VCT),1
445,1508,glandular epithelial cell (Epi1),1
446,2252,decidual stromal cell (dS1),1
447,3224,fetal fibroblast (fFB2),1
448,3253,Pericytes,1
449,85,ILC1,1
450,85,CL:0001068,3
451,85,ILC1,1
452,86,IgA plasma cell,1
453,86,CL:0000987,3
454,86,IgA plasma cell,1
455,2371,activated fibroblast,1
456,3415,moDC,1
457,1983,cytotoxic CD8 Trm,1
458,3153,Trm,1
459,3109,CD8 Trm,1
460,1179,TFH-like,1
461,3272,Th17 Trm,1
462,1222,resident macrophage,1
463,87,inflammatory macrophage,1
464,87,CL:0000863,3
465,87,inflammatory macrophage,1
466,593,Tregs,1
467,357,central memory T cell,1
468,6,smooth muscle cell,1
469,6,CL:0000192,3
470,6,smooth muscle cell,1
471,3073,activated DC,1
472,658,DC1,1
473,323,CD36+ endothelial cell,1
474,367,highly activated T cell,1
475,1370,pDC,1
476,88,glial cell,1
477,88,CL:0000125,3
478,88,glial cell,1
479,697,T (gd),1
480,953,ACKR1+ endothelial cell,1
481,1686,DC2,1
482,2293,ILC3,1
483,3047,T follicular helper cell like,1
484,89,"CD8-positive, alpha-beta memory T cell",1
485,89,CL:0000909,3
486,89,"CD8-positive, alpha-beta memory T cell",1
487,90,myeloid dendritic cell,1
488,90,CL:0000782,3
489,90,myeloid dendritic cell,1
490,91,group 1 innate lymphoid cell,1
491,91,CL:0001067,3
492,91,group 1 innate lymphoid cell,1
493,92,pericyte cell,1
494,92,CL:0000669,3
495,92,pericyte cell,1
496,93,smooth muscle fiber of ileum,1
497,93,CL:1000278,3
498,93,smooth muscle fiber of ileum,1
499,94,mature conventional dendritic cell,1
500,94,CL:0000841,3
501,94,mature conventional dendritic cell,1
502,95,"central memory CD8-positive, alpha-beta T cell",1
503,95,CL:0000907,3
504,95,"central memory CD8-positive, alpha-beta T cell",1
505,96,T-helper 17 cell,1
506,96,CL:0000899,3
507,96,T-helper 17 cell,1
508,97,memory T cell,1
509,97,CL:0000813,3
510,97,memory T cell,1
511,98,group 3 innate lymphoid cell,1
512,98,CL:0001071,3
513,98,group 3 innate lymphoid cell,1
514,99,tissue-resident macrophage,1
515,99,CL:0000864,3
516,99,tissue-resident macrophage,1
517,100,gut endothelial cell,1
518,100,CL:0000131,3
519,100,gut endothelial cell,1
520,101,gamma-delta T cell,1
521,101,CL:0000798,3
522,101,gamma-delta T cell,1
523,2926,fibroblasts,1
524,747,unassigned resting T cell,1
525,2697,resting CD8+ T cell,1
526,2872,resting CD4+ T cell,1
527,382,unassigned activated T call,1
528,2459,activated CD4+ T cell,1
529,102,"activated CD4-positive, alpha-beta T cell",1
530,102,CL:0000896,3
531,102,"activated CD4-positive, alpha-beta T cell",1
532,103,ionocyte,1
533,103,CL:0005006,3
534,103,ionocyte,1
535,104,nasal mucosa goblet cell,1
536,104,CL:0002480,3
537,104,nasal mucosa goblet cell,1
538,105,olfactory bulb tufted cell,1
539,105,CL:1001503,3
540,105,olfactory bulb tufted cell,1
541,106,olfactory epithelial cell,1
542,106,CL:0002167,3
543,106,olfactory epithelial cell,1
544,22,oligodendrocyte,1
545,22,CL:0000128,3
546,22,oligodendrocyte,1
547,107,brush cell,1
548,107,CL:0002204,3
549,107,brush cell,1
550,108,interneuron,1
551,108,CL:0000099,3
552,108,interneuron,1
553,109,ciliated epithelial cell,1
554,109,CL:0000067,3
555,109,ciliated epithelial cell,1
556,12,neutrophil,1
557,12,CL:0000775,3
558,12,neutrophil,1
559,110,olfactory receptor cell,1
560,110,CL:0000207,3
561,110,olfactory receptor cell,1
562,27,neuron,1
563,27,CL:0000540,3
564,27,neuron,1
565,111,basal cell of olfactory epithelium,1
566,111,CL:0002169,3
567,111,basal cell of olfactory epithelium,1
568,112,nasal cavity respiratory epithelium epithelial cell of viscerocranial mucosa,1
569,112,CL:2000094,3
570,112,nasal cavity respiratory epithelium epithelial cell of viscerocranial mucosa,1
571,113,type-6 epithelial cell of thymus,1
572,113,CL:0002295,3
573,113,type-6 epithelial cell of thymus,1
574,1116,mitral tufted cell,1
575,1974,fibroblast 1,1
576,1059,blood endothelial cell,1
577,479,Obp2a+ Obp2b+ Obp1a+ Obp1b+ cell 1,1
578,2287,Obp2a+ Obp2b+ Obp1a+ Obp1b+ cell 2,1
579,275,Gria2+ neuron,1
580,2766,fibroblast 2,1
581,2616,tuft cell,1
582,2715,Muc5b+ Bpifa1+ Bpifb2+ goblet cell,1
583,1057,Bpif9ba+ Bpifb9b+ Bpifb5+ cell,1
584,3231,fibroblast 3,1
585,981,vomeronasal receptor expressing neuron,1
586,1488,Muc5b+ Scgb1c1+ goblet cell,1
587,1111,Cck+ epithelial cell,1
588,496,Arx+ neuron,1
589,3141,Cyp2g1+ olfactory epithelial cell,1
590,1184,myofibroblast or pericyte,1
591,1469,olfactory epithelial gland cell,1
592,1771,olfactory sensory neuron,1
593,2614,Muc2+ Cyp2g1+ olfactory epithelial cell,1
594,1180,Npy+ neuron,1
595,1995,Cxcl17+ Ccl9+ epithelial cell,1
596,1069,immature rostral migratory neuron,1
597,3339,immature olfactory sensory neuron,1
598,3335,external plexiform layer interneuron,1
599,521,myofibroblast,1
600,114,endothelial tip cell,1
601,114,CL:0000704,3
602,114,endothelial tip cell,1
603,1416,pericyte,1
604,115,epithelial cell of large intestine,1
605,115,CL:0002253,3
606,115,epithelial cell of large intestine,1
607,15,myeloid cell,1
608,15,CL:0000763,3
609,15,myeloid cell,1
610,18,goblet cell,1
611,18,CL:0000160,3
612,18,goblet cell,1
613,2770,consensus molecular subtype 3 epithelial cell,1
614,116,smooth muscle cell of large intestine,1
615,116,CL:1000279,3
616,116,smooth muscle cell of large intestine,1
617,2009,consensus molecular subtype 1 epithelial cell,1
618,117,endothelial stalk cell,1
619,117,CL:0002671,3
620,117,endothelial stalk cell,1
621,118,enterocyte of epithelium of large intestine,1
622,118,CL:0002071,3
623,118,enterocyte of epithelium of large intestine,1
624,1436,consensus molecular subtype 2 epithelial cell,1
625,119,brush cell of epithelium proper of large intestine,1
626,119,CL:0002203,3
627,119,brush cell of epithelium proper of large intestine,1
628,434,unspecified plasma cell,1
629,307,lymphatic endothelial cell,1
630,1889,unknown myeloid cell,1
631,3366,stalk-like endothelial cell,1
632,2345,IgA+ plasma cell,1
633,863,stromal 1,1
634,3021,CD19+CD20+ B cell,1
635,3232,mature enterocyte,1
636,1036,BEST4+ enterocyte,1
637,3454,stem-like/transit amplifying epithelial cell,1
638,343,stromal 2,1
639,2119,stromal 3,1
640,2651,intermediate epithelial cell,1
641,2316,enteric glial cell,1
642,400,tip-like endothelial cell,1
643,1809,gamma delta T cell,1
644,985,pro-inflammatory myeloid cell,1
645,1600,anti-inflammatory myeloid cell,1
646,2683,proliferating myeloid cell,1
647,426,SPP1+B myeloid cell,1
648,3063,unknown T cell,1
649,402,consensus molecular subtype 1,1
650,2455,unknown,1
651,9,epithelial cell,1
652,9,CL:0000066,3
653,9,epithelial cell,1
654,3289,SPP1+A myeloid cell,1
655,1310,consensus molecular subtype 3,1
656,3462,consensus molecular subtype 2,1
657,120,hematopoietic precursor cell,1
658,120,CL:0008001,3
659,120,hematopoietic precursor cell,1
660,121,promonocyte,1
661,121,CL:0000559,3
662,121,promonocyte,1
663,122,Fraction A pre-pro B cell,1
664,122,CL:0002045,3
665,122,Fraction A pre-pro B cell,1
666,123,early pro-B cell,1
667,123,CL:0002046,3
668,123,early pro-B cell,1
669,124,basophil,1
670,124,CL:0000767,3
671,124,basophil,1
672,125,late pro-B cell,1
673,125,CL:0002048,3
674,125,late pro-B cell,1
675,126,erythroblast,1
676,126,CL:0000765,3
677,126,erythroblast,1
