id,celltype_id,sample_id
1,1,SAM000000090
2,4,SAM000000089
3,5,SAM000000089
4,6,SAM000000089
5,11,SAM000000089
6,7,SAM000000089
7,12,SAM000000089
8,8,SAM000000089
9,6,SAM000000091
10,10,SAM000000090
11,11,SAM000000090
12,8,SAM000000090
13,4,SAM000000090
14,2,SAM000000090
15,6,SAM000000090
16,10,SAM000000089
17,16,SAM000000087
18,9,SAM000000087
19,6,SAM000000087
20,4,SAM000000087
21,7,SAM000000087
22,12,SAM000000087
23,11,SAM000000087
24,2,SAM000000089
25,1,SAM000000089
26,10,SAM000000087
27,8,SAM000000087
28,2,SAM000000091
29,4,SAM000000093
30,1,SAM000000093
31,8,SAM000000093
32,6,SAM000000093
33,2,SAM000000093
34,1,SAM000000095
35,10,SAM000000093
36,7,SAM000000093
37,12,SAM000000093
38,11,SAM000000093
39,11,SAM000000092
40,4,SAM000000092
41,13,SAM000000091
42,4,SAM000000091
43,5,SAM000000091
44,11,SAM000000091
45,10,SAM000000091
46,1,SAM000000091
47,8,SAM000000091
48,7,SAM000000092
49,1,SAM000000087
50,12,SAM000000092
51,13,SAM000000092
52,3,SAM000000092
53,2,SAM000000092
54,5,SAM000000092
55,6,SAM000000092
56,8,SAM000000092
57,10,SAM000000092
58,6,SAM000000095
59,2,SAM000000087
60,8,SAM000000081
61,4,SAM000000081
62,10,SAM000000081
63,11,SAM000000081
64,12,SAM000000081
65,2,SAM000000082
66,7,SAM000000082
67,4,SAM000000082
68,8,SAM000000082
69,10,SAM000000082
70,12,SAM000000082
71,11,SAM000000082
72,18,SAM000000082
73,6,SAM000000081
74,7,SAM000000081
75,4,SAM000000078
76,8,SAM000000078
77,11,SAM000000078
78,2,SAM000000078
79,10,SAM000000078
80,6,SAM000000078
81,18,SAM000000078
82,19,SAM000000078
83,1,SAM000000078
84,9,SAM000000081
85,18,SAM000000081
86,1,SAM000000081
87,2,SAM000000081
88,11,SAM000000085
89,12,SAM000000085
90,1,SAM000000085
91,10,SAM000000085
92,1,SAM000000086
93,8,SAM000000085
94,7,SAM000000085
95,11,SAM000000086
96,5,SAM000000087
97,4,SAM000000086
98,4,SAM000000085
99,7,SAM000000086
100,13,SAM000000086
101,13,SAM000000085
102,10,SAM000000086
103,12,SAM000000086
104,4,SAM000000083
105,2,SAM000000083
106,6,SAM000000082
107,1,SAM000000082
108,1,SAM000000083
109,12,SAM000000083
110,11,SAM000000083
111,8,SAM000000083
112,10,SAM000000083
113,6,SAM000000083
114,7,SAM000000083
115,2,SAM000000095
116,11,SAM000000023
117,8,SAM000000023
118,2,SAM000000023
119,7,SAM000000023
120,4,SAM000000023
121,6,SAM000000023
122,10,SAM000000023
123,16,SAM000000023
124,9,SAM000000023
125,2,SAM000000021
126,13,SAM000000021
127,8,SAM000000021
128,3,SAM000000021
129,6,SAM000000021
130,10,SAM000000021
131,4,SAM000000021
132,3,SAM000000023
133,12,SAM000000024
134,5,SAM000000024
135,6,SAM000000024
136,16,SAM000000024
137,13,SAM000000024
138,4,SAM000000026
139,11,SAM000000026
140,15,SAM000000024
141,4,SAM000000024
142,5,SAM000000023
143,13,SAM000000023
144,9,SAM000000024
145,2,SAM000000024
146,8,SAM000000024
147,7,SAM000000024
148,10,SAM000000024
149,11,SAM000000024
150,15,SAM000000023
151,8,SAM000000016
152,2,SAM000000016
153,11,SAM000000016
154,10,SAM000000016
155,12,SAM000000016
156,13,SAM000000016
157,6,SAM000000019
158,5,SAM000000016
159,4,SAM000000016
160,2,SAM000000014
161,5,SAM000000014
162,3,SAM000000014
163,6,SAM000000014
