id,name,desc,type,md5,omics_id,omics_type
1,PRO000000001_EPT000000001_SCT000000001.h5ad,sct_expr,h5ad,0a314d50c7309c3fd66177b3950af7f8,SCT000000001,1
2,PRO000000002_EPT000000002_SCT000000002.h5ad,sct_expr,h5ad,55c0f4955832eef2b8d3e5863ce910f1,SCT000000002,1
3,PRO000000003_EPT000000003_SCT000000003.h5ad,sct_expr,h5ad,ac65604c7b8a2f4cb476c8244368ed47,SCT000000003,1
4,PRO000000005_EPT000000005_SCT000000005.h5ad,sct_expr,h5ad,42ab8115404edb4ed78c47160b1dbe52,SCT000000005,1
5,PRO000000006_EPT000000006_SCT000000006.h5ad,sct_expr,h5ad,19159c4bfdb97fcd61d3089aa750fabd,SCT000000006,1
6,PRO000000007_EPT000000007_SCT000000007.h5ad,sct_expr,h5ad,9449d83c14a4278b22cf10f76c619e27,SCT000000007,1
7,PRO000000008_EPT000000008_SCT000000008.h5ad,sct_expr,h5ad,f6972aed4ba3d208bf26066af7eecb82,SCT000000008,1
8,PRO000000009_EPT000000009_SCT000000009.h5ad,sct_expr,h5ad,1bebeee7379feec3cbe7986d477649a3,SCT000000009,1
9,PRO000000010_EPT000000010_SCT000000010.h5ad,sct_expr,h5ad,664e7378237e22338fd7ab1d1cf216d5,SCT000000010,1
10,PRO000000011_EPT000000011_SCT000000011.h5ad,sct_expr,h5ad,0e6c9e594db33fc55a698745dbd8c34f,SCT000000011,1
11,PRO000000012_EPT000000012_SCT000000012.h5ad,sct_expr,h5ad,420de318bd3fe1175f4ba4e75f0145ab,SCT000000012,1
12,PRO000000013_EPT000000013_SCT000000013.h5ad,sct_expr,h5ad,baf3745fd238cc92a8696d42e7b1dfa6,SCT000000013,1
13,PRO000000014_EPT000000014_SCT000000014.h5ad,sct_expr,h5ad,71e3559ad605d350e772a9ff757a0e72,SCT000000014,1
14,PRO000000015_EPT000000015_SCT000000015.h5ad,sct_expr,h5ad,a5233960bc5283a733ff7f168db9d9c0,SCT000000015,1
15,PRO000000016_EPT000000016_SCT000000016.h5ad,sct_expr,h5ad,4c8964a96ead864d56e26f28a77ca538,SCT000000016,1
16,PRO000000017_EPT000000017_SCT000000017.h5ad,sct_expr,h5ad,2d7165b85a66f63f523d3d5970e417ad,SCT000000017,1
17,PRO000000018_EPT000000018_SCT000000018.h5ad,sct_expr,h5ad,ea8da23de45691d385529f3570b09087,SCT000000018,1
18,PRO000000019_EPT000000019_SCT000000019.h5ad,sct_expr,h5ad,1451299740ecde99c356c623e6cbb139,SCT000000019,1
19,PRO000000020_EPT000000020_SCT000000020.h5ad,sct_expr,h5ad,bb7c3bc380300468daca62f5d026bc8c,SCT000000020,1
20,PRO000000021_EPT000000021_SCT000000021.h5ad,sct_expr,h5ad,ce743b6a19f2f676bc6b56298b2b72bd,SCT000000021,1
21,PRO000000022_EPT000000022_SCT000000022.h5ad,sct_expr,h5ad,ae4ec5bdcfabff013686659e5bf4ff44,SCT000000022,1
22,PRO000000023_EPT000000023_SCT000000023.h5ad,sct_expr,h5ad,af59d9beeb7eece4aa90d0ad5d93e15c,SCT000000023,1
