id,title,description,topic,source,data_pubdate,data_source_url,source_project_id,status
1,Construction of a human cell landscape at single-cell level,"Single-cell analysis is a valuable tool for dissecting cellular heterogeneity in complex systems1. However, a comprehensive single-cell atlas has not been achieved for humans. Here we use single-cell mRNA sequencing to determine the cell-type composition of all major human organs and construct a scheme for the human cell landscape (HCL). We have uncovered a single-cell hierarchy for many tissues that have not been well characterized. We established a 'single-cell HCL analysis' pipeline that helps to define human cell identity. Finally, we performed a single-cell comparative analysis of landscapes from human and mouse to identify conserved genetic networks. We found that stem and progenitor cells exhibit strong transcriptomic stochasticity, whereas differentiated cells are more distinct. Our results provide a useful resource for the study of human biology.",cell_atlas,Pubmed,,"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE134355, https://figshare.com/articles/dataset/HCL_DGE_Data/7235471",HCL,1
2,Mapping the Mouse Cell Atlas by Microwell-Seq,"Single-cell RNA sequencing (scRNA-seq) technologies are poised to reshape the current cell-type classification system. However, a transcriptome-based single-cell atlas has not been achieved for complex mammalian systems. Here, we developed Microwell-seq, a high-throughput and low-cost scRNA-seq platform using simple, inexpensive devices. Using Microwell-seq, we analyzed more than 400,000 single cells covering all of the major mouse organs and constructed a basic scheme for a mouse cell atlas (MCA). We reveal a single-cell hierarchy for many tissues that have not been well characterized previously. We built a web-based ""single-cell MCA analysis"" pipeline that accurately defines cell types based on single-cell digital expression. Our study demonstrates the wide applicability of the Microwell-seq technology and MCA resource.",cell_atlas,Pubmed,,"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE108097, https://figshare.com/s/865e694ad06d5857db4b",MCA,1
3,Census of Immune Cells,"Diverse cells of the immune system maintain and protect tissue function, integrity, and homeostasis upon changes in functional demands and diverse perturbations. Recent advances such as massively parallel single-cell RNA-sequencing and sophisticated computational methods help shed new light on this complexity. This immune cell census aims to profile up to 2M immunocytes, the first tranche of this is currently available. With computational methods optimized to a massive scale, we can readily identify cell types and markers, as well as the process of hematopoietic differentiation. The high quality and comprehensive reference map is provided as an open community resource for understanding human health and disease.",immunology,SCEA,,https://www.ebi.ac.uk/gxa/sc/experiments/E-HCAD-4/result,E-HCAD-4,1
4,A single cell Arabidopsis root atlas reveals developmental trajectories in wild type and cell identity mutants,"In all multicellular organisms, transcriptional networks orchestrate organ development. The Arabidopsis root, with its simple structure and indeterminate growth, is an ideal model for investigating the spatiotemporal transcriptional signatures underlying developmental trajectories. To map gene expression dynamics across root cell types and developmental time, we built a comprehensive, organ-scale atlas at single-cell resolution. In addition to estimating developmental progressions in pseudotime, we employed the mathematical concept of optimal transport to infer developmental trajectories and identify their underlying regulators. To demonstrate the utility of the atlas to interpret new datasets, we profiled mutants for two key transcriptional regulators at single-cell resolution, shortroot and scarecrow. We report transcriptomic and in vivo evidence for tissue trans-differentiation underlying a mixed cell identity phenotype in scarecrow. Our results support the atlas as a rich community resource for unraveling the transcriptional programs that specify and maintain cell identity to regulate spatiotemporal organ development.",developmental_biology,SCEA,,https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-152766/result,E-GEOD-152766,0
5,"Human fetal liver, skin and kidney single cell transcriptome data","Definitive haematopoiesis in the fetal liver supports self-renewal and differentiation of haematopoietic stem cells and multipotent progenitors (HSC/MPPs) but remains poorly defined in humans. Here, using single-cell transcriptome profiling of approximately 140,000 liver and 74,000 skin, kidney and yolk sac cells, we identify the repertoire of human blood and immune cells during development. We infer differentiation trajectories from HSC/MPPs and evaluate the influence of the tissue microenvironment on blood and immune cell development. We reveal physiological erythropoiesis in fetal skin and the presence of mast cells, natural killer and innate lymphoid cell precursors in the yolk sac. We demonstrate a shift in the haemopoietic composition of fetal liver during gestation away from being predominantly erythroid, accompanied by a parallel change in differentiation potential of HSC/MPPs, which we functionally validate. Our integrated map of fetal liver haematopoiesis provides a blueprint for the study of paediatric blood and immune disorders, and a reference for harnessing the therapeutic potential of HSC/MPPs.",developmental_biology,SCEA,,https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-7407/result,E-MTAB-7407,1
6,Ischaemic sensitivity of human tissue by single cell RNA seq,"Background: The Human Cell Atlas is a large international collaborative effort to map all cell types of the human body. Single-cell RNA sequencing can generate high-quality data for the delivery of such an atlas. However, delays between fresh sample collection and processing may lead to poor data and difficulties in experimental design.
Results: This study assesses the effect of cold storage on fresh healthy spleen, esophagus, and lung from ≥ 5 donors over 72 h. We collect 240,000 high-quality single-cell transcriptomes with detailed cell type annotations and whole genome sequences of donors, enabling future eQTL studies. Our data provide a valuable resource for the study of these 3 organs and will allow cross-organ comparison of cell types. We see little effect of cold ischemic time on cell yield, total number of reads per cell, and other quality control metrics in any of the tissues within the first 24 h. However, we observe a decrease in the proportions of lung T cells at 72 h, higher percentage of mitochondrial reads, and increased contamination by background ambient RNA reads in the 72-h samples in the spleen, which is cell type specific.
Conclusions: In conclusion, we present robust protocols for tissue preservation for up to 24 h prior to scRNA-seq analysis. This greatly facilitates the logistics of sample collection for Human Cell Atlas or clinical studies since it increases the time frames for sample processing.",cell_atlas;methodology,SCEA,,https://www.ebi.ac.uk/gxa/sc/experiments/E-HCAD-1/result,E-HCAD-1,1
7,Gene expression profiling of SARS-CoV-1/2 infected human cell lines at single-cell level,"To identify human genes and cellular pathways influencing SARS-CoV-1 and SARS-CoV-2 infection, we performed genome-wide measurements of different aspects of gene expression at the bulk and single-cell level. Different human cell lines were infected with SARS-CoV-1 and SARS-CoV-2 and harvested at different time points. Gene expression profiling was measured using bulk and single-cell polyA RNA-sequencing, smallRNA sequencing, and totalRNA sequencing. This experiment contains the single-cell expression data.",disease,SCEA,,https://www.ebi.ac.uk/gxa/sc/experiments/E-CURD-53/result,E-CURD-53,1
8,Single cell RNAseq of mouse olfactory bulb reveals cellular heterogeneity and activity dependent molecular census of adult-born neurons,"Cellular heterogeneity within the mammalian brain poses a challenge toward understanding its complex functions. Within the olfactory bulb, odor information is processed by subtypes of inhibitory interneurons whose heterogeneity and functionality are influenced by ongoing adult neurogenesis. To investigate this cellular heterogeneity and better understand adult-born neuron development, we utilized single-cell RNA sequencing and computational modeling to reveal diverse and transcriptionally distinct neuronal and nonneuronal cell types. We also analyzed molecular changes during adult-born interneuron maturation and uncovered developmental programs within their gene expression profiles. Finally, we identified that distinct neuronal subtypes are differentially affected by sensory experience. Together, these data provide a transcriptome-based foundation for investigating subtype-specific neuronal function in the olfactory bulb (OB), charting the molecular profiles that arise during the maturation and integration of adult-born neurons and how they dynamically change in an activity-dependent manner.",neuroscience,SCEA,,https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-121891/result,E-GEOD-121891,1
9,Immune landscape of viral- and carcinogen-derived head and neck cancer,"Head and neck squamous cell carcinoma (HNSCC) arises through exposure to environmental carcinogens or malignant transformation by human papillomavirus (HPV). Here, we assessed the transcriptional profiles of 131,224 single cells from peripheral and intra-tumoral immune populations from patients with HPV- and HPV+ HNSCC and healthy donors. Immune cells within tumors of HPV- and HPV+ HNSCC displayed a spectrum of transcriptional signatures, with helper CD4+ T cells and B cells being relatively divergent and CD8+ T cells and CD4+ regulatory T cells being relatively similar. Transcriptional results were contextualized through multispectral immunofluorescence analyses and evaluating putative cell-cell communication based on spatial proximity. These analyses defined a gene expression signature associated with CD4+ T follicular helper cells that is associated with longer progression-free survival in HNSCC patients. The datasets and analytical approaches herein provide a resource for the further study of the impact of immune cells on viral- and carcinogen-induced cancers.",cancer,SCEA,,https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-139324/result,E-GEOD-139324,1
10,scRNA-seq of human fetal lung primary tissues and cell cultures derived from fetal bud tip progenitors under dual SMAD treatment,"Bud tip progenitor cells give rise to all murine lung epithelial lineages and have been described in the developing human lung; however, the mechanisms controlling human bud tip differentiation into specific lineages are unclear. Here, we used homogeneous human bud tip organoid cultures and identified SMAD signaling as a key regulator of the bud tip-to-airway transition. SMAD induction led to the differentiation of airway-like organoids possessing functional basal cells capable of clonal expansion and multilineage differentiation. To benchmark in vitro-derived organoids, we developed a single-cell mRNA sequencing atlas of the human lung from 11.5 to 21 weeks of development, which revealed high degrees of similarity between the in vitro-derived and in vivo airway. Together, this work sheds light on human airway differentiation in vitro and provides a single-cell atlas of the developing human lung.",developmental_biology,SCEA,,https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-8221/result,E-MTAB-8221,1
11,"A cell atlas of human thymic development defines T cell repertoire formation, human thymic gene expression data","The thymus provides a nurturing environment for the differentiation and selection of T cells, a process orchestrated by their interaction with multiple thymic cell types. We used single-cell RNA sequencing to create a cell census of the human thymus across the life span and to reconstruct T cell differentiation trajectories and T cell receptor (TCR) recombination kinetics. Using this approach, we identified and located in situ CD8αα+ T cell populations, thymic fibroblast subtypes, and activated dendritic cell states. In addition, we reveal a bias in TCR recombination and selection, which is attributed to genomic position and the kinetics of lineage commitment. Taken together, our data provide a comprehensive atlas of the human thymus across the life span with new insights into human T cell development.",cell_atlas;immunology,SCEA,,https://www.ebi.ac.uk/gxa/sc/experiments/E-CURD-79/result,E-CURD-79,1
12,A Cellular Atlas of Pitx2-Dependent Cardiac Development,"During early human pregnancy the uterine mucosa transforms into the decidua, into which the fetal placenta implants and where placental trophoblast cells intermingle and communicate with maternal cells. Trophoblast-decidual interactions underlie common diseases of pregnancy, including pre-eclampsia and stillbirth. Here we profile the transcriptomes of about 70,000 single cells from first-trimester placentas with matched maternal blood and decidual cells. The cellular composition of human decidua reveals subsets of perivascular and stromal cells that are located in distinct decidual layers. There are three major subsets of decidual natural killer cells that have distinctive immunomodulatory and chemokine profiles. We develop a repository of ligand-receptor complexes and a statistical tool to predict the cell-type specificity of cell-cell communication via these molecular interactions. Our data identify many regulatory interactions that prevent harmful innate or adaptive immune responses in this environment. Our single-cell atlas of the maternal-fetal interface reveals the cellular organization of the decidua and placenta, and the interactions that are critical for placentation and reproductive success.",developmental_biology,SCEA,,https://www.ebi.ac.uk/gxa/sc/experiments/E-HCAD-17/result,E-HCAD-17,1
13,Reconstructing the human first trimester fetal-maternal interface using single cell transcriptomics - 10x data,"During early human pregnancy the uterine mucosa transforms into the decidua, into which the fetal placenta implants and where placental trophoblast cells intermingle and communicate with maternal cells. Trophoblast-decidual interactions underlie common diseases of pregnancy, including pre-eclampsia and stillbirth. Here we profile the transcriptomes of about 70,000 single cells from first-trimester placentas with matched maternal blood and decidual cells. The cellular composition of human decidua reveals subsets of perivascular and stromal cells that are located in distinct decidual layers. There are three major subsets of decidual natural killer cells that have distinctive immunomodulatory and chemokine profiles. We develop a repository of ligand-receptor complexes and a statistical tool to predict the cell-type specificity of cell-cell communication via these molecular interactions. Our data identify many regulatory interactions that prevent harmful innate or adaptive immune responses in this environment. Our single-cell atlas of the maternal-fetal interface reveals the cellular organization of the decidua and placenta, and the interactions that are critical for placentation and reproductive success.",disease;developmental_biology,SCEA,,https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-6701/result,E-MTAB-6701,1
14,Single-cell analysis of Crohn's disease lesions identifies a pathogenic cellular module associated with resistance to anti-TNF therapy,"Clinical benefits of cytokine blockade in ileal Crohn's disease (iCD) are limited to a subset of patients. Here, we applied single-cell technologies to iCD lesions to address whether cellular heterogeneity contributes to treatment resistance. We found that a subset of patients expressed a unique cellular module in inflamed tissues that consisted of IgG plasma cells, inflammatory mononuclear phagocytes, activated T cells, and stromal cells, which we named the GIMATS module. Analysis of ligand-receptor interaction pairs identified a distinct network connectivity that likely drives the GIMATS module. Strikingly, the GIMATS module was also present in a subset of patients in four independent iCD cohorts (n = 441), and its presence at diagnosis correlated with failure to achieve durable corticosteroid-free remission upon anti-TNF therapy. These results emphasize the limitations of current diagnostic assays and the potential for single-cell mapping tools to identify novel biomarkers of treatment response and tailored therapeutic opportunities.",disease,SCEA,,https://www.ebi.ac.uk/gxa/sc/experiments/E-CURD-46/result,E-CURD-46,1
15,Single-cell RNA-seq of mouse developing spinal cord,"The coordinated spatial and temporal regulation of gene expression in the vertebrate neural tube determines the identity of neural progenitors and the function and physiology of the neurons they generate. Progress has been made deciphering the gene regulatory programmes that are responsible for this process; however, the complexity of the tissue has hampered the systematic analysis of the network and the underlying mechanisms. To address this, we used single cell mRNA sequencing to profile cervical and thoracic regions of the developing mouse neural tube between embryonic days 9.5-13.5. We confirmed that the data accurately recapitulates neural tube development, allowing us to identify new markers for specific progenitor and neuronal populations. In addition, the analysis highlighted a previously underappreciated temporal component to the mechanisms that generate neuronal diversity, and revealed common features in the sequence of transcriptional events that lead to the differentiation of specific neuronal subtypes. Together, the data offer insight into the mechanisms that are responsible for neuronal specification and provide a compendium of gene expression for classifying spinal cord cell types that will support future studies of neural tube development, function and disease.",neuroscience,SCEA,,https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-7320/result,E-MTAB-7320,1
16,Immune cell profiling of COVID-19 patients in the recovery stage by single-cell sequencing,"Age-associated changes in immune cells have been linked to an increased risk for infection. However, a global and detailed characterization of the changes that human circulating immune cells undergo with age is lacking. Here, we combined scRNA-seq, mass cytometry and scATAC-seq to compare immune cell types in peripheral blood collected from young and old subjects and patients with COVID-19. We found that the immune cell landscape was reprogrammed with age and was characterized by T cell polarization from naive and memory cells to effector, cytotoxic, exhausted and regulatory cells, along with increased late natural killer cells, age-associated B cells, inflammatory monocytes and age-associated dendritic cells. In addition, the expression of genes, which were implicated in coronavirus susceptibility, was upregulated in a cell subtype-specific manner with age. Notably, COVID-19 promoted age-induced immune cell polarization and gene expression related to inflammation and cellular senescence. Therefore, these findings suggest that a dysregulated immune system and increased gene expression associated with SARS-CoV-2 susceptibility may at least partially account for COVID-19 vulnerability in the elderly.",disease;immunology,SCEA,,https://www.ebi.ac.uk/gxa/sc/experiments/E-CURD-55/result,E-CURD-55,1
17,A single-cell atlas of the peripheral immune response to severe COVID-19,"There is an urgent need to better understand the pathophysiology of Coronavirus disease 2019 (COVID-19), the global pandemic caused by SARS-CoV-2, which has infected more than three million people worldwide. Approximately 20% of patients with COVID-19 develop severe disease and 5% of patients require intensive care. Severe disease has been associated with changes in peripheral immune activity, including increased levels of pro-inflammatory cytokines that may be produced by a subset of inflammatory monocytes, lymphopenia and T cell exhaustion. To elucidate pathways in peripheral immune cells that might lead to immunopathology or protective immunity in severe COVID-19, we applied single-cell RNA sequencing (scRNA-seq) to profile peripheral blood mononuclear cells (PBMCs) from seven patients hospitalized for COVID-19, four of whom had acute respiratory distress syndrome, and six healthy controls. We identify reconfiguration of peripheral immune cell phenotype in COVID-19, including a heterogeneous interferon-stimulated gene signature, HLA class II downregulation and a developing neutrophil population that appears closely related to plasmablasts appearing in patients with acute respiratory failure requiring mechanical ventilation. Importantly, we found that peripheral monocytes and lymphocytes do not express substantial amounts of pro-inflammatory cytokines. Collectively, we provide a cell atlas of the peripheral immune response to severe COVID-19.",disease,SCEA,,https://www.ebi.ac.uk/gxa/sc/experiments/E-GEOD-150728/result,E-GEOD-150728,1
18,Single-cell RNA sequencing of mouse germ cells,"Male gametes are generated through a specialised differentiation pathway involving a series of developmental transitions that are poorly characterised at the molecular level. Here, we use droplet-based single-cell RNA-Sequencing to profile spermatogenesis in adult animals and at multiple stages during juvenile development. By exploiting the first wave of spermatogenesis, we both precisely stage germ cell development and enrich for rare somatic cell-types and spermatogonia. To capture the full complexity of spermatogenesis including cells that have low transcriptional activity, we apply a statistical tool that identifies previously uncharacterised populations of leptotene and zygotene spermatocytes. Focusing on post-meiotic events, we characterise the temporal dynamics of X chromosome re-activation and profile the associated chromatin state using CUT&RUN. This identifies a set of genes strongly repressed by H3K9me3 in spermatocytes, which then undergo extensive chromatin remodelling post-meiosis, thus acquiring an active chromatin state and spermatid-specific expression.",developmental_biology,SCEA,,https://www.ebi.ac.uk/gxa/sc/experiments/E-MTAB-6946/result,E-MTAB-6946,1
