id,annotation_id,type,project_id,experiment_id,omics_id,sample_id,celltype_id,celltype_name,celltype_ontology,root_celltype_id,father_celltype_id,path,celltype_number
227442,ANO000000170,1,289,294,SCT000000266,SAM000181338,3505,Plasma_Cell,,3505,,/3505,344
227443,ANO000000170,1,289,294,SCT000000266,SAM000181339,3536,Hepatocyte_4,,3536,,/3536,603
227444,ANO000000170,1,289,294,SCT000000266,SAM000181339,3581,Hepatocyte_2,,3581,,/3581,908
227445,ANO000000170,1,289,294,SCT000000266,SAM000181339,3544,Hepatocyte_1,,3544,,/3544,1004
227446,ANO000000170,1,289,294,SCT000000266,SAM000181339,3505,Plasma_Cell,,3505,,/3505,29
227447,ANO000000170,1,289,294,SCT000000266,SAM000181339,3552,Periportal_LSEC,,3552,,/3552,61
227448,ANO000000170,1,289,294,SCT000000266,SAM000181339,3508,Inflammatory_Macrophage,,3508,,/3508,214
227449,ANO000000170,1,289,294,SCT000000266,SAM000181339,3548,Portal_endothelial_Cell,,3548,,/3548,87
227450,ANO000000170,1,289,294,SCT000000266,SAM000181339,3571,gamma-delta_T_Cells_2,,3571,,/3571,1
227451,ANO000000170,1,289,294,SCT000000266,SAM000181339,3532,Hepatic_Stellate_Cell,,3532,,/3532,24
227452,ANO000000170,1,289,294,SCT000000266,SAM000181339,3557,Non-inflammatory_Macrophage,,3557,,/3557,30
227453,ANO000000170,1,289,294,SCT000000266,SAM000181339,3515,Erythroid_Cell,,3515,,/3515,9
227454,ANO000000170,1,289,294,SCT000000266,SAM000181339,3541,Hepatocyte_6,,3541,,/3541,106
227455,ANO000000170,1,289,294,SCT000000266,SAM000181339,3609,Cholangiocyte,,3609,,/3609,41
227456,ANO000000170,1,289,294,SCT000000266,SAM000181339,3598,Central_venous_LSEC,,3598,,/3598,8
227457,ANO000000170,1,289,294,SCT000000266,SAM000181338,3513,Hepatocyte_3,,3513,,/3513,629
227458,ANO000000170,1,289,294,SCT000000266,SAM000181338,3552,Periportal_LSEC,,3552,,/3552,49
227459,ANO000000170,1,289,294,SCT000000266,SAM000181338,3557,Non-inflammatory_Macrophage,,3557,,/3557,89
227460,ANO000000170,1,289,294,SCT000000266,SAM000181338,3498,Mature_B_Cell,,3498,,/3498,7
227461,ANO000000170,1,289,294,SCT000000266,SAM000181339,3543,alpha-beta_T_Cell,,3543,,/3543,2
227462,ANO000000170,1,289,294,SCT000000266,SAM000181337,3543,alpha-beta_T_Cell,,3543,,/3543,275
227463,ANO000000170,1,289,294,SCT000000266,SAM000181337,3565,Hepatocyte_5,,3565,,/3565,90
227464,ANO000000170,1,289,294,SCT000000266,SAM000181337,3557,Non-inflammatory_Macrophage,,3557,,/3557,97
227465,ANO000000170,1,289,294,SCT000000266,SAM000181337,3508,Inflammatory_Macrophage,,3508,,/3508,186
227466,ANO000000170,1,289,294,SCT000000266,SAM000181337,3598,Central_venous_LSEC,,3598,,/3598,191
227467,ANO000000170,1,289,294,SCT000000266,SAM000181337,3488,NK-like_Cell,,3488,,/3488,92
227468,ANO000000170,1,289,294,SCT000000266,SAM000181337,3526,gamma-delta_T_Cells_1,,3526,,/3526,67
227469,ANO000000170,1,289,294,SCT000000266,SAM000181337,3552,Periportal_LSEC,,3552,,/3552,15
227470,ANO000000170,1,289,294,SCT000000266,SAM000181337,3548,Portal_endothelial_Cell,,3548,,/3548,6
227471,ANO000000170,1,289,294,SCT000000266,SAM000181337,3571,gamma-delta_T_Cells_2,,3571,,/3571,15
227472,ANO000000170,1,289,294,SCT000000266,SAM000181337,3505,Plasma_Cell,,3505,,/3505,4
227473,ANO000000170,1,289,294,SCT000000266,SAM000181337,3609,Cholangiocyte,,3609,,/3609,8
227474,ANO000000170,1,289,294,SCT000000266,SAM000181337,3498,Mature_B_Cell,,3498,,/3498,7
227475,ANO000000170,1,289,294,SCT000000266,SAM000181337,3541,Hepatocyte_6,,3541,,/3541,5
227476,ANO000000170,1,289,294,SCT000000266,SAM000181337,3581,Hepatocyte_2,,3581,,/3581,1
227477,ANO000000170,1,289,294,SCT000000266,SAM000181337,3532,Hepatic_Stellate_Cell,,3532,,/3532,8
227478,ANO000000170,1,289,294,SCT000000266,SAM000181338,3598,Central_venous_LSEC,,3598,,/3598,31
227479,ANO000000170,1,289,294,SCT000000266,SAM000181338,3609,Cholangiocyte,,3609,,/3609,23
227480,ANO000000170,1,289,294,SCT000000266,SAM000181338,3543,alpha-beta_T_Cell,,3543,,/3543,1
227481,ANO000000170,1,289,294,SCT000000266,SAM000181337,3515,Erythroid_Cell,,3515,,/3515,1
227482,ANO000000170,1,289,294,SCT000000266,SAM000181338,3508,Inflammatory_Macrophage,,3508,,/3508,34
227483,ANO000000170,1,289,294,SCT000000266,SAM000181338,3515,Erythroid_Cell,,3515,,/3515,2
227484,ANO000000170,1,289,294,SCT000000266,SAM000181338,3548,Portal_endothelial_Cell,,3548,,/3548,5
227485,ANO000000170,1,289,294,SCT000000266,SAM000181338,3571,gamma-delta_T_Cells_2,,3571,,/3571,5
227486,ANO000000170,1,289,294,SCT000000266,SAM000181341,3565,Hepatocyte_5,,3565,,/3565,100
227487,ANO000000170,1,289,294,SCT000000266,SAM000181341,3541,Hepatocyte_6,,3541,,/3541,11
227488,ANO000000170,1,289,294,SCT000000266,SAM000181341,3508,Inflammatory_Macrophage,,3508,,/3508,214
227489,ANO000000170,1,289,294,SCT000000266,SAM000181341,3488,NK-like_Cell,,3488,,/3488,197
227490,ANO000000170,1,289,294,SCT000000266,SAM000181341,3598,Central_venous_LSEC,,3598,,/3598,27
227491,ANO000000170,1,289,294,SCT000000266,SAM000181341,3498,Mature_B_Cell,,3498,,/3498,81
227492,ANO000000170,1,289,294,SCT000000266,SAM000181341,3515,Erythroid_Cell,,3515,,/3515,66
227493,ANO000000170,1,289,294,SCT000000266,SAM000181341,3548,Portal_endothelial_Cell,,3548,,/3548,79
227494,ANO000000170,1,289,294,SCT000000266,SAM000181341,3543,alpha-beta_T_Cell,,3543,,/3543,378
227495,ANO000000170,1,289,294,SCT000000266,SAM000181341,3526,gamma-delta_T_Cells_1,,3526,,/3526,286
227496,ANO000000170,1,289,294,SCT000000266,SAM000181341,3552,Periportal_LSEC,,3552,,/3552,134
227497,ANO000000170,1,289,294,SCT000000266,SAM000181341,3557,Non-inflammatory_Macrophage,,3557,,/3557,34
227498,ANO000000170,1,289,294,SCT000000266,SAM000181341,3571,gamma-delta_T_Cells_2,,3571,,/3571,3
227499,ANO000000170,1,289,294,SCT000000266,SAM000181341,3505,Plasma_Cell,,3505,,/3505,57
227500,ANO000000170,1,289,294,SCT000000266,SAM000181341,3609,Cholangiocyte,,3609,,/3609,34
227501,ANO000000170,1,289,294,SCT000000266,SAM000181341,3532,Hepatic_Stellate_Cell,,3532,,/3532,3
