id,name,desc,type,md5,omics_id,omics_type
361,PRO000000295_EPT000000300_SCT000000272.h5ad,sct_expr,h5ad,3a6f1e8dbd678384d93e4973fd9d9b25,SCT000000272,1
362,PRO000000305_EPT000000313_SCT000000285.h5ad,sct_expr,h5ad,a6a4ad1138a737c0a4b0958c6a87eda2,SCT000000285,1
363,PRO000000299_EPT000000306_SCT000000278.h5ad,sct_expr,h5ad,5dd5e48f9e02c4adfa02ae5def42d01d,SCT000000278,1
364,PRO000000299_EPT000000304_SCT000000276.h5ad,sct_expr,h5ad,667d848e0354904798d4436f7a512b79,SCT000000276,1
365,PRO000000293_EPT000000298_SCT000000270.h5ad,sct_expr,h5ad,a589687877f40fe6c54670ae3465b704,SCT000000270,1
366,PRO000000290_EPT000000295_SCT000000267.h5ad,sct_expr,h5ad,5b29d7cc31f128647948ea2fdf124a98,SCT000000267,1
367,PRO000000289_EPT000000294_SCT000000266.h5ad,sct_expr,h5ad,ab4e9121afc9c3975b7ccbc50b94a33c,SCT000000266,1
368,PRO000000292_EPT000000297_SCT000000269.h5ad,sct_expr,h5ad,7cde24445e183debf9ab06613b0e3482,SCT000000269,1
369,PRO000000303_EPT000000311_SCT000000283.h5ad,sct_expr,h5ad,ee44041aa6306081a4e789a87cf8a3d7,SCT000000283,1
370,PRO000000297_EPT000000302_SCT000000274.h5ad,sct_expr,h5ad,936dace688607bed7f32b8cd9b8024c0,SCT000000274,1
371,PRO000000299_EPT000000305_SCT000000277.h5ad,sct_expr,h5ad,fa3dfa184cfec0e4d87eae503243d0cf,SCT000000277,1
372,PRO000000302_EPT000000309_SCT000000281.h5ad,sct_expr,h5ad,34a8e4b4449ed7029f9ae46f44c05e5e,SCT000000281,1
373,PRO000000300_EPT000000307_SCT000000279.h5ad,sct_expr,h5ad,71fa7e130641169ad9fe0d7cec3d2f0d,SCT000000279,1
374,PRO000000298_EPT000000303_SCT000000275.h5ad,sct_expr,h5ad,88508e9c1c5f48f7ae604f9c80d14c43,SCT000000275,1
375,PRO000000304_EPT000000312_SCT000000284.h5ad,sct_expr,h5ad,4c3cebfba836e730c2d08e12c9eb907c,SCT000000284,1
376,PRO000000296_EPT000000301_SCT000000273.h5ad,sct_expr,h5ad,9e3c756883c1839693f199ea185ceb9f,SCT000000273,1
377,PRO000000301_EPT000000308_SCT000000280.h5ad,sct_expr,h5ad,0e445c417ef597ba7a5064c7de662903,SCT000000280,1
378,PRO000000302_EPT000000310_SCT000000282.h5ad,sct_expr,h5ad,b4dba6f660b5b29c67705a906de92530,SCT000000282,1
379,PRO000000291_EPT000000296_SCT000000268.h5ad,sct_expr,h5ad,dcefc8c134933211e73c4b12badf655f,SCT000000268,1
380,PRO000000294_EPT000000299_SCT000000271.h5ad,sct_expr,h5ad,fcf847188a962df07535c55d14636796,SCT000000271,1
381,PRO000000306_EPT000000316_SPT000000110.h5ad,stereoseq_bin50,h5ad,b67c43f12e60640f730acea76983f1ec,SPT000000110,2
382,PRO000000306_EPT000000319_SPT000000113.h5ad,stereoseq_bin50,h5ad,f51e503dc0823655c76663a5d9545f0a,SPT000000113,2
383,PRO000000306_EPT000000317_SPT000000111.h5ad,stereoseq_bin50,h5ad,cb98db48958a938ef01da48ba9d83064,SPT000000111,2
384,PRO000000306_EPT000000314_SPT000000108.h5ad,stereoseq_bin50,h5ad,425e0a0fff879bc663de0728d9e2dc63,SPT000000108,2
385,PRO000000306_EPT000000323_SPT000000117.h5ad,stereoseq_bin50,h5ad,3a50b2bbc9b4368c0a290ff83c3b0d7f,SPT000000117,2
386,PRO000000306_EPT000000321_SPT000000115.h5ad,stereoseq_bin50,h5ad,717db06fd99530f2876e7f810b4fd3a4,SPT000000115,2
387,PRO000000306_EPT000000325_SPT000000119.h5ad,stereoseq_bin50,h5ad,4b978ca671054b5f420a0f82f4606f38,SPT000000119,2
388,PRO000000306_EPT000000320_SPT000000114.h5ad,stereoseq_bin50,h5ad,8eceb8b909b0c8a65e058b72d0b7860b,SPT000000114,2
389,PRO000000306_EPT000000315_SPT000000109.h5ad,stereoseq_bin50,h5ad,5d1a2e4909149967522e1e4cee8d02dc,SPT000000109,2
390,PRO000000306_EPT000000324_SPT000000118.h5ad,stereoseq_bin50,h5ad,d9a44403983eea83a8321c0e80918b36,SPT000000118,2
391,PRO000000306_EPT000000322_SPT000000116.h5ad,stereoseq_bin50,h5ad,1eb09e40cd7692e7f754ea46b5bd2b96,SPT000000116,2
392,PRO000000307_EPT000000326_SCT000000286.h5ad,sct_expr,h5ad,0c42027eae751c8a1c266252b815c39b,SCT000000286,1
