id,omics_id,project_id,experiment_id,type,description,protocol,sample_type,species,organs,sample_number,cell_number
317,SCT000000286,307,326,1,,p1,1,Homo sapiens,liver,18,16498
318,SCT000000266,289,294,1,,p1,1,Homo sapiens,liver,5,8444
319,SCT000000267,290,295,1,,p1,1,Homo sapiens,liver,151,6896
320,SCT000000268,291,296,1,,p1,1,Homo sapiens,blood,95,72
321,SCT000000268,291,296,1,,p1,1,Homo sapiens,liver,95,72
322,SCT000000269,292,297,1,,p1,1,Homo sapiens,liver,188,496
323,SCT000000270,293,298,1,,p1,1,Mus musculus,liver,10,65495
324,SCT000000271,294,299,1,,p1,1,Homo sapiens,blood,32,47940
325,SCT000000271,294,299,1,,p1,1,Homo sapiens,lymph node,32,47940
326,SCT000000271,294,299,1,,p1,1,Homo sapiens,bile duct,32,47940
327,SCT000000271,294,299,1,,p1,1,Homo sapiens,peritoneum,32,47940
328,SCT000000271,294,299,1,,p1,1,Homo sapiens,liver,32,47940
329,SCT000000272,295,300,1,,p1,1,Mus musculus,liver,21,6306
330,SCT000000273,296,301,1,,p1,1,Homo sapiens,specific cell,6,5063
331,SCT000000274,297,302,1,,p1,1,Homo sapiens,liver,2238,2036
332,SCT000000274,297,302,1,,p1,1,Homo sapiens,tonsil,2238,2036
333,SCT000000274,297,302,1,,p1,1,Homo sapiens,blood,2238,2036
334,SCT000000275,298,303,1,,p1,1,Homo sapiens,liver,24,3800
335,SCT000000278,299,306,1,,p1,1,Homo sapiens,Liver,26,22769
336,SCT000000276,299,304,1,,p1,1,Homo sapiens,liver,2,681
337,SCT000000277,299,305,1,,p1,1,Homo sapiens,liver,12,12
338,SCT000000279,300,307,1,,p1,1,Homo sapiens,liver,9,28000
339,SCT000000280,301,308,1,,p1,1,Homo sapiens,liver,12,17410
340,SCT000000282,302,310,1,,p1,1,Homo sapiens,embryo,2,11932
341,SCT000000281,302,309,1,,p1,1,Homo sapiens,embryo,9,1231
342,SCT000000283,303,311,1,,p1,1,Homo sapiens,embryo,11,19645
343,SCT000000284,304,312,1,,p1,1,Mus musculus,specific cell,12,12
344,SCT000000285,305,313,1,,p1,1,Mus musculus,embryo,4,2332
