id,omics_id,sample_id
155277,SCT000000286,SAM000184218
155278,SCT000000286,SAM000184229
155279,SCT000000286,SAM000184228
155280,SCT000000286,SAM000184231
155281,SCT000000286,SAM000184230
155282,SCT000000286,SAM000184226
155283,SCT000000286,SAM000184227
155284,SCT000000286,SAM000184234
155285,SCT000000286,SAM000184233
155286,SCT000000286,SAM000184232
155287,SCT000000286,SAM000184235
155288,SCT000000286,SAM000184221
155289,SCT000000286,SAM000184220
155290,SCT000000286,SAM000184222
155291,SCT000000286,SAM000184223
155292,SCT000000286,SAM000184219
155293,SCT000000286,SAM000184225
155294,SCT000000286,SAM000184224
155295,SCT000000266,SAM000181338
155296,SCT000000266,SAM000181339
155297,SCT000000266,SAM000181337
155298,SCT000000266,SAM000181341
155299,SCT000000266,SAM000181340
155300,SCT000000267,SAM000181361
155301,SCT000000267,SAM000181384
155302,SCT000000267,SAM000181396
155303,SCT000000267,SAM000181424
155304,SCT000000267,SAM000181393
155305,SCT000000267,SAM000181398
155306,SCT000000267,SAM000181385
155307,SCT000000267,SAM000181360
155308,SCT000000267,SAM000181357
155309,SCT000000267,SAM000181391
155310,SCT000000267,SAM000181383
155311,SCT000000267,SAM000181389
155312,SCT000000267,SAM000181399
155313,SCT000000267,SAM000181395
155314,SCT000000267,SAM000181390
155315,SCT000000267,SAM000181400
155316,SCT000000267,SAM000181387
155317,SCT000000267,SAM000181394
155318,SCT000000267,SAM000181388
155319,SCT000000267,SAM000181397
155320,SCT000000267,SAM000181354
155321,SCT000000267,SAM000181356
155322,SCT000000267,SAM000181427
155323,SCT000000267,SAM000181359
155324,SCT000000267,SAM000181422
155325,SCT000000267,SAM000181426
155326,SCT000000267,SAM000181358
155327,SCT000000267,SAM000181355
155328,SCT000000267,SAM000181368
155329,SCT000000267,SAM000181367
155330,SCT000000267,SAM000181371
155331,SCT000000267,SAM000181370
155332,SCT000000267,SAM000181363
155333,SCT000000267,SAM000181372
155334,SCT000000267,SAM000181425
155335,SCT000000267,SAM000181421
155336,SCT000000267,SAM000181423
155337,SCT000000267,SAM000181369
