project_id,organ,article_id
1,bone marrow,1
1,adipose tissue,1
1,adrenal gland,1
1,blood vessel,1
1,intestine,1
1,urinary bladder,1
1,brain,1
1,uterus,1
1,esophagus,1
1,fallopian tube,1
1,gall bladder,1
1,heart,1
1,kidney,1
1,liver,1
1,lung,1
1,muscle organ,1
1,peritoneum,1
1,pancreas,1
1,blood,1
1,pleura,1
1,placenta,1
1,spleen,1
1,stomach,1
1,thyroid gland,1
1,trachea,1
1,ureter,1
1,extraembryonic membrane,1
1,umbilical cord,1
1,embryo,1
1,specific cell,1
2,urinary bladder,2
2,placenta,2
2,mammary gland,2
2,bone marrow,2
2,brain,2
2,embryo,2
2,specific cell,2
2,kidney,2
2,liver,2
2,lung,2
2,muscle organ,2
2,head,2
2,heart,2
2,rib,2
2,skin of body,2
2,gonad,2
2,pancreas,2
2,blood,2
2,intestine,2
2,spleen,2
2,stomach,2
2,thymus,2
2,uterus,2
2,adrenal gland,2
2,pleura,2
2,peritoneum,2
4,root,3
5,embryo,4
6,esophagus,5
6,spleen,5
6,lung,5
8,brain,6
9,tonsil,7
9,blood,7
9,mixed tissue,7
10,respiratory airway,8
10,lung,8
10,trachea,8
11,thymus,9
11,embryo,9
12,embryo,10
13,placenta,11
13,blood,11
14,intestine,12
15,embryo,13
16,blood,14
17,blood,15
18,gonad,16
19,bile duct,17
19,gall bladder,17
19,liver,17
20,lung,18
20,bone marrow,18
20,lymph node,18
20,blood,18
21,blood,19
22,lung,20
23,blood,21
23,bodily fluid,21
23,skeletal joint,21
24,heart,22
25,leaf,23
25,shoot apex,23
26,nose,24
27,liver,25
27,spleen,25
27,blood,25
28,embryo,26
29,intestine,27
30,blood vessel,28
31,blood,29
32,ear meristem,30
33,skin of body,31
33,adipose tissue,31
33,mammary gland,31
33,heart,31
33,urinary bladder,31
33,brain,31
33,thymus,31
33,spleen,31
33,kidney,31
33,blood vessel,31
33,muscle organ,31
33,tongue,31
33,gonad,31
33,bone marrow,31
33,trachea,31
33,lung,31
33,pancreas,31
33,intestine,31
33,liver,31
34,gonad,32
35,root,33
36,insect embryonic/larval lymph gland,34
37,cotyledon,35
38,nose,36
39,heart,37
40,brain,38
40,intestine,38
40,heart,38
40,kidney,38
40,liver,38
40,lung,38
40,muscle organ,38
40,spleen,38
40,gonad,38
41,heart,39
42,uvea,40
43,spleen,41
43,lymph node,41
43,mesenteric lymph node,41
43,intestine,41
43,skin of body,41
44,brain,42
45,shoot apex,43
46,brain,44
47,brain,45
48,lung,46
49,embryo,47
50,gonad,48
51,bone marrow,49
52,lung,50
53,gonad,51
54,seedling radicle,52
55,esophagus,53
56,pancreas,54
57,thymus,55
58,embryo,56
59,skin of body,57
60,embryo,58
61,gonad,59
63,eye,60
64,pancreas,61
65,brain,62
66,skin of body,63
67,eye,64
68,embryo,65
69,bodily fluid,66
70,spleen,67
71,lung,68
72,intestine,69
73,blood,70
74,root,71
75,embryo,72
75,placenta,72
76,embryo,73
77,embryo,74
78,insect embryonic/larval lymph gland,75
79,limb,76
80,root,77
81,embryo,78
81,placenta,78
82,lung,79
83,spleen,80
84,intestine,81
85,epididymis,82
86,crown root,83
87,heart,84
88,liver,85
89,liver,86
90,root,87
91,leaf,88
92,skin of body,89
93,umbilical cord,90
94,thymus,91
95,shoot apex,92
96,blood,93
97,crown root,94
98,root,95
99,thymus,96
100,eye,97
101,root,98
102,pleura,99
103,limb,100
105,placenta,101
105,blood,101
106,heart,102
107,eye,103
108,lung,104
110,lymph node,105
110,skin of body,105
112,heart,106
