id,title,description,topic,source,data_pubdate,data_source_url,source_project_id,status
289,Single cell RNA sequencing of human liver reveals distinct intrahepatic macrophage populations,"The liver is the largest solid organ in the body and is critical for metabolic and immune functions. However, little is known about the cells that make up the human liver and its immune microenvironment. Here we report a map of the cellular landscape of the human liver using single-cell RNA sequencing. We provide the transcriptional profiles of 8444 parenchymal and non-parenchymal cells obtained from the fractionation of fresh hepatic tissue from five human livers. Using gene expression patterns, flow cytometry, and immunohistochemical examinations, we identify 20 discrete cell populations of hepatocytes, endothelial cells, cholangiocytes, hepatic stellate cells, B cells, conventional and non-conventional T cells, NK-like cells, and distinct intrahepatic monocyte/macrophage populations. Together, our study presents a comprehensive view of the human liver at single-cell resolution that outlines the characteristics of resident cells in the liver, and in particular provides a map of the human hepatic immune microenvironment.",immunology,liver_paper,,,GSE115469,1
290,A single cell atlas of the human liver tumor microenvironment,"Malignant cell growth is fueled by interactions between tumor cells and the stromal cells composing the tumor microenvironment. The human liver is a major site of tumors and metastases, but molecular identities and intercellular interactions of different cell types have not been resolved in these pathologies. Here, we apply single cell RNA-sequencing and spatial analysis of malignant and adjacent non-malignant liver tissues from five patients with cholangiocarcinoma or liver metastases. We find that stromal cells exhibit recurring, patient-independent expression programs, and reconstruct a ligand-receptor map that highlights recurring tumor-stroma interactions. By combining transcriptomics of laser-capture microdissected regions, we reconstruct a zonation atlas of hepatocytes in the non-malignant sites and characterize the spatial distribution of each cell type across the tumor microenvironment. Our analysis provides a resource for understanding human liver malignancies and may expose potential points of interventions.",cancer,liver_paper,,,GSE146409,1
291,Liver stromal cells restrict macrophage maturation and stromal IL-6 limits the differentiation of cirrhosis-linked macrophages,"Background & aims: Myeloid cells are key regulators of cirrhosis, a major cause of mortality worldwide. Because stromal cells can modulate the functionality of myeloid cells in vitro, targeting stromal-myeloid interactions has become an attractive potential therapeutic strategy. We aimed to investigate how human liver stromal cells impact myeloid cell properties and to understand the utility of a stromal-myeloid coculture system to study these interactions in the context of cirrhosis.Methods: Single-cell RNA-sequencing analyses of non-cirrhotic (n = 7) and cirrhotic (n = 5) human liver tissue were correlated to the bulk RNA-sequencing results of in vitro cocultured human CD14+ and primary liver stromal cells. Complimentary mechanistic experiments and flow cytometric analysis were performed on human liver stromal-myeloid coculture systems.Results: We found that stromal-myeloid coculture reduces the frequency CD14+ cell subsets transcriptionally similar to liver macrophages, showing that stromal cells inhibit the maturation of monocytes into macrophages. Stromal cells also influenced in vitro macrophage differentiation by skewing away from cirrhosis-linked CD9+ scar-associated macrophage-like cells and towards CD163+ Kupffer cell-like macrophages. We identify IL-6 production as a mechanism by which stromal cells limit CD9+ macrophage differentiation and find that local IL-6 levels are decreased in early-stage human liver disease compared to healthy liver tissue, suggesting a protective role for local IL-6 in the healthy liver.Conclusions: Our work reveals an unanticipated role for liver stromal cells in impeding the maturation and altering the differentiation of macrophages and should prompt investigations into the role of local IL-6 production in the pathogenesis of liver disease. These studies provide a framework for investigating macrophage-stromal interactions during cirrhosis.Lay summary: The impact of human liver stromal cells on myeloid cell maturation and differentiation in liver disease is incompletely understood. In this study, we present a mechanistic analysis using a primary in vitro human liver stromal-myeloid coculture system that is translated to liver disease using single-cell RNA sequencing analysis of cirrhotic and non-cirrhotic human liver tissue. Our work supports a role for stromal cell contact in restricting macrophage maturation and for stromal-derived IL-6 in limiting the differentiation of a cirrhotic macrophage subset.",immunology,liver_paper,,,GSE168933,1
292,COVID-19 tissue atlases reveal SARS-CoV-2 pathology and cellular targets,"COVID-19, which is caused by SARS-CoV-2, can result in acute respiratory distress syndrome and multiple organ failure1-4, but little is known about its pathophysiology. Here we generated single-cell atlases of 24 lung, 16 kidney, 16 liver and 19 heart autopsy tissue samples and spatial atlases of 14 lung samples from donors who died of COVID-19. Integrated computational analysis uncovered substantial remodelling in the lung epithelial, immune and stromal compartments, with evidence of multiple paths of failed tissue regeneration, including defective alveolar type 2 differentiation and expansion of fibroblasts and putative TP63+ intrapulmonary basal-like progenitor cells. Viral RNAs were enriched in mononuclear phagocytic and endothelial lung cells, which induced specific host programs. Spatial analysis in lung distinguished inflammatory host responses in lung regions with and without viral RNA. Analysis of the other tissue atlases showed transcriptional alterations in multiple cell types in heart tissue from donors with COVID-19, and mapped cell types and genes implicated with disease severity based on COVID-19 genome-wide association studies. Our foundational dataset elucidates the biological effect of severe SARS-CoV-2 infection across the body, a key step towards new treatments.",disease,liver_paper,,,GSE171668,1
293,Temporal analyses of postnatal liver development and maturation by single-cell transcriptomics,"The postnatal development and maturation of the liver, the major metabolic organ, are inadequately understood. We have analyzed 52,834 single-cell transcriptomes and identified 31 cell types or states in mouse livers at postnatal days 1, 3, 7, 21, and 56. We observe unexpectedly high levels of hepatocyte heterogeneity in the developing liver and the progressive construction of the zonated metabolic functions from pericentral to periportal hepatocytes, which is orchestrated with the development of sinusoid endothelial, stellate, and Kupffer cells. Trajectory and gene regulatory analyses capture 36 transcription factors, including a circadian regulator, Bhlhe40, in programming liver development. Remarkably, we identified a special group of macrophages enriched at day 7 with a hybrid phenotype of macrophages and endothelial cells, which may regulate sinusoidal construction and Treg-cell function. This study provides a comprehensive atlas that covers all hepatic cell types and is instrumental for further dissection of liver development, metabolism, and disease.",developmental_biology,liver_paper,,,GSE171993,1
294,Single-cell atlas of diverse immune populations in the advanced biliary tract cancer microenvironment,"Immunotherapies have been explored in treating solid tumors, albeit with disparate clinical effects in distinct cancer types. Systematic interrogation of immune cells in the tumor microenvironment (TME) is vital to the prediction of immunotherapy response and the development of innovative immunotherapeutics. To comprehensively characterize the immune microenvironment in advanced biliary tract cancer (BTC), we utilized single-cell RNA sequencing in unselected viable cells from 16 matched samples, and identified nineteen cell subsets from a total of 45,851 cells, in which exhausted CD8+ T cells, macrophages, and dendritic cells (DCs) in BTC were shown to augment and communicate within the TME. Transcriptional profiles coupled with T cell receptor (TCR) sequences revealed that exhausted CD8+ T cells retained clonal expansion and high proliferation in the TME, and some of them highly expressed the endoplasmic reticulum stress (ER) response gene, XBP1, indicating the role of ER stress in remodeling TME. Functional assays demonstrated that XBP1 and common immune checkpoints (PD1, TIGIT) were significantly upregulated in CD8+ T cells cocultured within the TME of BTC cells (GBC-SD, HCCC-9810). When treating the coculture groups with the specific inhibitor of IRE1α-XBP1 (4μ8C), the downregulation of TIGIT was observed in the treatment group. Collectively, comprehensive transcriptome profiling provides deep insights into the immune atlas in advanced BTC, which might be instrumental in exploring innovative immunotherapy strategies.",cancer,liver_paper,,,GSE201425,1
295,Portal fibroblasts with mesenchymal stem cell features form a reservoir of proliferative myofibroblasts in liver fibrosis,"Background and aims: In liver fibrosis, myofibroblasts derive from HSCs and as yet undefined mesenchymal cells. We aimed to identify portal mesenchymal progenitors of myofibroblasts.Approach and results: Portal mesenchymal cells were isolated from mouse bilio-vascular tree and analyzed by single-cell RNA-sequencing. Thereby, we uncovered the landscape of portal mesenchymal cells in homeostatic mouse liver. Trajectory analysis enabled inferring a small cell population further defined by surface markers used to isolate it. This population consisted of portal fibroblasts with mesenchymal stem cell features (PMSCs), i.e., high clonogenicity and trilineage differentiation potential, that generated proliferative myofibroblasts, contrasting with nonproliferative HSC-derived myofibroblasts (-MF). Using bulk RNA-sequencing, we built oligogene signatures of the two cell populations that remained discriminant across myofibroblastic differentiation. SLIT2, a prototypical gene of PMSC/PMSC-MF signature, mediated profibrotic and angiogenic effects of these cells, which conditioned medium promoted HSC survival and endothelial cell tubulogenesis. Using PMSC/PMSC-MF 7-gene signature and slit guidance ligand 2 fluorescent in situ hybridization, we showed that PMSCs display a perivascular portal distribution in homeostatic liver and largely expand with fibrosis progression, contributing to the myofibroblast populations that form fibrotic septa, preferentially along neovessels, in murine and human liver disorders, irrespective of etiology. We also unraveled a 6-gene expression signature of HSCs/HSC-MFs that did not vary in these disorders, consistent with their low proliferation rate.Conclusions: PMSCs form a small reservoir of expansive myofibroblasts, which, in interaction with neovessels and HSC-MFs that mainly arise through differentiation from a preexisting pool, underlie the formation of fibrotic septa in all types of liver diseases.",developmental_biology,liver_paper,,,GSE164039,1
296,Landscape of Infiltrating T Cells in Liver Cancer Revealed by Single-Cell Sequencing,"Systematic interrogation of tumor-infiltrating lymphocytes is key to the development of immunotherapies and the prediction of their clinical responses in cancers. Here, we perform deep single-cell RNA sequencing on 5,063 single T cells isolated from peripheral blood, tumor, and adjacent normal tissues from six hepatocellular carcinoma patients. The transcriptional profiles of these individual cells, coupled with assembled T cell receptor (TCR) sequences, enable us to identify 11 T cell subsets based on their molecular and functional properties and delineate their developmental trajectory. Specific subsets such as exhausted CD8+ T cells and Tregs are preferentially enriched and potentially clonally expanded in hepatocellular carcinoma (HCC), and we identified signature genes for each subset. One of the genes, layilin, is upregulated on activated CD8+ T cells and Tregs and represses the CD8+ T cell functions in vitro. This compendium of transcriptome data provides valuable insights and a rich resource for understanding the immune landscape in cancers.","cancer,immunology",liver_paper,,,GSE98638,1
297,Cross-tissue single-cell landscape of human monocytes and macrophages in health and disease,"Mononuclear phagocytes (MNPs) encompass dendritic cells, monocytes, and macrophages (MoMac), which exhibit antimicrobial, homeostatic, and immunoregulatory functions. We integrated 178,651 MNPs from 13 tissues across 41 datasets to generate a MNP single-cell RNA compendium (MNP-VERSE), a publicly available tool to map MNPs and define conserved gene signatures of MNP populations. Next, we generated a MoMac-focused compendium that revealed an array of specialized cell subsets widely distributed across multiple tissues. Specific pathological forms were expanded in cancer and inflammation. All neoplastic tissues contained conserved tumor-associated macrophage populations. In particular, we focused on IL4I1+CD274(PD-L1)+IDO1+ macrophages, which accumulated in the tumor periphery in a T cell-dependent manner via interferon-γ (IFN-γ) and CD40/CD40L-induced maturation from IFN-primed monocytes. IL4I1_Macs exhibited immunosuppressive characteristics through tryptophan degradation and promoted the entry of regulatory T cell into tumors. This integrated analysis provides a robust online-available platform for uniform annotation and dissection of specific macrophage functions in healthy and pathological states.","cancer,immunology",liver_paper,,,GSE178209,1
298,The tumour microenvironment shapes innate lymphoid cells in patients with hepatocellular carcinoma,"Objective: Hepatocellular carcinoma (HCC) represents a typical inflammation-associated cancer. Tissue resident innate lymphoid cells (ILCs) have been suggested to control tumour surveillance. Here, we studied how the local cytokine milieu controls ILCs in HCC.Design: We performed bulk RNA sequencing of HCC tissue as well as flow cytometry and single-cell RNA sequencing of enriched ILCs from non-tumour liver, margin and tumour core derived from 48 patients with HCC. Simultaneous measurement of protein and RNA expression at the single-cell level (AbSeq) identified precise signatures of ILC subgroups. In vitro culturing of ILCs was used to validate findings from in silico analysis. Analysis of RNA-sequencing data from large HCC cohorts allowed stratification and survival analysis based on transcriptomic signatures.Results: RNA sequencing of tumour, non-tumour and margin identified tumour-dependent gradients, which were associated with poor survival and control of ILC plasticity. Single-cell RNA sequencing and flow cytometry of ILCs from HCC livers identified natural killer (NK)-like cells in the non-tumour tissue, losing their cytotoxic profile as they transitioned into tumour ILC1 and NK-like-ILC3 cells. Tumour ILC composition was mediated by cytokine gradients that directed ILC plasticity towards activated tumour ILC2s. This was liver-specific and not seen in ILCs from peripheral blood mononuclear cells. Patients with high ILC2/ILC1 ratio expressed interleukin-33 in the tumour that promoted ILC2 generation, which was associated with better survival.Conclusion: Our results suggest that the tumour cytokine milieu controls ILC composition and HCC outcome. Specific changes of cytokines modify ILC composition in the tumour by inducing plasticity and alter ILC function.",cancer,liver_paper,,,GSE179795,1
