id,sample_id,project_id,experiment_id,species_id,species_ids,individual_id,name,description,species,cell_number,root_organ,organ,root_organ_ontology,organ_ontology,organ_note,source_sample_id,library_strategy,library_layout,library_selection,technology_name,technology_company,release_date,sequencer_name,sequencer_company,section_thickness,staining_protocol,RIN,DV200,reference_assembly
181326,SAM000184206,306,314,10090,10090,55276,6W-kidney,Fresh,Mus musculus,25193,kidney,kidney,UBERON:0002113,UBERON:0002113,,,RNA-Seq,paired,Oligo-dT,Stereo-seq,BGI,,MGISEQ-2000,MGI,,ssDNA,,,
181327,SAM000184207,306,315,10090,10090,55277,6W-tongue,Fresh,Mus musculus,10254,tongue,tongue,UBERON:0001723,UBERON:0001723,,,RNA-Seq,paired,Oligo-dT,Stereo-seq,BGI,,MGISEQ-2000,MGI,,ssDNA,,,
181328,SAM000184208,306,316,10090,10090,55278,6W-olfactory bulb,Fresh,Mus musculus,12412,brain,olfactory bulb,UBERON:0000955,UBERON:0002264,,,RNA-Seq,paired,Oligo-dT,Stereo-seq,BGI,,MGISEQ-2000,MGI,,ssDNA,,,
181329,SAM000184209,306,317,10090,10090,55279,6W-small intestine,Fresh,Mus musculus,3001,intestine,small intestine,UBERON:0000160,UBERON:0002108,,,RNA-Seq,paired,Oligo-dT,Stereo-seq,BGI,,MGISEQ-2000,MGI,,ssDNA,,,
181330,SAM000184210,306,318,10090,10090,55280,6W-eye,Fresh,Mus musculus,0,eye,eye,UBERON:0000970,UBERON:0000970,,,RNA-Seq,paired,Oligo-dT,Stereo-seq,BGI,,MGISEQ-2000,MGI,,ssDNA,,,
181331,SAM000184211,306,319,10090,10090,55281,6W-uterus,Fresh,Mus musculus,1832,uterus,uterus,UBERON:0000995,UBERON:0000995,,,RNA-Seq,paired,Oligo-dT,Stereo-seq,BGI,,MGISEQ-2000,MGI,,ssDNA,,,
181332,SAM000184212,306,320,10090,10090,55282,8W-skin,PFA,Mus musculus,9211,skin of body,skin of body,UBERON:0002097,UBERON:0002097,,,RNA-Seq,paired,Oligo-dT,Stereo-seq,BGI,,MGISEQ-2000,MGI,,ssDNA,,,
181333,SAM000184213,306,321,10090,10090,55283,8W-ovary,PFA,Mus musculus,4585,ovary,ovary,UBERON:0000992,UBERON:0000992,,,RNA-Seq,paired,Oligo-dT,Stereo-seq,BGI,,MGISEQ-2000,MGI,,ssDNA,,,
181334,SAM000184214,306,322,10090,10090,55284,8W-small intestine,PFA,Mus musculus,7525,intestine,small intestine,UBERON:0000160,UBERON:0002108,,,RNA-Seq,paired,Oligo-dT,Stereo-seq,BGI,,MGISEQ-2000,MGI,,ssDNA,,,
181335,SAM000184215,306,323,10090,10090,55285,8W-testis,PFA,Mus musculus,27508,testis,testis,UBERON:0000473,UBERON:0000473,,,RNA-Seq,paired,Oligo-dT,Stereo-seq,BGI,,MGISEQ-2000,MGI,,ssDNA,,,
181336,SAM000184216,306,324,10090,10090,55286,8W-spinal cord,Fresh,Mus musculus,4730,spinal cord,spinal cord,UBERON:0002240,UBERON:0002240,,,RNA-Seq,paired,Oligo-dT,Stereo-seq,BGI,,MGISEQ-2000,MGI,,ssDNA,,,
181337,SAM000184217,306,325,10090,10090,55287,8W-heart,Fresh,Mus musculus,36223,heart,heart,UBERON:0000948,UBERON:0000948,,,RNA-Seq,paired,Oligo-dT,Stereo-seq,BGI,,MGISEQ-2000,MGI,,ssDNA,,,
181338,SAM000181337,289,294,9606,9606,52760,Patient 1 Total Liver Homogenate,,Homo sapiens,8444,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM3178782,RNA-Seq,PAIRED,cDNA,10x Chromium,10X Genomics,,HiSeq 2500,Illumina,,,,,
181339,SAM000181338,289,294,9606,9606,52761,Patient 2 Total Liver Homogenate,,Homo sapiens,8444,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM3178783,RNA-Seq,PAIRED,cDNA,10x Chromium,10X Genomics,,HiSeq 2500,Illumina,,,,,
181340,SAM000181339,289,294,9606,9606,52762,Patient 3 Total Liver Homogenate,,Homo sapiens,8444,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM3178784,RNA-Seq,PAIRED,cDNA,10x Chromium,10X Genomics,,HiSeq 2500,Illumina,,,,,
181341,SAM000181340,289,294,9606,9606,52763,Patient 4 Total Liver Homogenate,,Homo sapiens,8444,liver,liver,UBERON:0002107,UBERON:0002107,,GEO:GSM3178785,RNA-Seq,PAIRED,cDNA,10x Chromium,10X Genomics,,HiSeq 2500,Illumina,,,,,
