"id","name","species_id","species_name"
"1","bone marrow","9606","Homo sapiens"
"2","adipose tissue","9606","Homo sapiens"
"3","adrenal gland","9606","Homo sapiens"
"4","blood vessel","9606","Homo sapiens"
"5","intestine","9606","Homo sapiens"
"6","urinary bladder","9606","Homo sapiens"
"7","brain","9606","Homo sapiens"
"8","uterus","9606","Homo sapiens"
"9","esophagus","9606","Homo sapiens"
"10","fallopian tube","9606","Homo sapiens"
"11","gall bladder","9606","Homo sapiens"
"12","heart","9606","Homo sapiens"
"13","kidney","9606","Homo sapiens"
"14","liver","9606","Homo sapiens"
"15","lung","9606","Homo sapiens"
"16","muscle organ","9606","Homo sapiens"
"17","peritoneum","9606","Homo sapiens"
"18","pancreas","9606","Homo sapiens"
"19","blood","9606","Homo sapiens"
"20","pleura","9606","Homo sapiens"
"21","placenta","9606","Homo sapiens"
"22","spleen","9606","Homo sapiens"
"23","stomach","9606","Homo sapiens"
"24","thyroid gland","9606","Homo sapiens"
"25","trachea","9606","Homo sapiens"
"26","ureter","9606","Homo sapiens"
"27","extraembryonic membrane","9606","Homo sapiens"
"28","umbilical cord","9606","Homo sapiens"
"29","embryo","9606","Homo sapiens"
"30","specific cell","9606","Homo sapiens"
"31","urinary bladder","10090","Mus musculus"
"32","placenta","10090","Mus musculus"
"33","mammary gland","10090","Mus musculus"
"34","bone marrow","10090","Mus musculus"
"35","brain","10090","Mus musculus"
"36","embryo","10090","Mus musculus"
"37","specific cell","10090","Mus musculus"
"38","kidney","10090","Mus musculus"
"39","liver","10090","Mus musculus"
"40","lung","10090","Mus musculus"
"41","muscle organ","10090","Mus musculus"
"42","head","10090","Mus musculus"
"43","heart","10090","Mus musculus"
"44","rib","10090","Mus musculus"
"45","skin of body","10090","Mus musculus"
"46","gonad","10090","Mus musculus"
"47","pancreas","10090","Mus musculus"
"48","blood","10090","Mus musculus"
"49","intestine","10090","Mus musculus"
"50","spleen","10090","Mus musculus"
"51","stomach","10090","Mus musculus"
"52","thymus","10090","Mus musculus"
"53","uterus","10090","Mus musculus"
"54","adrenal gland","10090","Mus musculus"
"55","pleura","10090","Mus musculus"
"56","peritoneum","10090","Mus musculus"
"57","root","3702","Arabidopsis thaliana"
"58","tonsil","9606","Homo sapiens"
"59","mixed tissue","9606","Homo sapiens"
"60","respiratory airway","9606","Homo sapiens"
"61","thymus","9606","Homo sapiens"
"62","bile duct","9606","Homo sapiens"
"63","lymph node","9606","Homo sapiens"
"64","bodily fluid","9606","Homo sapiens"
"65","skeletal joint","9606","Homo sapiens"
"66","leaf","3702","Arabidopsis thaliana"
"67","shoot apex","3702","Arabidopsis thaliana"
"68","nose","10090","Mus musculus"
"69","ear meristem","4577","Zea mays"
"70","adipose tissue","10090","Mus musculus"
"71","blood vessel","10090","Mus musculus"
"72","tongue","10090","Mus musculus"
"73","trachea","10090","Mus musculus"
"74","gonad","9606","Homo sapiens"
"75","insect embryonic/larval lymph gland","7227","Drosophila melanogaster"
"76","cotyledon","3702","Arabidopsis thaliana"
"77","uvea","9606","Homo sapiens"
"78","lymph node","10090","Mus musculus"
"79","mesenteric lymph node","10090","Mus musculus"
"80","shoot apex","4081","Solanum lycopersicum"
"81","gonad","7227","Drosophila melanogaster"
"82","seedling radicle","39947","Oryza sativa Japonica Group"
"83","esophagus","10090","Mus musculus"
"84","skin of body","9606","Homo sapiens"
"85","eye","9606","Homo sapiens"
"86","limb","9031","Gallus gallus"
"87","intestine","7955","Danio rerio"
"88","epididymis","9606","Homo sapiens"
"89","crown root","39947","Oryza sativa Japonica Group"
"90","leaf","4577","Zea mays"
"91","blood","7227","Drosophila melanogaster"
"92","crown root","39946","Oryza sativa Indica Group"
"93","eye","10090","Mus musculus"
"94","insect eye-antennal disc","7227","Drosophila melanogaster"
"95","not applicable","9606","Homo sapiens"
"96","organism","6183","Schistosoma mansoni"
"97","hemolymph","7165","Anopheles gambiae"
"98","kidney","7955","Danio rerio"
"99","gonad","7955","Danio rerio"
"100","brain","7227","Drosophila melanogaster"
"101","brain","7955","Danio rerio"
"102","gill","7955","Danio rerio"
"103","digestive tract","7955","Danio rerio"
"104","spleen","7955","Danio rerio"
"105","thymus","7955","Danio rerio"
"106","breast","9606","Homo sapiens"
"107","not applicable","7955","Danio rerio"
"108","heart","7955","Danio rerio"
"109","organism","7227","Drosophila melanogaster"
"110","embryo","9031","Gallus gallus"
"111","specific cell","36329","Plasmodium falciparum 3D7"
"112","specific cell","5821","Plasmodium berghei"
"113","ganglionic eminence","10090","Mus musculus"
"114","embryo","6239","Caenorhabditis elegans"
"115","gonad","9031","Gallus gallus"
"116","organism","9483","Callithrix jacchus"
"117","embryo","9483","Callithrix jacchus"
"118","abdomen","9606","Homo sapiens"
"119","organism","4932","Saccharomyces cerevisiae"
"120","prostate gland","9606","Homo sapiens"
"121","urethra","10116","Rattus norvegicus"
"122","organism","7955","Danio rerio"
"123","not applicable","10090","Mus musculus"
"124","flower","3702","Arabidopsis thaliana"
"125","specific cell","6183","Schistosoma mansoni"
"126","spinal cord","9606","Homo sapiens"
"127","penis","9606","Homo sapiens"
"128","ovary","10090","Mus musculus"
"129","testis","10090","Mus musculus"
