project_id,sample_name,sample_id,omics_id,experiment_id,species,description,organ
PRO000000308,Sample_1,SAM000184237,SCT000000287,EPT000000327,Mus musculus,,liver
PRO000000308,Sample_2,SAM000184238,SCT000000287,EPT000000327,Mus musculus,,liver
PRO000000309,4834STDY7002875,SAM000184239,SCT000000288,EPT000000328,Homo sapiens,,kidney
PRO000000309,4834STDY7002876,SAM000184240,SCT000000288,EPT000000328,Homo sapiens,,kidney
PRO000000309,4834STDY7002877,SAM000184241,SCT000000288,EPT000000328,Homo sapiens,,liver
PRO000000309,4834STDY7002878,SAM000184242,SCT000000288,EPT000000328,Homo sapiens,,liver
PRO000000309,4834STDY7002879,SAM000184243,SCT000000288,EPT000000328,Homo sapiens,,skin of body
PRO000000309,4834STDY7002880,SAM000184244,SCT000000288,EPT000000328,Homo sapiens,,skin of body
PRO000000309,4834STDY7002881,SAM000184245,SCT000000288,EPT000000328,Homo sapiens,,kidney
PRO000000309,4834STDY7002882,SAM000184246,SCT000000288,EPT000000328,Homo sapiens,,liver
PRO000000309,4834STDY7002883,SAM000184247,SCT000000288,EPT000000328,Homo sapiens,,skin of body
PRO000000309,4834STDY7002885,SAM000184248,SCT000000288,EPT000000328,Homo sapiens,,kidney
PRO000000309,4834STDY7002886,SAM000184249,SCT000000288,EPT000000328,Homo sapiens,,kidney
PRO000000309,4834STDY7038750,SAM000184250,SCT000000288,EPT000000328,Homo sapiens,,liver
PRO000000309,4834STDY7038751,SAM000184251,SCT000000288,EPT000000328,Homo sapiens,,liver
PRO000000309,4834STDY7038752,SAM000184252,SCT000000288,EPT000000328,Homo sapiens,,skin of body
PRO000000309,4834STDY7038753,SAM000184253,SCT000000288,EPT000000328,Homo sapiens,,skin of body
PRO000000309,FCAImmP7179363,SAM000184254,SCT000000288,EPT000000328,Homo sapiens,,liver
PRO000000309,FCAImmP7179364,SAM000184255,SCT000000288,EPT000000328,Homo sapiens,,liver
PRO000000309,FCAImmP7198434,SAM000184256,SCT000000288,EPT000000328,Homo sapiens,,liver
PRO000000309,FCAImmP7198628,SAM000184257,SCT000000288,EPT000000328,Homo sapiens,,liver
PRO000000309,FCAImmP7198629,SAM000184258,SCT000000288,EPT000000328,Homo sapiens,,liver
PRO000000309,FCAImmP7198630,SAM000184259,SCT000000288,EPT000000328,Homo sapiens,,liver
PRO000000309,FCAImmP7198631,SAM000184260,SCT000000288,EPT000000328,Homo sapiens,,liver
PRO000000309,FCAImmP7241240,SAM000184261,SCT000000288,EPT000000328,Homo sapiens,,skin of body
PRO000000309,FCAImmP7241241,SAM000184262,SCT000000288,EPT000000328,Homo sapiens,,skin of body
PRO000000309,FCAImmP7277552,SAM000184263,SCT000000288,EPT000000328,Homo sapiens,,liver
PRO000000309,FCAImmP7277553,SAM000184264,SCT000000288,EPT000000328,Homo sapiens,,liver
PRO000000309,FCAImmP7277560,SAM000184265,SCT000000288,EPT000000328,Homo sapiens,,liver
PRO000000309,FCAImmP7277561,SAM000184266,SCT000000288,EPT000000328,Homo sapiens,,liver
PRO000000309,FCAImmP7292028,SAM000184267,SCT000000288,EPT000000328,Homo sapiens,,liver
PRO000000309,FCAImmP7292032,SAM000184268,SCT000000288,EPT000000328,Homo sapiens,,liver
PRO000000309,FCAImmP7316886,SAM000184269,SCT000000288,EPT000000328,Homo sapiens,,skin of body
PRO000000309,FCAImmP7316887,SAM000184270,SCT000000288,EPT000000328,Homo sapiens,,skin of body
PRO000000309,FCAImmP7316888,SAM000184271,SCT000000288,EPT000000328,Homo sapiens,,skin of body
PRO000000309,FCAImmP7316889,SAM000184272,SCT000000288,EPT000000328,Homo sapiens,,liver
PRO000000309,FCAImmP7316890,SAM000184273,SCT000000288,EPT000000328,Homo sapiens,,liver
PRO000000309,FCAImmP7316891,SAM000184274,SCT000000288,EPT000000328,Homo sapiens,,liver
PRO000000309,FCAImmP7316892,SAM000184275,SCT000000288,EPT000000328,Homo sapiens,,liver
PRO000000309,FCAImmP7316893,SAM000184276,SCT000000288,EPT000000328,Homo sapiens,,liver
PRO000000309,FCAImmP7316894,SAM000184277,SCT000000288,EPT000000328,Homo sapiens,,liver
PRO000000309,FCAImmP7316895,SAM000184278,SCT000000288,EPT000000328,Homo sapiens,,liver
PRO000000309,FCAImmP7316896,SAM000184279,SCT000000288,EPT000000328,Homo sapiens,,skin of body
PRO000000309,FCAImmP7316897,SAM000184280,SCT000000288,EPT000000328,Homo sapiens,,skin of body
PRO000000309,FCAImmP7316900,SAM000184281,SCT000000288,EPT000000328,Homo sapiens,,yolk sac
PRO000000309,FCAImmP7316901,SAM000184282,SCT000000288,EPT000000328,Homo sapiens,,liver
PRO000000309,FCAImmP7352189,SAM000184283,SCT000000288,EPT000000328,Homo sapiens,,skin of body
PRO000000309,FCAImmP7352190,SAM000184284,SCT000000288,EPT000000328,Homo sapiens,,skin of body
PRO000000309,FCAImmP7352191,SAM000184285,SCT000000288,EPT000000328,Homo sapiens,,skin of body
PRO000000309,FCAImmP7352192,SAM000184286,SCT000000288,EPT000000328,Homo sapiens,,liver
PRO000000309,FCAImmP7352193,SAM000184287,SCT000000288,EPT000000328,Homo sapiens,,liver
PRO000000309,FCAImmP7352194,SAM000184288,SCT000000288,EPT000000328,Homo sapiens,,liver
PRO000000309,FCAImmP7352195,SAM000184289,SCT000000288,EPT000000328,Homo sapiens,,liver
