journal_name,journal_name_full_name
J Immunol Res,Journal of immunology research
Zoology (Jena),Zoology
Zhonghua Zhong Liu Za Zhi,Zhonghua zhong liu za zhi
BMC Health Serv Res,BMC health services research
BMC Med Genomics,BMC medical genomics
Reprod Health,Reproductive health
Expert Rev Anticancer Ther,Expert review of anticancer therapy
Transl Cancer Res,Translational cancer research
Magn Reson Med,Magnetic resonance in medicine
J Exp Clin Cancer Res,Journal of experimental & clinical cancer research
Cell Rep Med,Cell reports. Medicine
Curr Opin Oncol,Current opinion in oncology
Hum Cell,Human cell
Int J Environ Res Public Health,International journal of environmental research and public health
Zhonghua Yu Fang Yi Xue Za Zhi,Zhonghua yu fang yi xue za zhi
Thorac Cancer,Thoracic cancer
Zhonghua Yi Xue Za Zhi,Zhonghua yi xue za zhi
J Comput Biol,Journal of computational biology
Theranostics,Theranostics
Am J Transplant,American journal of transplantation
Int J Med Sci,International journal of medical sciences
Mol Oncol,Molecular oncology
Acad Radiol,Academic radiology
Diabetologia,Diabetologia
Cancer Biomark,Cancer biomarkers
World J Gastroenterol,World journal of gastroenterology
J Cell Physiol,Journal of cellular physiology
Oral Surg Oral Med Oral Pathol Oral Radiol,"Oral surgery, oral medicine, oral pathology and oral radiology"
Eur Urol,European urology
J Clin Invest,The Journal of clinical investigation
Cold Spring Harb Mol Case Stud,Cold Spring Harbor molecular case studies
Mol Cancer,Molecular cancer
Med Sci Monit,Medical science monitor
Biomed Res Int,BioMed research international
Front Immunol,Frontiers in immunology
Am Heart J,American heart journal
Brain Behav Immun,"Brain, behavior, and immunity"
Pathol Res Pract,"Pathology, research and practice"
Invest New Drugs,Investigational new drugs
Clin Res Cardiol,Clinical research in cardiology
Netw Neurosci,Network neuroscience
Br J Cancer,British journal of cancer
BMC Neurol,BMC neurology
Hum Brain Mapp,Human brain mapping
Salud Publica Mex,Salud publica de Mexico
J Cell Biochem,Journal of cellular biochemistry
Cancer Med,Cancer medicine
Oncol Rep,Oncology reports
Front Cell Dev Biol,Frontiers in cell and developmental biology
Zhonghua Xue Ye Xue Za Zhi,Zhonghua xue ye xue za zhi
Zhonghua Xin Xue Guan Bing Za Zhi,Zhonghua xin xue guan bing za zhi
Toxicol Appl Pharmacol,Toxicology and applied pharmacology
Nature,Nature
Zhonghua Wai Ke Za Zhi,Zhonghua wai ke za zhi
Nat Commun,Nature communications
Front Cardiovasc Med,Frontiers in cardiovascular medicine
Lancet Oncol,The Lancet. Oncology
Cerebellum,Cerebellum
Zhonghua Liu Xing Bing Xue Za Zhi,Zhonghua liu xing bing xue za zhi
Zhonghua Lao Dong Wei Sheng Zhi Ye Bing Za Zhi,Zhonghua lao dong wei sheng zhi ye bing za zhi
Z Rheumatol,Zeitschrift fur Rheumatologie
Cancer,Cancer
Z Orthop Unfall,Zeitschrift fur Orthopadie und Unfallchirurgie
J Gastrointest Oncol,Journal of gastrointestinal oncology
Z Med Phys,Zeitschrift fur medizinische Physik
Yonsei Med J,Yonsei medical journal
Zhonghua Kou Qiang Yi Xue Za Zhi,Zhonghua kou qiang yi xue za zhi
Am J Orthod Dentofacial Orthop,American journal of orthodontics and dentofacial orthopedics
Zhonghua Gan Zang Bing Za Zhi,Zhonghua gan zang bing za zhi
Nat Chem,Nature chemistry
Med Oncol,Medical oncology
J Psychoactive Drugs,Journal of psychoactive drugs
Zhonghua Fu Chan Ke Za Zhi,Zhonghua fu chan ke za zhi
Zhonghua Er Bi Yan Hou Tou Jing Wai Ke Za Zhi,Zhonghua er bi yan hou tou jing wai ke za zhi
Zhonghua Bing Li Xue Za Zhi,Zhonghua bing li xue za zhi
Health Serv Res,Health services research
Int J Oncol,International journal of oncology
BMC Med Ethics,BMC medical ethics
World Neurosurg,World neurosurgery
Mol Med Rep,Molecular medicine reports
Brain Lang,Brain and language
J Transl Med,Journal of translational medicine
Epigenetics,Epigenetics
Comput Biol Med,Computers in biology and medicine
J Gen Intern Med,Journal of general internal medicine
Carcinogenesis,Carcinogenesis
Brain,Brain
Clin Epigenetics,Clinical epigenetics
Eur Spine J,European spine journal
Neuroradiology,Neuroradiology
Cell,Cell
Neuro Oncol,Neuro-oncology
Eur Heart J,European heart journal
Zhongguo Zhong Yao Za Zhi,Zhongguo Zhong yao za zhi
Mol Carcinog,Molecular carcinogenesis
Cell Death Dis,Cell death & disease
J Educ Health Promot,Journal of education and health promotion
BMC Cancer,BMC cancer
Oncol Lett,Oncology letters
Magn Reson Imaging,Magnetic resonance imaging
Prostate,The Prostate
Zhongguo Zhen Jiu,Zhongguo zhen jiu
