sample_name	cell_number	project_id
scRNAseq of Col1a1+ cells (Mdr2KO)	6136	PRO000000314_EPT000000336_SCT000000297.h5ad
scRNAseq of injured liver (8xCCl4) RS046	14588	PRO000000314_EPT000000336_SCT000000297.h5ad
scRNAseq of injured liver (8xCCl4) RS045	12871	PRO000000314_EPT000000336_SCT000000297.h5ad
Normal liver-whole	4344	PRO000000311_EPT000000330_SCT000000290.h5ad
injured liver (8xCCl4) RS025	2486	PRO000000314_EPT000000334_SCT000000295.h5ad
HSC from normal liver (untreated) RS014	3036	PRO000000314_EPT000000334_SCT000000295.h5ad
HSC from injured liver (1xCCl4) RS015	3510	PRO000000314_EPT000000334_SCT000000295.h5ad
HSC from injured liver (4xCCl4) RS016	2778	PRO000000314_EPT000000334_SCT000000295.h5ad
HSC from injured liver (12xCCl4) RS017	3201	PRO000000314_EPT000000334_SCT000000295.h5ad
Sample 43_AB137	345	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 44_AB138	297	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 45_AB139	355	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 46_AB140	337	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 47_AB141	282	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 48_AB142	260	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 49_AB143	291	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 50_AB144	309	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 51_AB172	352	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 52_AB173	365	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 53_AB174	341	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 54_AB175	350	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 55_AB176	330	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 56_AB177	276	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 57_AB178	359	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 58_AB179	336	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 59_AB180	362	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 60_AB181	358	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 61_AB182	367	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 62_AB183	364	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 63_AB184	359	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 64_AB185	337	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 65_AB186	357	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 66_AB187	363	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 67_AB188	331	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 68_AB189	336	PRO000000312_EPT000000331_SCT000000292.h5ad
Sample 69_AB190	337	PRO000000312_EPT000000331_SCT000000292.h5ad
