file_core	cell_num	gene_num	mu_n_genes	std_n_genes	mu_n_counts	std_n_counts	mu_sco	std_sco	celltype_num	deg_number
PRO000000314_EPT000000336_SCT000000297.h5ad	33595	18788	1278.6374758148534	1032.468451139857	3432.5341796875	4246.5859375	0.9555	0.046311445669510246	2	40
PRO000000311_EPT000000330_SCT000000290.h5ad	4344	1939	350.6784069981584	130.022662118945	9.875097235647575	375.5728985798019	0.9773999999999999	0.015531902652283153	10	169
PRO000000314_EPT000000334_SCT000000295.h5ad	15011	16577	2379.3736593165013	812.3599747702245	7834.63134765625	4733.28955078125	0.9690000000000001	0.03590264614203249	2	40
PRO000000312_EPT000000331_SCT000000292.h5ad	36043	31109	505.5833310212801	361.6587891628575	1836.4656982421875	2515.17431640625	0.6661999999999999	0.06201257936902803	5	75
PRO000000314_EPT000000337_SCT000000298.h5ad	9257	14384	684.7433293723668	648.6700991253207	2037.33349609375	2946.73291015625	0.7432500000000002	0.03792710479034457	62	580
PRO000000308_EPT000000327_SCT000000287.h5ad	7144	9975	1452.8254479283314	410.5201455961801	4409.7294921875	1920.9781494140625	1.0	0.0	0	0
PRO000000314_EPT000000335_SCT000000296.h5ad	129010	21149	1003.8076660723975	1318.5891874194879	2154.682861328125	4707.34326171875	1.0	0.0	0	0
PRO000000312_EPT000000332_SCT000000293.h5ad	11839	14160	1717.9948475377987	1336.739229723429	6630.73681640625	7513.9013671875	1.0	0.0	0	0
PRO000000313_EPT000000333_SCT000000294.h5ad	52189	15854	1676.076012186476	619.5950767403507	5061.4794921875	2933.08935546875	1.0	0.0	0	0
PRO000000311_EPT000000330_SCT000000291.h5ad	7129	2061	359.69532893814	144.42689827652714	18.369129670587657	386.8309899544866	0.9544999999999999	0.018131464364468736	10	165
PRO000000309_EPT000000328_SCT000000288.h5ad	214480	29298	2937.857334017158	1230.3563975311163	15594.882375979112	12634.395720920977	0.7079268292682925	0.017247800297720675	41	408
PRO000000315_EPT000000338_SCT000000299.h5ad	56721	15543	1687.6566879991537	1365.786214623941	7551.1005859375	13747.0283203125	0.856	0.028691177624304426	7	131
PRO000000310_EPT000000329_SCT000000289.h5ad	93006	19233	1540.4643033782768	1260.6137035532893	5324.06494140625	6918.9912109375	0.8965000000000002	0.06295037728242778	2	40
