['PRO000000314', 'EPT000000336', 'SCT000000297', 'SCT', 'expression_annotation', 'PRO000000314_EPT000000336_SCT000000297.h5ad', 'h5ad', '3b96ea82851d494eef3c3695d4020aac,PRO000000314_EPT000000336_SCT000000297.h5ad']
['PRO000000311', 'EPT000000330', 'SCT000000290', 'SCT', 'expression_annotation', 'PRO000000311_EPT000000330_SCT000000290.h5ad', 'h5ad', '715e2ad225dd0b08cb1c59cac7a3b056,PRO000000311_EPT000000330_SCT000000290.h5ad']
['PRO000000314', 'EPT000000334', 'SCT000000295', 'SCT', 'expression_annotation', 'PRO000000314_EPT000000334_SCT000000295.h5ad', 'h5ad', 'fd7161658b3bb7d7b838a96a8469472c,PRO000000314_EPT000000334_SCT000000295.h5ad']
['PRO000000312', 'EPT000000331', 'SCT000000292', 'SCT', 'expression_annotation', 'PRO000000312_EPT000000331_SCT000000292.h5ad', 'h5ad', 'e3e4b5c8987e76b40642adb835e940db,PRO000000312_EPT000000331_SCT000000292.h5ad']
['PRO000000314', 'EPT000000337', 'SCT000000298', 'SCT', 'expression_annotation', 'PRO000000314_EPT000000337_SCT000000298.h5ad', 'h5ad', '8b88613db8e65cbbc529bbcff68e41ea,PRO000000314_EPT000000337_SCT000000298.h5ad']
['PRO000000308', 'EPT000000327', 'SCT000000287', 'SCT', 'expression_annotation', 'PRO000000308_EPT000000327_SCT000000287.h5ad', 'h5ad', '00173fcfa9ad1cf398b21d4948b36fef,PRO000000308_EPT000000327_SCT000000287.h5ad']
['PRO000000314', 'EPT000000335', 'SCT000000296', 'SCT', 'expression_annotation', 'PRO000000314_EPT000000335_SCT000000296.h5ad', 'h5ad', '27acd51db9e0c9ed9d4ee874cbdb580b,PRO000000314_EPT000000335_SCT000000296.h5ad']
['PRO000000312', 'EPT000000332', 'SCT000000293', 'SCT', 'expression_annotation', 'PRO000000312_EPT000000332_SCT000000293.h5ad', 'h5ad', '101968a5e0df6a3575738d7ea6c45ce0,PRO000000312_EPT000000332_SCT000000293.h5ad']
['PRO000000313', 'EPT000000333', 'SCT000000294', 'SCT', 'expression_annotation', 'PRO000000313_EPT000000333_SCT000000294.h5ad', 'h5ad', 'd0071ce845551c5441899064e5fab48e,PRO000000313_EPT000000333_SCT000000294.h5ad']
['PRO000000311', 'EPT000000330', 'SCT000000291', 'SCT', 'expression_annotation', 'PRO000000311_EPT000000330_SCT000000291.h5ad', 'h5ad', '3127fc17013dc1ad24c6640bfccb53b4,PRO000000311_EPT000000330_SCT000000291.h5ad']
['PRO000000309', 'EPT000000328', 'SCT000000288', 'SCT', 'expression_annotation', 'PRO000000309_EPT000000328_SCT000000288.h5ad', 'h5ad', '7145c590fe6f64f322eac8108cf1df1a,PRO000000309_EPT000000328_SCT000000288.h5ad']
['PRO000000315', 'EPT000000338', 'SCT000000299', 'SCT', 'expression_annotation', 'PRO000000315_EPT000000338_SCT000000299.h5ad', 'h5ad', '2581e259199b83d1d1b5f945b73e43cc,PRO000000315_EPT000000338_SCT000000299.h5ad']
['PRO000000310', 'EPT000000329', 'SCT000000289', 'SCT', 'expression_annotation', 'PRO000000310_EPT000000329_SCT000000289.h5ad', 'h5ad', '17e7e4c10b39e74c957fc363d3e5faa7,PRO000000310_EPT000000329_SCT000000289.h5ad']
