project_id,experiment_id,experiment_discription,protocol_description,species,species_id,sample_id,sample_name,source_sample_id,sample_description,organ,organ_ontology,organ_tax2,organ_tax2_ontology,organ_note,individual_id,individual_name,gender,age,age_unit,development_stage,individual_status,ethnic_group,current_diagnostic,phenotype,treatment,treatment_duration,disease,disease_id,spatialTrans_id,section_thickness,staining_protocol,RIN(RNA integrity number ),DV200,library_strategy,library_layout,library_selection,reference assembly,technology_name,tech_company,release_time,sequencer_name,sequencer_company
PRO000000306,EPT000000314,mouse multi-organ test with STOmics gene gxpression set-s1 ,,Mus musculus,10090,SAM000184206,6W-kidney,,Fresh,kidney,UBERON:0002113,,,,SID000055276,6W-kidney,male,42,day,adolescene,dead,,,,,,,healthy,SPT000000091,,ssDNA,8.2,,RNA-Seq,paired,Oligo-dT,,Stereo-seq,BGI,,MGISEQ-2000,MGI
PRO000000306,EPT000000315,mouse multi-organ test with STOmics gene gxpression set-s1 ,,Mus musculus,10090,SAM000184207,6W-tongue,,Fresh,tongue,UBERON:0001723,,,,SID000055277,6W-tongue,male,42,day,adolescene,dead,,,,,,,healthy,SPT000000092,,ssDNA,7.5,,RNA-Seq,paired,Oligo-dT,,Stereo-seq,BGI,,MGISEQ-2000,MGI
PRO000000306,EPT000000316,mouse multi-organ test with STOmics gene gxpression set-s1 ,,Mus musculus,10090,SAM000184208,6W-olfactory bulb ,,Fresh,brain,UBERON:0000955,olfactory bulb,UBERON:0002264,,SID000055278,6W-olfactory bulb ,male,42,day,adolescene,dead,,,,,,,healthy,SPT000000093,,ssDNA,8.2,,RNA-Seq,paired,Oligo-dT,,Stereo-seq,BGI,,MGISEQ-2000,MGI
PRO000000306,EPT000000317,mouse multi-organ test with STOmics gene gxpression set-s1 ,,Mus musculus,10090,SAM000184209,6W-small intestine,,Fresh,intestine,UBERON:0000160,small intestine,UBERON:0002108,,SID000055279,6W-small intestine,male,42,day,adolescene,dead,,,,,,,healthy,SPT000000094,,ssDNA,7.1,,RNA-Seq,paired,Oligo-dT,,Stereo-seq,BGI,,MGISEQ-2000,MGI
PRO000000306,EPT000000318,mouse multi-organ test with STOmics gene gxpression set-s1 ,,Mus musculus,10090,SAM000184210,6W-eye,,Fresh,eye,UBERON:0000970,,,,SID000055280,6W-eye,male,42,day,adolescene,dead,,,,,,,healthy,SPT000000095,,ssDNA,7.8,,RNA-Seq,paired,Oligo-dT,,Stereo-seq,BGI,,MGISEQ-2000,MGI
PRO000000306,EPT000000319,mouse multi-organ test with STOmics gene gxpression set-s1 ,,Mus musculus,10090,SAM000184211,6W-uterus,,Fresh,uterus,UBERON:0000995,,,,SID000055281,6W-uterus,female,42,day,adolescene,dead,,,,,,,healthy,SPT000000096,,ssDNA,8.2,,RNA-Seq,paired,Oligo-dT,,Stereo-seq,BGI,,MGISEQ-2000,MGI
PRO000000306,EPT000000320,mouse multi-organ test with STOmics gene gxpression set-s1 ,,Mus musculus,10090,SAM000184212,8W-skin,,PFA,skin of body,UBERON:0002097,,,,SID000055282,8W-skin,male,56,day,adolescene,dead,,,,,,,healthy,SPT000000097,,ssDNA,7.2,,RNA-Seq,paired,Oligo-dT,,Stereo-seq,BGI,,MGISEQ-2000,MGI
PRO000000306,EPT000000321,mouse multi-organ test with STOmics gene gxpression set-s1 ,,Mus musculus,10090,SAM000184213,8W-ovary,,PFA,ovary,UBERON:0000992,,,,SID000055283,8W-ovary,female,56,day,adolescene,dead,,,,,,,healthy,SPT000000098,,ssDNA,8.5,,RNA-Seq,paired,Oligo-dT,,Stereo-seq,BGI,,MGISEQ-2000,MGI
PRO000000306,EPT000000322,mouse multi-organ test with STOmics gene gxpression set-s1 ,,Mus musculus,10090,SAM000184214,8W-small intestine,,PFA,intestine,UBERON:0000160,small intestine,UBERON:0002108,,SID000055284,8W-small intestine,male,56,day,adolescene,dead,,,,,,,healthy,SPT000000099,,ssDNA,7.2,,RNA-Seq,paired,Oligo-dT,,Stereo-seq,BGI,,MGISEQ-2000,MGI
PRO000000306,EPT000000323,mouse multi-organ test with STOmics gene gxpression set-s1 ,,Mus musculus,10090,SAM000184215,8W-testis,,PFA,testis,UBERON:0000473,,,,SID000055285,8W-testis,male,56,day,adolescene,dead,,,,,,,healthy,SPT000000100,,ssDNA,7.9,,RNA-Seq,paired,Oligo-dT,,Stereo-seq,BGI,,MGISEQ-2000,MGI
PRO000000306,EPT000000324,mouse multi-organ test with STOmics gene gxpression set-s1 ,,Mus musculus,10090,SAM000184216,8W-spinal cord,,Fresh,spinal cord,UBERON:0002240,,,,SID000055286,8W-spinal cord,male,56,day,adolescene,dead,,,,,,,healthy,SPT000000101,,ssDNA,8.3,,RNA-Seq,paired,Oligo-dT,,Stereo-seq,BGI,,MGISEQ-2000,MGI
PRO000000306,EPT000000325,mouse multi-organ test with STOmics gene gxpression set-s1 ,,Mus musculus,10090,SAM000184217,8W-heart,,Fresh,heart,UBERON:0000948,,,,SID000055287,8W-heart,male,56,day,adolescene,dead,,,,,,,healthy,SPT000000102,,ssDNA,8.5,,RNA-Seq,paired,Oligo-dT,,Stereo-seq,BGI,,MGISEQ-2000,MGI
